DATE,DEXCAUS
2007-02-05,1.1816
2007-02-06,1.1819
2007-02-07,1.1851
2007-02-08,1.1852
2007-02-09,1.1736
2007-02-12,1.1746
2007-02-13,1.1686
2007-02-14,1.1660
2007-02-15,1.1642
2007-02-16,1.1638
2007-02-19,.
2007-02-20,1.1697
2007-02-21,1.1609
2007-02-22,1.1616
2007-02-23,1.1586
2007-02-26,1.1601
2007-02-27,1.1639
2007-02-28,1.1700
2007-03-01,1.1711
2007-03-02,1.1752
2007-03-05,1.1810
2007-03-06,1.1759
2007-03-07,1.1785
2007-03-08,1.1802
2007-03-09,1.1712
2007-03-12,1.1689
2007-03-13,1.1687
2007-03-14,1.1755
2007-03-15,1.1757
2007-03-16,1.1738
2007-03-19,1.1750
2007-03-20,1.1638
2007-03-21,1.1578
2007-03-22,1.1574
2007-03-23,1.1601
2007-03-26,1.1627
2007-03-27,1.1584
2007-03-28,1.1579
2007-03-29,1.1577
2007-03-30,1.1530
2007-04-02,1.1556
2007-04-03,1.1573
2007-04-04,1.1583
2007-04-05,1.1509
2007-04-06,1.1511
2007-04-09,1.1522
2007-04-10,1.1479
2007-04-11,1.1449
2007-04-12,1.1362
2007-04-13,1.1379
2007-04-16,1.1309
2007-04-17,1.1293
2007-04-18,1.1288
2007-04-19,1.1286
2007-04-20,1.1227
2007-04-23,1.1225
2007-04-24,1.1228
2007-04-25,1.1146
2007-04-26,1.1202
2007-04-27,1.1152
2007-04-30,1.1068
2007-05-01,1.1088
2007-05-02,1.1087
2007-05-03,1.1069
2007-05-04,1.1069
2007-05-07,1.1024
2007-05-08,1.1048
2007-05-09,1.1063
2007-05-10,1.1073
2007-05-11,1.1136
2007-05-14,1.1067
2007-05-15,1.0976
2007-05-16,1.1028
2007-05-17,1.0976
2007-05-18,1.0883
2007-05-21,1.0854
2007-05-22,1.0854
2007-05-23,1.0816
2007-05-24,1.0841
2007-05-25,1.0794
2007-05-28,.
2007-05-29,1.0719
2007-05-30,1.0753
2007-05-31,1.0701
2007-06-01,1.0602
2007-06-04,1.0579
2007-06-05,1.0605
2007-06-06,1.0586
2007-06-07,1.0611
2007-06-08,1.0622
2007-06-11,1.0614
2007-06-12,1.0636
2007-06-13,1.0668
2007-06-14,1.0684
2007-06-15,1.0678
2007-06-18,1.0720
2007-06-19,1.0638
2007-06-20,1.0646
2007-06-21,1.0727
2007-06-22,1.0676
2007-06-25,1.0712
2007-06-26,1.0692
2007-06-27,1.0716
2007-06-28,1.0626
2007-06-29,1.0634
2007-07-02,1.0553
2007-07-03,1.0593
2007-07-04,.
2007-07-05,1.0567
2007-07-06,1.0478
2007-07-09,1.0479
2007-07-10,1.0520
2007-07-11,1.0557
2007-07-12,1.0467
2007-07-13,1.0476
2007-07-16,1.0430
2007-07-17,1.0435
2007-07-18,1.0435
2007-07-19,1.0425
2007-07-20,1.0440
2007-07-23,1.0450
2007-07-24,1.0372
2007-07-25,1.0423
2007-07-26,1.0504
2007-07-27,1.0590
2007-07-30,1.0689
2007-07-31,1.0656
2007-08-01,1.0565
2007-08-02,1.0528
2007-08-03,1.0526
2007-08-06,1.0513
2007-08-07,1.0553
2007-08-08,1.0497
2007-08-09,1.0566
2007-08-10,1.0538
2007-08-13,1.0508
2007-08-14,1.0635
2007-08-15,1.0746
2007-08-16,1.0754
2007-08-17,1.0635
2007-08-20,1.0580
2007-08-21,1.0601
2007-08-22,1.0620
2007-08-23,1.0566
2007-08-24,1.0525
2007-08-27,1.0515
2007-08-28,1.0616
2007-08-29,1.0592
2007-08-30,1.0567
2007-08-31,1.0560
2007-09-03,1.0560
2007-09-04,1.0493
2007-09-05,1.0508
2007-09-06,1.0534
2007-09-07,1.0546
2007-09-10,1.0532
2007-09-11,1.0430
2007-09-12,1.0372
2007-09-13,1.0324
2007-09-14,1.0292
2007-09-17,1.0307
2007-09-18,1.0234
2007-09-19,1.0147
2007-09-20,1.0011
2007-09-21,1.0008
2007-09-24,1.0011
2007-09-25,1.0005
2007-09-26,1.0045
2007-09-27,1.0031
2007-09-28,0.9959
2007-10-01,0.9929
2007-10-02,1.0002
2007-10-03,0.9961
2007-10-04,0.9980
2007-10-05,0.9815
2007-10-08,0.9815
2007-10-09,0.9846
2007-10-10,0.9813
2007-10-11,0.9744
2007-10-12,0.9737
2007-10-15,0.9756
2007-10-16,0.9778
2007-10-17,0.9736
2007-10-18,0.9733
2007-10-19,0.9637
2007-10-22,0.9811
2007-10-23,0.9673
2007-10-24,0.9710
2007-10-25,0.9673
2007-10-26,0.9619
2007-10-29,0.9547
2007-10-30,0.9534
2007-10-31,0.9496
2007-11-01,0.9497
2007-11-02,0.9360
2007-11-05,0.9337
2007-11-06,0.9243
2007-11-07,0.9168
2007-11-08,0.9303
2007-11-09,0.9385
2007-11-12,.
2007-11-13,0.9639
2007-11-14,0.9608
2007-11-15,0.9804
2007-11-16,0.9727
2007-11-19,0.9839
2007-11-20,0.9848
2007-11-21,0.9894
2007-11-22,0.9894
2007-11-23,0.9887
2007-11-26,0.9877
2007-11-27,0.9968
2007-11-28,0.9907
2007-11-29,0.9928
2007-11-30,1.0007
2007-12-03,1.0000
2007-12-04,1.0106
2007-12-05,1.0127
2007-12-06,1.0125
2007-12-07,1.0051
2007-12-10,1.0103
2007-12-11,1.0107
2007-12-12,1.0107
2007-12-13,1.0216
2007-12-14,1.0135
2007-12-17,1.0072
2007-12-18,1.0105
2007-12-19,1.0056
2007-12-20,0.9983
2007-12-21,0.9943
2007-12-24,0.9871
2007-12-25,.
2007-12-26,0.9834
2007-12-27,0.9808
2007-12-28,0.9784
2007-12-31,0.9881
2008-01-01,.
2008-01-02,0.9922
2008-01-03,0.9905
2008-01-04,0.9988
2008-01-07,1.0050
2008-01-08,0.9985
2008-01-09,1.0083
2008-01-10,1.0139
2008-01-11,1.0198
2008-01-14,1.0210
2008-01-15,1.0167
2008-01-16,1.0238
2008-01-17,1.0290
2008-01-18,1.0294
2008-01-21,.
2008-01-22,1.0248
2008-01-23,1.0282
2008-01-24,1.0071
2008-01-25,1.0044
2008-01-28,1.0042
2008-01-29,0.9978
2008-01-30,0.9936
2008-01-31,1.0018
2008-02-01,0.9939
2008-02-04,0.9927
2008-02-05,1.0043
2008-02-06,1.0023
2008-02-07,1.0115
2008-02-08,0.9994
2008-02-11,1.0018
2008-02-12,0.9963
2008-02-13,0.9992
2008-02-14,0.9967
2008-02-15,1.0013
2008-02-18,.
2008-02-19,1.0159
2008-02-20,1.0188
2008-02-21,1.0083
2008-02-22,1.0155
2008-02-25,0.9982
2008-02-26,0.9861
2008-02-27,0.9776
2008-02-28,0.9717
2008-02-29,0.9796
2008-03-03,0.9867
2008-03-04,0.9954
2008-03-05,0.9897
2008-03-06,0.9847
2008-03-07,0.9916
2008-03-10,0.9975
2008-03-11,0.9953
2008-03-12,0.9895
2008-03-13,0.9841
2008-03-14,0.9867
2008-03-17,0.9977
2008-03-18,0.9938
2008-03-19,1.0027
2008-03-20,1.0265
2008-03-21,1.0239
2008-03-24,1.0203
2008-03-25,1.0176
2008-03-26,1.0180
2008-03-27,1.0146
2008-03-28,1.0180
2008-03-31,1.0275
2008-04-01,1.0268
2008-04-02,1.0173
2008-04-03,1.0079
2008-04-04,1.0088
2008-04-07,1.0108
2008-04-08,1.0151
2008-04-09,1.0192
2008-04-10,1.0178
2008-04-11,1.0216
2008-04-14,1.0207
2008-04-15,1.0181
2008-04-16,1.0021
2008-04-17,1.0107
2008-04-18,1.0084
2008-04-21,1.0066
2008-04-22,1.0033
2008-04-23,1.0194
2008-04-24,1.0131
2008-04-25,1.0163
2008-04-28,1.0158
2008-04-29,1.0128
2008-04-30,1.0092
2008-05-01,1.0187
2008-05-02,1.0182
2008-05-05,1.0125
2008-05-06,1.0036
2008-05-07,1.0020
2008-05-08,1.0149
2008-05-09,1.0062
2008-05-12,1.0037
2008-05-13,0.9996
2008-05-14,1.0018
2008-05-15,0.9996
2008-05-16,0.9966
2008-05-19,0.9914
2008-05-20,0.9928
2008-05-21,0.9840
2008-05-22,0.9861
2008-05-23,0.9883
2008-05-26,.
2008-05-27,0.9932
2008-05-28,0.9913
2008-05-29,0.9871
2008-05-30,0.9938
2008-06-02,1.0011
2008-06-03,1.0051
2008-06-04,1.0145
2008-06-05,1.0195
2008-06-06,1.0187
2008-06-09,1.0223
2008-06-10,1.0241
2008-06-11,1.0170
2008-06-12,1.0230
2008-06-13,1.0282
2008-06-16,1.0210
2008-06-17,1.0201
2008-06-18,1.0186
2008-06-19,1.0130
2008-06-20,1.0173
2008-06-23,1.0161
2008-06-24,1.0135
2008-06-25,1.0134
2008-06-26,1.0121
2008-06-27,1.0120
2008-06-30,1.0185
2008-07-01,1.0220
2008-07-02,1.0127
2008-07-03,1.0204
2008-07-04,.
2008-07-07,1.0174
2008-07-08,1.0205
2008-07-09,1.0108
2008-07-10,1.0103
2008-07-11,1.0093
2008-07-14,1.0060
2008-07-15,1.0015
2008-07-16,1.0020
2008-07-17,1.0018
2008-07-18,1.0053
2008-07-21,1.0019
2008-07-22,1.0083
2008-07-23,1.0088
2008-07-24,1.0114
2008-07-25,1.0167
2008-07-28,1.0220
2008-07-29,1.0260
2008-07-30,1.0240
2008-07-31,1.0261
2008-08-01,1.0251
2008-08-04,1.0355
2008-08-05,1.0425
2008-08-06,1.0470
2008-08-07,1.0510
2008-08-08,1.0677
2008-08-11,1.0673
2008-08-12,1.0641
2008-08-13,1.0658
2008-08-14,1.0621
2008-08-15,1.0609
2008-08-18,1.0603
2008-08-19,1.0606
2008-08-20,1.0627
2008-08-21,1.0454
2008-08-22,1.0456
2008-08-25,1.0463
2008-08-26,1.0486
2008-08-27,1.0483
2008-08-28,1.0527
2008-08-29,1.0631
2008-09-01,.
2008-09-02,1.0698
2008-09-03,1.0610
2008-09-04,1.0640
2008-09-05,1.0637
2008-09-08,1.0694
2008-09-09,1.0677
2008-09-10,1.0735
2008-09-11,1.0797
2008-09-12,1.0606
2008-09-15,1.0670
2008-09-16,1.0737
2008-09-17,1.0788
2008-09-18,1.0696
2008-09-19,1.0469
2008-09-22,1.0383
2008-09-23,1.0355
2008-09-24,1.0351
2008-09-25,1.0338
2008-09-26,1.0352
2008-09-29,1.0393
2008-09-30,1.0597
2008-10-01,1.0607
2008-10-02,1.0769
2008-10-03,1.0815
2008-10-06,1.1027
2008-10-07,1.1055
2008-10-08,1.1246
2008-10-09,1.1483
2008-10-10,1.1900
2008-10-13,.
2008-10-14,1.1599
2008-10-15,1.1804
2008-10-16,1.1953
