DATE,DEXSZUS
2007-02-05,1.2481
2007-02-06,1.2414
2007-02-07,1.2398
2007-02-08,1.2471
2007-02-09,1.2484
2007-02-12,1.2532
2007-02-13,1.2489
2007-02-14,1.2399
2007-02-15,1.2362
2007-02-16,1.2341
2007-02-19,.
2007-02-20,1.2369
2007-02-21,1.2393
2007-02-22,1.2383
2007-02-23,1.2332
2007-02-26,1.2327
2007-02-27,1.2205
2007-02-28,1.2189
2007-03-01,1.2226
2007-03-02,1.2173
2007-03-05,1.2218
2007-03-06,1.2241
2007-03-07,1.2208
2007-03-08,1.2287
2007-03-09,1.2332
2007-03-12,1.2250
2007-03-13,1.2218
2007-03-14,1.2139
2007-03-15,1.2142
2007-03-16,1.2079
2007-03-19,1.2125
2007-03-20,1.2137
2007-03-21,1.2151
2007-03-22,1.2115
2007-03-23,1.2169
2007-03-26,1.2144
2007-03-27,1.2130
2007-03-28,1.2147
2007-03-29,1.2166
2007-03-30,1.2126
2007-04-02,1.2139
2007-04-03,1.2192
2007-04-04,1.2194
2007-04-05,1.2145
2007-04-06,1.2215
2007-04-09,1.2250
2007-04-10,1.2165
2007-04-11,1.2194
2007-04-12,1.2157
2007-04-13,1.2154
2007-04-16,1.2132
2007-04-17,1.2092
2007-04-18,1.2056
2007-04-19,1.2044
2007-04-20,1.2081
2007-04-23,1.2088
2007-04-24,1.2031
2007-04-25,1.2030
2007-04-26,1.2092
2007-04-27,1.2081
2007-04-30,1.2064
2007-05-01,1.2151
2007-05-02,1.2138
2007-05-03,1.2151
2007-05-04,1.2115
2007-05-07,1.2096
2007-05-08,1.2182
2007-05-09,1.2165
2007-05-10,1.2192
2007-05-11,1.2188
2007-05-14,1.2194
2007-05-15,1.2135
2007-05-16,1.2220
2007-05-17,1.2268
2007-05-18,1.2267
2007-05-21,1.2306
2007-05-22,1.2300
2007-05-23,1.2266
2007-05-24,1.2294
2007-05-25,1.2281
2007-05-28,.
2007-05-29,1.2227
2007-05-30,1.2259
2007-05-31,1.2252
2007-06-01,1.2299
2007-06-04,1.2231
2007-06-05,1.2187
2007-06-06,1.2176
2007-06-07,1.2243
2007-06-08,1.2345
2007-06-11,1.2386
2007-06-12,1.2424
2007-06-13,1.2447
2007-06-14,1.2452
2007-06-15,1.2428
2007-06-18,1.2409
2007-06-19,1.2402
2007-06-20,1.2374
2007-06-21,1.2404
2007-06-22,1.2316
2007-06-25,1.2305
2007-06-26,1.2284
2007-06-27,1.2291
2007-06-28,1.2286
2007-06-29,1.2240
2007-07-02,1.2112
2007-07-03,1.2152
2007-07-04,.
2007-07-05,1.2178
2007-07-06,1.2181
2007-07-09,1.2170
2007-07-10,1.2074
2007-07-11,1.2044
2007-07-12,1.2033
2007-07-13,1.2019
2007-07-16,1.2018
2007-07-17,1.2030
2007-07-18,1.1997
2007-07-19,1.2023
2007-07-20,1.1998
2007-07-23,1.2054
2007-07-24,1.2050
2007-07-25,1.2140
2007-07-26,1.2068
2007-07-27,1.2073
2007-07-30,1.2015
2007-07-31,1.2021
2007-08-01,1.2013
2007-08-02,1.2060
2007-08-03,1.1933
2007-08-06,1.1873
2007-08-07,1.1954
2007-08-08,1.1946
2007-08-09,1.1967
2007-08-10,1.1969
2007-08-13,1.2057
2007-08-14,1.2095
2007-08-15,1.2181
2007-08-16,1.2175
2007-08-17,1.2043
2007-08-20,1.2066
2007-08-21,1.2033
2007-08-22,1.2062
2007-08-23,1.2061
2007-08-24,1.2015
2007-08-27,1.2032
2007-08-28,1.2006
2007-08-29,1.1986
2007-08-30,1.2032
2007-08-31,1.2071
2007-09-03,1.2071
2007-09-04,1.2109
2007-09-05,1.2025
2007-09-06,1.2008
2007-09-07,1.1882
2007-09-10,1.1860
2007-09-11,1.1864
2007-09-12,1.1844
2007-09-13,1.1870
2007-09-14,1.1914
2007-09-17,1.1874
2007-09-18,1.1891
2007-09-19,1.1856
2007-09-20,1.1697
2007-09-21,1.1735
2007-09-24,1.1739
2007-09-25,1.1681
2007-09-26,1.1710
2007-09-27,1.1735
2007-09-28,1.1672
2007-10-01,1.1683
2007-10-02,1.1750
2007-10-03,1.1791
2007-10-04,1.1752
2007-10-05,1.1760
2007-10-08,1.1760
2007-10-09,1.1838
2007-10-10,1.1808
2007-10-11,1.1801
2007-10-12,1.1852
2007-10-15,1.1799
2007-10-16,1.1831
2007-10-17,1.1816
2007-10-18,1.1697
2007-10-19,1.1718
2007-10-22,1.1777
2007-10-23,1.1727
2007-10-24,1.1726
2007-10-25,1.1671
2007-10-26,1.1627
2007-10-29,1.1654
2007-10-30,1.1615
2007-10-31,1.1589
2007-11-01,1.1591
2007-11-02,1.1543
2007-11-05,1.1536
2007-11-06,1.1453
2007-11-07,1.1335
2007-11-08,1.1265
2007-11-09,1.1232
2007-11-12,.
2007-11-13,1.1256
2007-11-14,1.1222
2007-11-15,1.1224
2007-11-16,1.1170
2007-11-19,1.1163
2007-11-20,1.1099
2007-11-21,1.1037
2007-11-22,1.1037
2007-11-23,1.1026
2007-11-26,1.1005
2007-11-27,1.1054
2007-11-28,1.1186
2007-11-29,1.1177
2007-11-30,1.1287
2007-12-03,1.1291
2007-12-04,1.1172
2007-12-05,1.1249
2007-12-06,1.1276
2007-12-07,1.1296
2007-12-10,1.1276
2007-12-11,1.1330
2007-12-12,1.1355
2007-12-13,1.1432
2007-12-14,1.1536
2007-12-17,1.1522
2007-12-18,1.1529
2007-12-19,1.1563
2007-12-20,1.1563
2007-12-21,1.1566
2007-12-24,1.1567
2007-12-25,.
2007-12-26,1.1504
2007-12-27,1.1409
2007-12-28,1.1275
2007-12-31,1.1329
2008-01-01,.
2008-01-02,1.1174
2008-01-03,1.1134
2008-01-04,1.1064
2008-01-07,1.1176
2008-01-08,1.1138
2008-01-09,1.1151
2008-01-10,1.1069
2008-01-11,1.1026
2008-01-14,1.0928
2008-01-15,1.0917
2008-01-16,1.1008
2008-01-17,1.0993
2008-01-18,1.1010
2008-01-21,.
2008-01-22,1.0986
2008-01-23,1.0898
2008-01-24,1.0869
2008-01-25,1.0986
2008-01-28,1.0878
2008-01-29,1.0940
2008-01-30,1.0927
2008-01-31,1.0845
2008-02-01,1.0821
2008-02-04,1.0892
2008-02-05,1.1005
2008-02-06,1.0977
2008-02-07,1.1049
2008-02-08,1.1038
2008-02-11,1.1023
2008-02-12,1.1006
2008-02-13,1.1074
2008-02-14,1.0984
2008-02-15,1.0913
2008-02-18,.
2008-02-19,1.0930
2008-02-20,1.1003
2008-02-21,1.0916
2008-02-22,1.0856
2008-02-25,1.0856
2008-02-26,1.0849
2008-02-27,1.0637
2008-02-28,1.0533
2008-02-29,1.0435
2008-03-03,1.0431
2008-03-04,1.0354
2008-03-05,1.0364
2008-03-06,1.0291
2008-03-07,1.0250
2008-03-10,1.0192
2008-03-11,1.0292
2008-03-12,1.0217
2008-03-13,1.0116
2008-03-14,1.0072
2008-03-17,0.9860
2008-03-18,0.9899
2008-03-19,1.0006
2008-03-20,1.0107
2008-03-21,1.0085
2008-03-24,1.0230
2008-03-25,1.0088
2008-03-26,0.9955
2008-03-27,0.9932
2008-03-28,0.9981
2008-03-31,0.9921
2008-04-01,1.0108
2008-04-02,1.0148
2008-04-03,1.0079
2008-04-04,1.0052
2008-04-07,1.0144
2008-04-08,1.0140
2008-04-09,1.0019
2008-04-10,1.0051
2008-04-11,1.0016
2008-04-14,0.9975
2008-04-15,1.0019
2008-04-16,0.9979
2008-04-17,1.0025
2008-04-18,1.0253
2008-04-21,1.0121
2008-04-22,1.0004
2008-04-23,1.0146
2008-04-24,1.0341
2008-04-25,1.0335
2008-04-28,1.0339
2008-04-29,1.0329
2008-04-30,1.0422
2008-05-01,1.0478
2008-05-02,1.0562
2008-05-05,1.0539
2008-05-06,1.0485
2008-05-07,1.0583
2008-05-08,1.0510
2008-05-09,1.0432
2008-05-12,1.0443
2008-05-13,1.0490
2008-05-14,1.0558
2008-05-15,1.0531
2008-05-16,1.0448
2008-05-19,1.0545
2008-05-20,1.0376
2008-05-21,1.0297
2008-05-22,1.0324
2008-05-23,1.0235
2008-05-26,.
2008-05-27,1.0284
2008-05-28,1.0382
2008-05-29,1.0480
2008-05-30,1.0426
2008-06-02,1.0379
2008-06-03,1.0437
2008-06-04,1.0408
2008-06-05,1.0398
2008-06-06,1.0237
2008-06-09,1.0237
2008-06-10,1.0404
2008-06-11,1.0328
2008-06-12,1.0441
2008-06-13,1.0485
2008-06-16,1.0435
2008-06-17,1.0428
2008-06-18,1.0413
2008-06-19,1.0457
2008-06-20,1.0345
2008-06-23,1.0474
2008-06-24,1.0384
2008-06-25,1.0424
