DATE,DEXCHUS
2007-02-05,7.7602
2007-02-06,7.7565
2007-02-07,7.7474
2007-02-08,7.7484
2007-02-09,7.7476
2007-02-12,7.7570
2007-02-13,7.7632
2007-02-14,7.7565
2007-02-15,7.7545
2007-02-16,7.7426
2007-02-19,.
2007-02-20,7.7466
2007-02-21,7.7426
2007-02-22,7.7436
2007-02-23,7.7416
2007-02-26,7.7500
2007-02-27,7.7416
2007-02-28,7.7410
2007-03-01,7.7435
2007-03-02,7.7445
2007-03-05,7.7415
2007-03-06,7.7453
2007-03-07,7.7430
2007-03-08,7.7400
2007-03-09,7.7445
2007-03-12,7.7454
2007-03-13,7.7410
2007-03-14,7.7370
2007-03-15,7.7430
2007-03-16,7.7280
2007-03-19,7.7355
2007-03-20,7.7320
2007-03-21,7.7350
2007-03-22,7.7286
2007-03-23,7.7290
2007-03-26,7.7396
2007-03-27,7.7334
2007-03-28,7.7318
2007-03-29,7.7280
2007-03-30,7.7232
2007-04-02,7.7296
2007-04-03,7.7267
2007-04-04,7.7345
2007-04-05,7.7250
2007-04-06,7.7248
2007-04-09,7.7290
2007-04-10,7.7304
2007-04-11,7.7317
2007-04-12,7.7240
2007-04-13,7.7222
2007-04-16,7.7283
2007-04-17,7.7288
2007-04-18,7.7208
2007-04-19,7.7125
2007-04-20,7.7150
2007-04-23,7.7280
2007-04-24,7.7345
2007-04-25,7.7203
2007-04-26,7.7300
2007-04-27,7.7139
2007-04-30,7.7090
2007-05-01,7.7065
2007-05-02,7.7039
2007-05-03,7.7050
2007-05-04,7.7035
2007-05-07,7.7039
2007-05-08,7.6951
2007-05-09,7.6941
2007-05-10,7.6936
2007-05-11,7.6835
2007-05-14,7.6719
2007-05-15,7.6938
2007-05-16,7.6830
2007-05-17,7.6730
2007-05-18,7.6636
2007-05-21,7.6656
2007-05-22,7.6560
2007-05-23,7.6490
2007-05-24,7.6525
2007-05-25,7.6527
2007-05-28,.
2007-05-29,7.6514
2007-05-30,7.6463
2007-05-31,7.6516
2007-06-01,7.6483
2007-06-04,7.6503
2007-06-05,7.6397
2007-06-06,7.6377
2007-06-07,7.6525
2007-06-08,7.6666
2007-06-11,7.6680
2007-06-12,7.6456
2007-06-13,7.6370
2007-06-14,7.6420
2007-06-15,7.6245
2007-06-18,7.6193
2007-06-19,7.6175
2007-06-20,7.6180
2007-06-21,7.6208
2007-06-22,7.6220
2007-06-25,7.6187
2007-06-26,7.6178
2007-06-27,7.6210
2007-06-28,7.6198
2007-06-29,7.6120
2007-07-02,7.6055
2007-07-03,7.5948
2007-07-04,.
2007-07-05,7.6000
2007-07-06,7.6000
2007-07-09,7.6055
2007-07-10,7.5855
2007-07-11,7.5660
2007-07-12,7.5690
2007-07-13,7.5710
2007-07-16,7.5660
2007-07-17,7.5651
2007-07-18,7.5655
2007-07-19,7.5580
2007-07-20,7.5727
2007-07-23,7.5652
2007-07-24,7.5660
2007-07-25,7.5596
2007-07-26,7.5680
2007-07-27,7.5640
2007-07-30,7.5700
2007-07-31,7.5720
2007-08-01,7.5670
2007-08-02,7.5733
2007-08-03,7.5670
2007-08-06,7.5608
2007-08-07,7.5700
2007-08-08,7.5748
2007-08-09,7.5663
2007-08-10,7.5698
2007-08-13,7.5835
2007-08-14,7.5780
2007-08-15,7.5850
2007-08-16,7.6181
2007-08-17,7.5960
2007-08-20,7.5850
2007-08-21,7.5940
2007-08-22,7.5937
2007-08-23,7.5867
2007-08-24,7.5670
2007-08-27,7.5604
2007-08-28,7.5535
2007-08-29,7.5490
2007-08-30,7.5420
2007-08-31,7.5462
2007-09-03,7.5462
2007-09-04,7.5510
2007-09-05,7.5540
2007-09-06,7.5330
2007-09-07,7.5370
2007-09-10,7.5235
2007-09-11,7.5220
2007-09-12,7.5210
2007-09-13,7.5110
2007-09-14,7.5170
2007-09-17,7.5190
2007-09-18,7.5220
2007-09-19,7.5135
2007-09-20,7.5055
2007-09-21,7.5000
2007-09-24,7.5075
2007-09-25,7.5140
2007-09-26,7.5160
2007-09-27,7.5135
2007-09-28,7.4928
2007-10-01,7.5158
2007-10-02,7.5093
2007-10-03,7.5000
2007-10-04,7.5098
2007-10-05,7.5098
2007-10-08,7.5098
2007-10-09,7.5095
2007-10-10,7.5075
2007-10-11,7.5080
2007-10-12,7.5090
2007-10-15,7.5130
2007-10-16,7.5116
2007-10-17,7.5156
2007-10-18,7.5148
2007-10-19,7.5080
2007-10-22,7.5075
2007-10-23,7.5020
2007-10-24,7.4925
2007-10-25,7.4800
2007-10-26,7.4976
2007-10-29,7.4728
2007-10-30,7.4720
2007-10-31,7.4682
2007-11-01,7.4582
2007-11-02,7.4580
2007-11-05,7.4550
2007-11-06,7.4515
2007-11-07,7.4420
2007-11-08,7.4211
2007-11-09,7.4190
2007-11-12,.
2007-11-13,7.4279
2007-11-14,7.4250
2007-11-15,7.4250
2007-11-16,7.4250
2007-11-19,7.4313
2007-11-20,7.4225
2007-11-21,7.4160
2007-11-22,7.4160
2007-11-23,7.4079
2007-11-26,7.3970
2007-11-27,7.3865
2007-11-28,7.3905
2007-11-29,7.3800
2007-11-30,7.3850
2007-12-03,7.4010
2007-12-04,7.4050
2007-12-05,7.3900
2007-12-06,7.4120
2007-12-07,7.4070
2007-12-10,7.3900
2007-12-11,7.3790
2007-12-12,7.3740
2007-12-13,7.3700
2007-12-14,7.3750
2007-12-17,7.3805
2007-12-18,7.3741
2007-12-19,7.3718
2007-12-20,7.3669
2007-12-21,7.3680
2007-12-24,7.3475
2007-12-25,.
2007-12-26,7.3450
2007-12-27,7.3079
2007-12-28,7.3040
2007-12-31,7.2946
2008-01-01,.
2008-01-02,7.2946
2008-01-03,7.2755
2008-01-04,7.2695
2008-01-07,7.2705
2008-01-08,7.2670
2008-01-09,7.2625
2008-01-10,7.2700
2008-01-11,7.2615
2008-01-14,7.2526
2008-01-15,7.2345
2008-01-16,7.2400
2008-01-17,7.2245
2008-01-18,7.2424
2008-01-21,.
2008-01-22,7.2456
2008-01-23,7.2400
2008-01-24,7.2228
2008-01-25,7.2115
2008-01-28,7.1950
2008-01-29,7.1965
2008-01-30,7.1912
2008-01-31,7.1818
2008-02-01,7.1845
2008-02-04,7.1915
2008-02-05,7.1835
2008-02-06,7.1830
2008-02-07,7.1830
2008-02-08,7.1830
2008-02-11,7.1905
2008-02-12,7.1840
2008-02-13,7.1973
2008-02-14,7.1880
2008-02-15,7.1780
2008-02-18,.
2008-02-19,7.1485
2008-02-20,7.1425
2008-02-21,7.1395
2008-02-22,7.1400
2008-02-25,7.1522
2008-02-26,7.1580
2008-02-27,7.1400
2008-02-28,7.1100
2008-02-29,7.1115
2008-03-03,7.1035
2008-03-04,7.1060
2008-03-05,7.1075
2008-03-06,7.1059
2008-03-07,7.1110
2008-03-10,7.1060
2008-03-11,7.1027
2008-03-12,7.1010
2008-03-13,7.0900
2008-03-14,7.0890
2008-03-17,7.0830
2008-03-18,7.0795
2008-03-19,7.0660
2008-03-20,7.0520
2008-03-21,7.0515
2008-03-24,7.0550
2008-03-25,7.0440
2008-03-26,7.0290
2008-03-27,7.0105
2008-03-28,7.0120
2008-03-31,7.0120
2008-04-01,7.0116
2008-04-02,7.0185
2008-04-03,7.0150
2008-04-04,7.0150
2008-04-07,7.0010
2008-04-08,7.0008
2008-04-09,7.0017
2008-04-10,6.9910
2008-04-11,7.0060
2008-04-14,6.9990
2008-04-15,6.9945
2008-04-16,6.9920
2008-04-17,6.9840
2008-04-18,7.0065
2008-04-21,6.9996
2008-04-22,6.9890
2008-04-23,6.9895
2008-04-24,6.9955
2008-04-25,7.0095
2008-04-28,7.0020
2008-04-29,6.9845
2008-04-30,6.9870
2008-05-01,6.9876
2008-05-02,6.9870
2008-05-05,6.9815
2008-05-06,6.9860
2008-05-07,6.9860
2008-05-08,7.0000
2008-05-09,6.9876
2008-05-12,6.9881
2008-05-13,6.9889
2008-05-14,6.9990
2008-05-15,6.9943
2008-05-16,6.9880
2008-05-19,6.9700
2008-05-20,6.9725
2008-05-21,6.9592
2008-05-22,6.9420
2008-05-23,6.9412
2008-05-26,.
2008-05-27,6.9450
2008-05-28,6.9408
2008-05-29,6.9377
2008-05-30,6.9400
2008-06-02,6.9325
2008-06-03,6.9341
2008-06-04,6.9633
2008-06-05,6.9460
2008-06-06,6.9230
2008-06-09,6.9230
2008-06-10,6.9248
2008-06-11,6.9095
2008-06-12,6.9070
2008-06-13,6.9044
2008-06-16,6.8911
2008-06-17,6.8954
2008-06-18,6.8821
2008-06-19,6.8770
2008-06-20,6.8796
2008-06-23,6.8740
2008-06-24,6.8699
2008-06-25,6.8653
2008-06-26,6.8630
2008-06-27,6.8618
2008-06-30,6.8591
2008-07-01,6.8608
2008-07-02,6.8542
2008-07-03,6.8529
2008-07-04,.
2008-07-07,6.8567
2008-07-08,6.8510
2008-07-09,6.8632
2008-07-10,6.8430
2008-07-11,6.8338
2008-07-14,6.8450
2008-07-15,6.8211
2008-07-16,6.8104
2008-07-17,6.8189
2008-07-18,6.8168
2008-07-21,6.8271
2008-07-22,6.8248
2008-07-23,6.8279
2008-07-24,6.8292
2008-07-25,6.8189
2008-07-28,6.8332
2008-07-29,6.8264
2008-07-30,6.8272
2008-07-31,6.8388
2008-08-01,6.8423
2008-08-04,6.8471
2008-08-05,6.8501
2008-08-06,6.8482
2008-08-07,6.8555
2008-08-08,6.8604
2008-08-11,6.8577
2008-08-12,6.8659
2008-08-13,6.8601
2008-08-14,6.8600
2008-08-15,6.8649
2008-08-18,6.8705
2008-08-19,6.8599
2008-08-20,6.8529
2008-08-21,6.8405
2008-08-22,6.8333
