DATE,DEXDNUS
2007-02-05,5.7633
2007-02-06,5.7468
2007-02-07,5.7232
2007-02-08,5.7178
2007-02-09,5.7307
2007-02-12,5.7485
2007-02-13,5.7227
2007-02-14,5.6780
2007-02-15,5.6710
2007-02-16,5.6745
2007-02-19,.
2007-02-20,5.6749
2007-02-21,5.6781
2007-02-22,5.6762
2007-02-23,5.6611
2007-02-26,5.6638
2007-02-27,5.6262
2007-02-28,5.6308
2007-03-01,5.6552
2007-03-02,5.6485
2007-03-05,5.6874
2007-03-06,5.6803
2007-03-07,5.6645
2007-03-08,5.6716
2007-03-09,5.6783
2007-03-12,5.6483
2007-03-13,5.6440
2007-03-14,5.6329
2007-03-15,5.6219
2007-03-16,5.5960
2007-03-19,5.6001
2007-03-20,5.6032
2007-03-21,5.5986
2007-03-22,5.5752
2007-03-23,5.5996
2007-03-26,5.5862
2007-03-27,5.5756
2007-03-28,5.5874
2007-03-29,5.5849
2007-03-30,5.5709
2007-04-02,5.5692
2007-04-03,5.5749
2007-04-04,5.5757
2007-04-05,5.5518
2007-04-06,5.5743
2007-04-09,5.5772
2007-04-10,5.5491
2007-04-11,5.5489
2007-04-12,5.5294
2007-04-13,5.5129
2007-04-16,5.5011
2007-04-17,5.4933
2007-04-18,5.4891
2007-04-19,5.4776
2007-04-20,5.4789
2007-04-23,5.4871
2007-04-24,5.4680
2007-04-25,5.4606
2007-04-26,5.4824
2007-04-27,5.4680
2007-04-30,5.4553
2007-05-01,5.4792
2007-05-02,5.4792
2007-05-03,5.4912
2007-05-04,5.4828
2007-05-07,5.4714
2007-05-08,5.5054
2007-05-09,5.4997
2007-05-10,5.5144
2007-05-11,5.5113
2007-05-14,5.5014
2007-05-15,5.4784
2007-05-16,5.5111
2007-05-17,5.5231
2007-05-18,5.5162
2007-05-21,5.5387
2007-05-22,5.5350
2007-05-23,5.5271
2007-05-24,5.5485
2007-05-25,5.5381
2007-05-28,.
2007-05-29,5.5254
2007-05-30,5.5494
2007-05-31,5.5370
2007-06-01,5.5406
2007-06-04,5.5206
2007-06-05,5.5045
2007-06-06,5.5191
2007-06-07,5.5333
2007-06-08,5.5714
2007-06-11,5.5734
2007-06-12,5.5872
2007-06-13,5.6002
2007-06-14,5.5929
2007-06-15,5.5700
2007-06-18,5.5538
2007-06-19,5.5489
2007-06-20,5.5435
2007-06-21,5.5548
2007-06-22,5.5364
2007-06-25,5.5295
2007-06-26,5.5235
2007-06-27,5.5400
2007-06-28,5.5249
2007-06-29,5.5040
2007-07-02,5.4607
2007-07-03,5.4656
2007-07-04,.
2007-07-05,5.4729
2007-07-06,5.4589
2007-07-09,5.4599
2007-07-10,5.4242
2007-07-11,5.4071
2007-07-12,5.4015
2007-07-13,5.3951
2007-07-16,5.3964
2007-07-17,5.3982
2007-07-18,5.3872
2007-07-19,5.3873
2007-07-20,5.3780
2007-07-23,5.3830
2007-07-24,5.3806
2007-07-25,5.4258
2007-07-26,5.4194
2007-07-27,5.4519
2007-07-30,5.4375
2007-07-31,5.4260
2007-08-01,5.4381
2007-08-02,5.4349
2007-08-03,5.3984
2007-08-06,5.3966
2007-08-07,5.4143
2007-08-08,5.3899
