DATE,DEXHKUS
2007-02-05,7.8086
2007-02-06,7.8090
2007-02-07,7.8130
2007-02-08,7.8141
2007-02-09,7.8131
2007-02-12,7.8136
2007-02-13,7.8141
2007-02-14,7.8133
2007-02-15,7.8087
2007-02-16,7.8124
2007-02-19,.
2007-02-20,7.8141
2007-02-21,7.8127
2007-02-22,7.8112
2007-02-23,7.8087
2007-02-26,7.8127
2007-02-27,7.8136
2007-02-28,7.8119
2007-03-01,7.8119
2007-03-02,7.8146
2007-03-05,7.8149
2007-03-06,7.8151
2007-03-07,7.8177
2007-03-08,7.8129
2007-03-09,7.8141
2007-03-12,7.8143
2007-03-13,7.8154
2007-03-14,7.8148
2007-03-15,7.8116
2007-03-16,7.8108
2007-03-19,7.8124
2007-03-20,7.8124
2007-03-21,7.8107
2007-03-22,7.8093
2007-03-23,7.8105
2007-03-26,7.8130
2007-03-27,7.8130
2007-03-28,7.8139
2007-03-29,7.8127
2007-03-30,7.8137
2007-04-02,7.8155
2007-04-03,7.8153
2007-04-04,7.8166
2007-04-05,7.8162
2007-04-06,7.8174
2007-04-09,7.8175
2007-04-10,7.8124
2007-04-11,7.8129
2007-04-12,7.8143
2007-04-13,7.8120
2007-04-16,7.8134
2007-04-17,7.8117
2007-04-18,7.8095
2007-04-19,7.8133
2007-04-20,7.8137
2007-04-23,7.8148
2007-04-24,7.8154
2007-04-25,7.8180
2007-04-26,7.8210
2007-04-27,7.8212
2007-04-30,7.8212
2007-05-01,7.8222
2007-05-02,7.8215
2007-05-03,7.8211
2007-05-04,7.8207
2007-05-07,7.8182
2007-05-08,7.8180
2007-05-09,7.8197
2007-05-10,7.8204
2007-05-11,7.8201
2007-05-14,7.8116
2007-05-15,7.8141
2007-05-16,7.8185
2007-05-17,7.8204
2007-05-18,7.8188
2007-05-21,7.8215
2007-05-22,7.8236
2007-05-23,7.8228
2007-05-24,7.8233
2007-05-25,7.8225
2007-05-28,.
2007-05-29,7.8194
2007-05-30,7.8044
2007-05-31,7.8087
2007-06-01,7.8106
2007-06-04,7.8062
2007-06-05,7.8086
2007-06-06,7.8116
2007-06-07,7.8146
2007-06-08,7.8157
2007-06-11,7.8141
2007-06-12,7.8167
2007-06-13,7.8148
2007-06-14,7.8169
2007-06-15,7.8188
2007-06-18,7.8171
2007-06-19,7.8171
2007-06-20,7.8141
2007-06-21,7.8123
2007-06-22,7.8151
2007-06-25,7.8122
2007-06-26,7.8126
2007-06-27,7.8147
2007-06-28,7.8165
2007-06-29,7.8184
2007-07-02,7.8165
2007-07-03,7.8129
2007-07-04,.
2007-07-05,7.8173
2007-07-06,7.8175
2007-07-09,7.8148
2007-07-10,7.8158
2007-07-11,7.8160
2007-07-12,7.8165
2007-07-13,7.8194
2007-07-16,7.8202
2007-07-17,7.8202
2007-07-18,7.8201
2007-07-19,7.8209
2007-07-20,7.8199
2007-07-23,7.8202
2007-07-24,7.8218
2007-07-25,7.8240
2007-07-26,7.8237
2007-07-27,7.8242
2007-07-30,7.8246
2007-07-31,7.8264
2007-08-01,7.8285
2007-08-02,7.8277
2007-08-03,7.8283
2007-08-06,7.8289
2007-08-07,7.8281
2007-08-08,7.8281
2007-08-09,7.8235
2007-08-10,7.8197
2007-08-13,7.8231
2007-08-14,7.8224
2007-08-15,7.8203
2007-08-16,7.8181
2007-08-17,7.8137
2007-08-20,7.8189
2007-08-21,7.8073
2007-08-22,7.8081
2007-08-23,7.8093
2007-08-24,7.8005
2007-08-27,7.8035
2007-08-28,7.7991
2007-08-29,7.8042
2007-08-30,7.7975
2007-08-31,7.7968
2007-09-03,7.7968
2007-09-04,7.7947
2007-09-05,7.7928
2007-09-06,7.7865
2007-09-07,7.7871
2007-09-10,7.7758
2007-09-11,7.7864
2007-09-12,7.7878
2007-09-13,7.7889
2007-09-14,7.7873
2007-09-17,7.7875
2007-09-18,7.7888
2007-09-19,7.7848
2007-09-20,7.7828
2007-09-21,7.7834
2007-09-24,7.7735
2007-09-25,7.7681
2007-09-26,7.7668
2007-09-27,7.7591
2007-09-28,7.7689
2007-10-01,7.7694
2007-10-02,7.7625
2007-10-03,7.7588
2007-10-04,7.7590
2007-10-05,7.7556
2007-10-08,7.7556
2007-10-09,7.7604
2007-10-10,7.7559
2007-10-11,7.7555
2007-10-12,7.7535
2007-10-15,7.7536
2007-10-16,7.7540
2007-10-17,7.7541
2007-10-18,7.7510
2007-10-19,7.7504
2007-10-22,7.7504
2007-10-23,7.7506
2007-10-24,7.7509
2007-10-25,7.7502
2007-10-26,7.7504
2007-10-29,7.7511
2007-10-30,7.7497
2007-10-31,7.7502
2007-11-01,7.7573
2007-11-02,7.7573
2007-11-05,7.7635
2007-11-06,7.7630
2007-11-07,7.7649
2007-11-08,7.7651
2007-11-09,7.7817
2007-11-12,.
2007-11-13,7.7870
2007-11-14,7.7890
2007-11-15,7.7866
2007-11-16,7.7819
2007-11-19,7.7818
2007-11-20,7.7795
2007-11-21,7.7808
2007-11-22,7.7808
2007-11-23,7.7779
2007-11-26,7.7844
2007-11-27,7.7838
2007-11-28,7.7840
2007-11-29,7.7885
2007-11-30,7.7874
2007-12-03,7.7879
2007-12-04,7.7911
2007-12-05,7.7944
2007-12-06,7.7932
2007-12-07,7.7938
2007-12-10,7.7966
2007-12-11,7.7967
2007-12-12,7.7984
2007-12-13,7.7966
2007-12-14,7.7991
2007-12-17,7.7974
2007-12-18,7.8023
2007-12-19,7.8005
2007-12-20,7.8010
2007-12-21,7.8006
2007-12-24,7.8055
2007-12-25,.
2007-12-26,7.8073
2007-12-27,7.8012
2007-12-28,7.8047
2007-12-31,7.7984
2008-01-01,.
2008-01-02,7.8107
2008-01-03,7.8047
2008-01-04,7.8003
2008-01-07,7.8015
2008-01-08,7.8016
2008-01-09,7.8053
2008-01-10,7.8036
2008-01-11,7.8052
2008-01-14,7.8036
2008-01-15,7.7989
2008-01-16,7.7998
2008-01-17,7.8047
2008-01-18,7.8073
