DATE,DEXJPUS
2007-02-05,120.34
2007-02-06,120.35
2007-02-07,120.65
2007-02-08,121.19
2007-02-09,121.59
2007-02-12,121.77
2007-02-13,121.24
2007-02-14,120.80
2007-02-15,119.49
2007-02-16,119.23
2007-02-19,.
2007-02-20,120.10
2007-02-21,120.99
2007-02-22,121.30
2007-02-23,121.10
2007-02-26,120.76
2007-02-27,118.67
2007-02-28,118.33
2007-03-01,117.53
2007-03-02,116.82
2007-03-05,116.01
2007-03-06,116.50
2007-03-07,116.41
2007-03-08,117.35
2007-03-09,118.15
2007-03-12,117.51
2007-03-13,116.96
2007-03-14,116.33
2007-03-15,117.26
2007-03-16,116.77
2007-03-19,117.58
2007-03-20,117.32
2007-03-21,117.83
2007-03-22,117.79
2007-03-23,117.82
2007-03-26,117.84
2007-03-27,117.80
2007-03-28,116.83
2007-03-29,117.75
2007-03-30,117.56
2007-04-02,117.69
2007-04-03,118.83
2007-04-04,118.72
2007-04-05,118.66
2007-04-06,119.33
2007-04-09,119.28
2007-04-10,119.07
2007-04-11,119.36
2007-04-12,118.99
2007-04-13,119.27
2007-04-16,119.84
2007-04-17,118.96
2007-04-18,118.27
2007-04-19,118.36
2007-04-20,118.81
2007-04-23,118.47
2007-04-24,118.52
2007-04-25,118.62
2007-04-26,119.50
2007-04-27,119.59
2007-04-30,119.44
2007-05-01,119.77
2007-05-02,120.05
2007-05-03,120.33
2007-05-04,120.16
2007-05-07,119.96
2007-05-08,119.89
2007-05-09,119.80
2007-05-10,120.37
2007-05-11,120.19
2007-05-14,120.37
2007-05-15,120.22
2007-05-16,120.74
2007-05-17,121.30
2007-05-18,121.09
2007-05-21,121.57
2007-05-22,121.47
2007-05-23,121.52
2007-05-24,121.46
2007-05-25,121.72
2007-05-28,.
2007-05-29,121.79
2007-05-30,121.48
2007-05-31,121.76
2007-06-01,122.10
2007-06-04,121.72
2007-06-05,121.49
2007-06-06,121.08
2007-06-07,121.34
2007-06-08,121.62
2007-06-11,121.78
2007-06-12,121.76
2007-06-13,122.37
2007-06-14,122.97
2007-06-15,123.55
2007-06-18,123.67
2007-06-19,123.39
2007-06-20,123.60
2007-06-21,123.68
2007-06-22,124.09
2007-06-25,123.84
2007-06-26,123.49
2007-06-27,122.52
2007-06-28,123.01
2007-06-29,123.39
2007-07-02,122.32
2007-07-03,122.40
2007-07-04,.
2007-07-05,122.82
2007-07-06,123.27
2007-07-09,123.34
2007-07-10,122.19
2007-07-11,122.13
2007-07-12,122.50
2007-07-13,121.99
2007-07-16,121.90
2007-07-17,122.36
2007-07-18,121.83
2007-07-19,122.06
2007-07-20,121.15
2007-07-23,121.31
2007-07-24,120.57
2007-07-25,120.33
2007-07-26,119.14
2007-07-27,118.56
2007-07-30,118.41
2007-07-31,119.13
2007-08-01,118.71
2007-08-02,119.35
2007-08-03,118.43
2007-08-06,118.04
2007-08-07,118.48
2007-08-08,119.76
2007-08-09,118.69
2007-08-10,118.00
2007-08-13,118.47
2007-08-14,118.21
2007-08-15,117.19
2007-08-16,114.03
2007-08-17,113.81
2007-08-20,114.49
2007-08-21,114.42
2007-08-22,114.95
2007-08-23,115.81
2007-08-24,116.12
2007-08-27,116.05
2007-08-28,114.70
2007-08-29,115.52
2007-08-30,115.81
2007-08-31,115.83
2007-09-03,115.83
2007-09-04,116.21
2007-09-05,115.15
2007-09-06,115.33
2007-09-07,113.57
2007-09-10,113.43
2007-09-11,113.97
2007-09-12,114.24
2007-09-13,115.37
2007-09-14,115.31
2007-09-17,114.93
2007-09-18,115.75
2007-09-19,116.21
2007-09-20,114.18
2007-09-21,115.60
2007-09-24,114.92
2007-09-25,114.48
2007-09-26,115.66
2007-09-27,115.76
2007-09-28,114.97
2007-10-01,115.91
2007-10-02,115.83
2007-10-03,116.74
2007-10-04,116.59
2007-10-05,116.83
2007-10-08,116.83
2007-10-09,116.98
2007-10-10,117.17
2007-10-11,117.71
2007-10-12,117.50
2007-10-15,117.37
2007-10-16,116.61
2007-10-17,116.62
2007-10-18,115.64
2007-10-19,115.15
2007-10-22,114.07
2007-10-23,114.65
2007-10-24,113.94
2007-10-25,114.09
2007-10-26,114.01
2007-10-29,114.69
2007-10-30,114.72
2007-10-31,115.27
2007-11-01,114.87
2007-11-02,114.74
2007-11-05,114.54
2007-11-06,114.51
2007-11-07,113.29
2007-11-08,112.66
2007-11-09,110.90
2007-11-12,.
2007-11-13,110.31
2007-11-14,111.38
2007-11-15,110.78
2007-11-16,111.05
2007-11-19,110.05
2007-11-20,110.05
2007-11-21,108.54
2007-11-22,108.54
2007-11-23,108.17
2007-11-26,108.17
2007-11-27,108.64
2007-11-28,110.38
2007-11-29,109.94
2007-11-30,111.02
2007-12-03,110.44
2007-12-04,109.68
2007-12-05,110.85
2007-12-06,111.05
2007-12-07,111.72
2007-12-10,111.60
2007-12-11,111.77
2007-12-12,112.36
2007-12-13,112.26
2007-12-14,113.35
2007-12-17,113.20
2007-12-18,113.17
2007-12-19,113.44
2007-12-20,112.97
2007-12-21,113.95
2007-12-24,114.45
2007-12-25,.
2007-12-26,114.08
2007-12-27,114.00
2007-12-28,112.93
2007-12-31,111.71
2008-01-01,.
2008-01-02,109.70
2008-01-03,109.58
2008-01-04,108.38
2008-01-07,109.10
2008-01-08,109.29
2008-01-09,109.40
2008-01-10,109.38
2008-01-11,109.11
2008-01-14,108.18
2008-01-15,107.07
2008-01-16,107.27
2008-01-17,107.01
2008-01-18,106.82
2008-01-21,.
2008-01-22,106.76
2008-01-23,105.42
2008-01-24,106.68
2008-01-25,107.31
2008-01-28,106.65
2008-01-29,107.08
2008-01-30,107.25
2008-01-31,106.74
2008-02-01,106.30
2008-02-04,106.73
2008-02-05,106.94
2008-02-06,106.7500
2008-02-07,106.8200
2008-02-08,107.3400
2008-02-11,106.6400
2008-02-12,107.4200
2008-02-13,108.1500
2008-02-14,107.9700
2008-02-15,107.6700
2008-02-18,.
2008-02-19,107.5000
2008-02-20,107.9700
2008-02-21,107.6000
2008-02-22,106.9800
2008-02-25,107.8800
2008-02-26,107.7300
2008-02-27,106.3800
2008-02-28,105.6400
2008-02-29,104.1900
2008-03-03,103.5700
2008-03-04,102.6700
2008-03-05,103.9900
2008-03-06,103.1000
2008-03-07,102.6900
2008-03-10,101.8000
2008-03-11,102.8700
2008-03-12,102.3800
2008-03-13,100.5800
2008-03-14,100.2000
2008-03-17,96.8800
2008-03-18,98.2300
2008-03-19,99.3400
2008-03-20,98.7900
2008-03-21,99.4000
2008-03-24,100.7700
2008-03-25,100.0700
2008-03-26,99.1200
2008-03-27,99.8700
2008-03-28,99.7100
2008-03-31,99.8500
2008-04-01,101.7700
2008-04-02,102.7700
2008-04-03,102.2100
2008-04-04,101.7500
2008-04-07,102.6200
2008-04-08,102.5500
2008-04-09,101.8300
2008-04-10,101.7100
2008-04-11,101.0900
2008-04-14,100.8700
2008-04-15,101.3300
2008-04-16,101.4000
2008-04-17,102.2200
2008-04-18,104.5600
2008-04-21,103.3800
2008-04-22,102.7000
2008-04-23,103.5500
2008-04-24,104.2000
2008-04-25,104.1700
2008-04-28,104.3000
2008-04-29,103.4000
2008-04-30,104.5300
2008-05-01,104.0400
2008-05-02,105.3300
2008-05-05,105.1200
2008-05-06,104.5400
2008-05-07,105.2800
2008-05-08,103.8700
2008-05-09,103.0100
2008-05-12,103.8300
2008-05-13,104.4100
2008-05-14,105.2000
2008-05-15,104.6100
2008-05-16,103.8600
2008-05-19,104.5500
2008-05-20,103.6600
2008-05-21,103.3400
2008-05-22,104.0300
2008-05-23,103.2200
2008-05-26,.
2008-05-27,103.9800
2008-05-28,104.6900
2008-05-29,105.5200
2008-05-30,105.4600
2008-06-02,104.4100
2008-06-03,105.2900
2008-06-04,104.9900
2008-06-05,106.0000
2008-06-06,105.3300
2008-06-09,106.0600
2008-06-10,107.1900
2008-06-11,106.7700
2008-06-12,107.9400
2008-06-13,107.9200
2008-06-16,108.1900
2008-06-17,108.0300
2008-06-18,108.0500
2008-06-19,107.9500
2008-06-20,107.4200
2008-06-23,107.8900
2008-06-24,107.7600
2008-06-25,108.2900
2008-06-26,107.2900
2008-06-27,106.2800
2008-06-30,106.1700
2008-07-01,105.7300
2008-07-02,105.8700
2008-07-03,106.7900
2008-07-04,.
2008-07-07,107.5500
2008-07-08,107.3500
2008-07-09,107.1200
2008-07-10,107.0300
2008-07-11,106.1400
2008-07-14,106.1800
2008-07-15,104.7800
2008-07-16,104.6400
2008-07-17,105.8200
2008-07-18,106.7500
2008-07-21,106.7400
2008-07-22,107.1100
2008-07-23,107.6800
2008-07-24,107.6200
2008-07-25,107.8900
2008-07-28,107.4900
2008-07-29,108.1900
2008-07-30,108.1700
2008-07-31,108.1000
2008-08-01,107.5900
2008-08-04,108.2300
2008-08-05,108.2000
2008-08-06,109.3900
2008-08-07,109.4400
2008-08-08,110.0900
2008-08-11,110.0800
2008-08-12,109.7800
2008-08-13,108.7100
2008-08-14,109.7500
2008-08-15,110.4800
2008-08-18,110.0700
2008-08-19,109.6800
2008-08-20,109.9800
2008-08-21,108.3500
2008-08-22,109.8800
2008-08-25,109.1100
2008-08-26,109.8300
2008-08-27,109.7200
2008-08-28,109.5600
2008-08-29,108.6900
2008-09-01,.
2008-09-02,108.8500
2008-09-03,108.1800
2008-09-04,107.7600
2008-09-05,106.9600
2008-09-08,107.9100
2008-09-09,107.1000
2008-09-10,107.8600
2008-09-11,106.6600
2008-09-12,107.5100
2008-09-15,105.6700
2008-09-16,105.1100
2008-09-17,104.7100
2008-09-18,104.8500
2008-09-19,107.1800
2008-09-22,106.3500
2008-09-23,105.8000
