DATE,DEXKOUS
2007-02-05,935.50
2007-02-06,932.50
2007-02-07,933.20
2007-02-08,934.50
2007-02-09,934.30
2007-02-12,937.40
2007-02-13,939.40
2007-02-14,938.20
2007-02-15,934.20
2007-02-16,936.00
2007-02-19,.
2007-02-20,938.20
2007-02-21,938.20
2007-02-22,938.70
2007-02-23,937.50
2007-02-26,938.50
2007-02-27,938.50
2007-02-28,942.30
2007-03-01,941.40
2007-03-02,947.40
2007-03-05,949.10
2007-03-06,947.60
2007-03-07,947.10
2007-03-08,945.60
2007-03-09,945.10
2007-03-12,943.80
2007-03-13,944.30
2007-03-14,946.20
2007-03-15,944.10
2007-03-16,944.60
2007-03-19,943.60
2007-03-20,941.30
2007-03-21,937.70
2007-03-22,937.90
2007-03-23,937.20
2007-03-26,937.65
2007-03-27,940.70
2007-03-28,939.60
2007-03-29,940.40
2007-03-30,941.10
2007-04-02,937.00
2007-04-03,936.40
2007-04-04,936.10
2007-04-05,932.10
2007-04-06,931.60
2007-04-09,932.60
2007-04-10,933.60
2007-04-11,932.20
2007-04-12,931.60
2007-04-13,929.00
2007-04-16,931.40
2007-04-17,928.60
2007-04-18,927.90
2007-04-19,928.50
2007-04-20,927.40
2007-04-23,926.10
2007-04-24,927.25
2007-04-25,926.60
2007-04-26,928.55
2007-04-27,929.00
2007-04-30,931.00
2007-05-01,930.70
2007-05-02,929.80
2007-05-03,926.70
2007-05-04,927.30
2007-05-07,922.30
2007-05-08,922.70
2007-05-09,923.20
2007-05-10,925.65
2007-05-11,926.10
2007-05-14,923.15
2007-05-15,924.20
2007-05-16,923.60
2007-05-17,927.80
2007-05-18,934.00
2007-05-21,929.90
2007-05-22,931.70
2007-05-23,931.20
2007-05-24,932.70
2007-05-25,928.00
2007-05-28,.
2007-05-29,927.50
2007-05-30,930.80
2007-05-31,927.40
2007-06-01,928.10
2007-06-04,927.30
2007-06-05,926.50
2007-06-06,926.80
2007-06-07,926.50
2007-06-08,932.30
2007-06-11,931.70
2007-06-12,930.20
2007-06-13,931.50
2007-06-14,929.70
2007-06-15,927.60
2007-06-18,928.40
2007-06-19,927.60
2007-06-20,927.60
2007-06-21,926.60
2007-06-22,927.90
2007-06-25,926.20
2007-06-26,926.10
2007-06-27,927.40
2007-06-28,926.60
2007-06-29,922.60
2007-07-02,921.30
2007-07-03,917.70
2007-07-04,.
2007-07-05,921.70
2007-07-06,919.40
2007-07-09,920.90
2007-07-10,919.60
2007-07-11,919.10
2007-07-12,918.40
2007-07-13,916.40
2007-07-16,917.90
2007-07-17,917.90
2007-07-18,916.20
2007-07-19,915.70
2007-07-20,914.70
2007-07-23,914.90
2007-07-24,913.80
2007-07-25,913.60
2007-07-26,917.90
2007-07-27,921.40
2007-07-30,923.00
2007-07-31,919.00
2007-08-01,924.90
2007-08-02,922.60
2007-08-03,922.50
2007-08-06,923.10
2007-08-07,922.60
2007-08-08,923.80
2007-08-09,922.70
2007-08-10,931.50
2007-08-13,929.10
2007-08-14,932.20
2007-08-15,932.00
2007-08-16,945.90
2007-08-17,950.20
2007-08-20,942.60
2007-08-21,943.20
2007-08-22,943.80
2007-08-23,941.40
2007-08-24,941.45
2007-08-27,938.30
2007-08-28,939.40
2007-08-29,941.70
2007-08-30,940.10
2007-08-31,938.10
2007-09-03,938.10
2007-09-04,938.80
2007-09-05,937.80
2007-09-06,938.70
2007-09-07,937.70
2007-09-10,939.90
2007-09-11,936.50
2007-09-12,931.60
2007-09-13,927.40
2007-09-14,927.90
2007-09-17,929.40
2007-09-18,929.80
2007-09-19,924.80
2007-09-20,918.70
2007-09-21,920.70
2007-09-24,919.10
2007-09-25,920.70
2007-09-26,920.80
2007-09-27,919.90
2007-09-28,913.60
2007-10-01,914.50
2007-10-02,915.70
2007-10-03,915.50
2007-10-04,916.30
2007-10-05,915.90
2007-10-08,915.90
2007-10-09,918.20
2007-10-10,919.30
2007-10-11,915.50
2007-10-12,917.60
2007-10-15,916.70
2007-10-16,917.50
2007-10-17,917.30
2007-10-18,916.00
2007-10-19,915.50
2007-10-22,916.80
2007-10-23,918.00
2007-10-24,917.50
2007-10-25,915.00
2007-10-26,908.90
2007-10-29,910.20
2007-10-30,906.70
2007-10-31,903.20
2007-11-01,907.00
2007-11-02,908.00
2007-11-05,907.50
2007-11-06,906.20
2007-11-07,905.20
2007-11-08,907.00
2007-11-09,910.40
2007-11-12,.
2007-11-13,914.60
2007-11-14,913.10
2007-11-15,919.10
2007-11-16,917.30
2007-11-19,920.50
2007-11-20,921.80
2007-11-21,932.80
2007-11-22,932.80
2007-11-23,930.50
2007-11-26,929.00
2007-11-27,931.80
2007-11-28,931.20
2007-11-29,928.30
2007-11-30,920.90
2007-12-03,923.80
2007-12-04,922.30
