DATE,DEXMXUS
2007-02-05,10.9275
2007-02-06,10.922
2007-02-07,10.940
2007-02-08,10.967
2007-02-09,10.9555
2007-02-12,11.012
2007-02-13,10.990
2007-02-14,10.917
2007-02-15,10.952
2007-02-16,10.9924
2007-02-19,.
2007-02-20,10.9735
2007-02-21,10.9895
2007-02-22,10.9765
2007-02-23,11.0285
2007-02-26,11.0715
2007-02-27,11.1475
2007-02-28,11.1575
2007-03-01,11.1846
2007-03-02,11.1765
2007-03-05,11.174
2007-03-06,11.1403
2007-03-07,11.155
2007-03-08,11.1451
2007-03-09,11.117
2007-03-12,11.157
2007-03-13,11.1615
2007-03-14,11.180
2007-03-15,11.142
2007-03-16,11.158
2007-03-19,11.149
2007-03-20,11.1075
2007-03-21,11.0795
2007-03-22,11.014
2007-03-23,11.013
2007-03-26,11.0255
2007-03-27,11.0495
2007-03-28,11.0875
2007-03-29,11.058
2007-03-30,11.0427
2007-04-02,11.0305
2007-04-03,10.9785
2007-04-04,10.9965
2007-04-05,10.990
2007-04-06,10.970
2007-04-09,10.971
2007-04-10,11.0161
2007-04-11,10.988
2007-04-12,11.0125
2007-04-13,10.9915
2007-04-16,10.9865
2007-04-17,10.987
2007-04-18,10.9905
2007-04-19,11.0005
2007-04-20,10.9864
2007-04-23,10.9685
2007-04-24,11.003
2007-04-25,10.9385
2007-04-26,10.926
2007-04-27,10.924
2007-04-30,10.9295
2007-05-01,10.9308
2007-05-02,10.9285
2007-05-03,10.8966
2007-05-04,10.8825
2007-05-07,10.8504
2007-05-08,10.8475
2007-05-09,10.8231
2007-05-10,10.8175
2007-05-11,10.8125
2007-05-14,10.7981
2007-05-15,10.7975
2007-05-16,10.7951
2007-05-17,10.800
2007-05-18,10.8222
2007-05-21,10.794
2007-05-22,10.7641
2007-05-23,10.7705
2007-05-24,10.8332
2007-05-25,10.775
2007-05-28,.
2007-05-29,10.7965
2007-05-30,10.8125
2007-05-31,10.738
2007-06-01,10.7116
2007-06-04,10.7465
2007-06-05,10.795
2007-06-06,10.8575
2007-06-07,10.8985
2007-06-08,10.9785
2007-06-11,10.9146
2007-06-12,10.9243
2007-06-13,10.958
2007-06-14,10.9085
2007-06-15,10.8095
2007-06-18,10.7665
2007-06-19,10.7404
2007-06-20,10.7785
2007-06-21,10.8175
2007-06-22,10.795
2007-06-25,10.8151
2007-06-26,10.835
2007-06-27,10.8671
2007-06-28,10.7855
2007-06-29,10.7901
2007-07-02,10.771
2007-07-03,10.7681
2007-07-04,.
2007-07-05,10.793
2007-07-06,10.7805
2007-07-09,10.7562
2007-07-10,10.780
2007-07-11,10.825
2007-07-12,10.7805
2007-07-13,10.7651
2007-07-16,10.7706
2007-07-17,10.760
2007-07-18,10.751
2007-07-19,10.7276
2007-07-20,10.7966
2007-07-23,10.7574
2007-07-24,10.7895
2007-07-25,10.868
2007-07-26,10.9445
2007-07-27,11.011
2007-07-30,10.979
2007-07-31,10.9311
2007-08-01,10.9605
2007-08-02,10.933
2007-08-03,10.9645
2007-08-06,10.978
2007-08-07,10.9625
2007-08-08,10.9265
2007-08-09,10.977
2007-08-10,10.9988
2007-08-13,10.9865
2007-08-14,11.045
2007-08-15,11.122
2007-08-16,11.2692
2007-08-17,11.132
2007-08-20,11.123
2007-08-21,11.1185
2007-08-22,11.063
2007-08-23,11.0755
2007-08-24,11.031
2007-08-27,11.0405
2007-08-28,11.099
2007-08-29,11.085
2007-08-30,11.0845
2007-08-31,11.032
2007-09-03,11.032
2007-09-04,11.0286
2007-09-05,11.0866
2007-09-06,11.055
2007-09-07,11.1255
2007-09-10,11.1475
2007-09-11,11.1076
2007-09-12,11.0675
2007-09-13,11.0731
2007-09-14,11.1095
2007-09-17,11.1482
2007-09-18,11.0925
2007-09-19,10.988
2007-09-20,10.9676
2007-09-21,10.9456
2007-09-24,10.9385
2007-09-25,10.9413
2007-09-26,10.9265
2007-09-27,10.9255
2007-09-28,10.9315
2007-10-01,10.913
2007-10-02,10.9101
2007-10-03,10.873
2007-10-04,10.891
2007-10-05,10.8474
2007-10-08,10.8474
2007-10-09,10.8281
2007-10-10,10.8402
2007-10-11,10.812
2007-10-12,10.825
2007-10-15,10.8085
2007-10-16,10.8368
2007-10-17,10.8145
2007-10-18,10.815
2007-10-19,10.7945
2007-10-22,10.8381
2007-10-23,10.8288
2007-10-24,10.8425
2007-10-25,10.8385
2007-10-26,10.762
2007-10-29,10.7087
2007-10-30,10.718
2007-10-31,10.6996
2007-11-01,10.667
2007-11-02,10.7002
2007-11-05,10.7306
2007-11-06,10.703
2007-11-07,10.737
2007-11-08,10.8165
2007-11-09,10.8806
2007-11-12,.
2007-11-13,10.8921
2007-11-14,10.869
2007-11-15,10.920
2007-11-16,10.9291
2007-11-19,10.9925
2007-11-20,10.960
2007-11-21,11.0005
2007-11-22,11.0005
2007-11-23,10.9755
2007-11-26,10.987
2007-11-27,10.9745
2007-11-28,10.934
2007-11-29,10.9385
2007-11-30,10.896
2007-12-03,10.907
2007-12-04,10.908
2007-12-05,10.853
2007-12-06,10.8346
2007-12-07,10.814
2007-12-10,10.8195
2007-12-11,10.8001
2007-12-12,10.8105
2007-12-13,10.830
2007-12-14,10.824
2007-12-17,10.8509
2007-12-18,10.8601
2007-12-19,10.8455
2007-12-20,10.8405
2007-12-21,10.8225
2007-12-24,10.813
2007-12-25,.
2007-12-26,10.813
2007-12-27,10.867
2007-12-28,10.8958
2007-12-31,10.9169
2008-01-01,.
2008-01-02,10.902
2008-01-03,10.8821
2008-01-04,10.927
2008-01-07,10.9175
2008-01-08,10.8887
2008-01-09,10.973
2008-01-10,10.9575
2008-01-11,10.922
2008-01-14,10.9155
2008-01-15,10.9177
2008-01-16,10.9360
2008-01-17,10.9410
2008-01-18,10.9375
2008-01-21,.
2008-01-22,10.9260
2008-01-23,10.9529
2008-01-24,10.8910
2008-01-25,10.8680
2008-01-28,10.8730
2008-01-29,10.8405
2008-01-30,10.8315
2008-01-31,10.8190
2008-02-01,10.8120
2008-02-04,10.7925
2008-02-05,10.8236
2008-02-06,10.8178
2008-02-07,10.7946
2008-02-08,10.7580
2008-02-11,10.7725
2008-02-12,10.7481
2008-02-13,10.7500
2008-02-14,10.7457
2008-02-15,10.7660
2008-02-18,.
2008-02-19,10.7460
2008-02-20,10.7990
2008-02-21,10.7980
2008-02-22,10.7751
2008-02-25,10.7915
2008-02-26,10.7320
2008-02-27,10.7360
2008-02-28,10.6730
2008-02-29,10.7263
2008-03-03,10.7001
2008-03-04,10.7175
2008-03-05,10.7015
2008-03-06,10.7650
2008-03-07,10.8441
2008-03-10,10.8490
2008-03-11,10.7970
2008-03-12,10.7810
2008-03-13,10.7775
2008-03-14,10.7615
2008-03-17,10.7822
2008-03-18,10.7165
2008-03-19,10.6965
2008-03-20,10.7230
2008-03-21,10.7170
2008-03-24,10.6700
2008-03-25,10.6810
2008-03-26,10.6915
2008-03-27,10.6935
2008-03-28,10.6925
2008-03-31,10.6300
2008-04-01,10.6005
2008-04-02,10.5525
2008-04-03,10.5665
2008-04-04,10.5661
2008-04-07,10.5400
2008-04-08,10.5610
2008-04-09,10.5565
2008-04-10,10.5490
2008-04-11,10.5270
2008-04-14,10.4788
2008-04-15,10.4840
2008-04-16,10.4616
2008-04-17,10.4775
2008-04-18,10.4605
2008-04-21,10.5245
2008-04-22,10.5165
2008-04-23,10.4915
2008-04-24,10.4560
2008-04-25,10.4675
2008-04-28,10.4415
2008-04-29,10.5322
2008-04-30,10.5101
2008-05-01,10.4890
2008-05-02,10.4575
2008-05-05,10.4711
2008-05-06,10.4915
2008-05-07,10.5411
2008-05-08,10.5335
2008-05-09,10.5701
2008-05-12,10.4855
2008-05-13,10.4870
2008-05-14,10.4885
2008-05-15,10.4670
2008-05-16,10.4300
2008-05-19,10.3750
2008-05-20,10.3965
2008-05-21,10.3650
2008-05-22,10.3840
2008-05-23,10.3945
2008-05-26,.
2008-05-27,10.3970
2008-05-28,10.3425
2008-05-29,10.3055
2008-05-30,10.3290
2008-06-02,10.3390
2008-06-03,10.2900
2008-06-04,10.3200
2008-06-05,10.3120
2008-06-06,10.3680
2008-06-09,10.3640
2008-06-10,10.3880
2008-06-11,10.4365
2008-06-12,10.3890
2008-06-13,10.3665
2008-06-16,10.3341
2008-06-17,10.3170
2008-06-18,10.2940
2008-06-19,10.3180
2008-06-20,10.2735
2008-06-23,10.2970
2008-06-24,10.2925
2008-06-25,10.2895
2008-06-26,10.2721
2008-06-27,10.3011
2008-06-30,10.3035
2008-07-01,10.3850
2008-07-02,10.3710
2008-07-03,10.3695
2008-07-04,.
2008-07-07,10.3216
2008-07-08,10.3385
2008-07-09,10.3035
2008-07-10,10.3051
2008-07-11,10.3085
2008-07-14,10.2955
2008-07-15,10.3215
2008-07-16,10.2593
2008-07-17,10.2235
2008-07-18,10.2030
2008-07-21,10.1710
2008-07-22,10.1259
2008-07-23,10.0470
2008-07-24,10.0265
2008-07-25,10.0255
2008-07-28,10.0740
2008-07-29,10.0620
2008-07-30,10.0345
2008-07-31,10.0345
2008-08-01,9.9720
2008-08-04,9.9355
2008-08-05,9.9166
2008-08-06,9.9518
2008-08-07,10.0070
2008-08-08,10.1261
2008-08-11,10.1360
2008-08-12,10.1671
2008-08-13,10.2055
2008-08-14,10.1680
2008-08-15,10.2045
2008-08-18,10.1411
2008-08-19,10.1885
2008-08-20,10.1400
2008-08-21,10.1060
2008-08-22,10.1167
2008-08-25,10.1210
2008-08-26,10.1781
2008-08-27,10.1420
2008-08-28,10.2035
2008-08-29,10.2970
2008-09-01,.
2008-09-02,10.3850
2008-09-03,10.3803
2008-09-04,10.4625
2008-09-05,10.4965
2008-09-08,10.5185
2008-09-09,10.5070
2008-09-10,10.6025
2008-09-11,10.6590
2008-09-12,10.5755
2008-09-15,10.7116
2008-09-16,10.7350
2008-09-17,10.8809
2008-09-18,10.8490
2008-09-19,10.6060
2008-09-22,10.5935
2008-09-23,10.7220
2008-09-24,10.7920
2008-09-25,10.7680
2008-09-26,10.7955
2008-09-29,10.9160
2008-09-30,10.9726
2008-10-01,10.9705
2008-10-02,11.1150
2008-10-03,11.1245
2008-10-06,11.7030
2008-10-07,12.1150
2008-10-08,13.1390
2008-10-09,12.3788
2008-10-10,12.9806
2008-10-13,.
2008-10-14,12.4251
2008-10-15,12.7240
2008-10-16,13.1100
2008-10-17,12.8303
2008-10-20,12.7810
2008-10-21,13.1850
2008-10-22,13.5938
2008-10-23,13.6100
2008-10-24,13.5885
2008-10-27,13.2743
2008-10-28,13.3625
2008-10-29,12.9232
2008-10-30,12.8650
2008-10-31,12.7050
2008-11-03,12.7977
2008-11-04,12.4705
2008-11-05,12.6360
2008-11-06,12.9600
2008-11-07,12.8525
2008-11-10,12.8150
2008-11-11,.
2008-11-12,13.0950
2008-11-13,13.2900
2008-11-14,13.0028
2008-11-17,13.0800
2008-11-18,13.1450
2008-11-19,13.1513
2008-11-20,13.5610
2008-11-21,13.9350
2008-11-24,13.4620
2008-11-25,13.2705
2008-11-26,13.2200
2008-11-27,.
2008-11-28,13.3900
2008-12-01,13.5700
2008-12-02,13.4653
2008-12-03,13.5500
2008-12-04,13.5100
2008-12-05,13.8002
2008-12-08,13.4650
2008-12-09,13.5055
2008-12-10,13.4665
2008-12-11,13.0910
2008-12-12,13.5300
2008-12-15,13.3055
2008-12-16,13.2230
2008-12-17,13.1700
2008-12-18,13.1800
2008-12-19,13.1225
2008-12-22,13.1830
2008-12-23,13.2210
2008-12-24,13.3300
2008-12-25,.
2008-12-26,13.3650
2008-12-29,13.5225
2008-12-30,13.7600
2008-12-31,13.8320
2009-01-01,.
2009-01-02,13.7815
2009-01-05,13.5225
2009-01-06,13.3300
2009-01-07,13.3955
2009-01-08,13.4950
2009-01-09,13.7080
2009-01-12,13.7725
2009-01-13,13.8360
2009-01-14,14.0805
2009-01-15,14.1600
2009-01-16,13.9250
2009-01-19,.
2009-01-20,13.9155
2009-01-21,13.9275
2009-01-22,13.9675
2009-01-23,14.0700
2009-01-26,13.9480
2009-01-27,14.1850
