DATE,DEXMAUS
2007-02-05,3.5000
2007-02-06,3.4955
2007-02-07,3.4925
2007-02-08,3.4930
2007-02-09,3.4928
2007-02-12,3.4923
2007-02-13,3.4990
2007-02-14,3.4955
2007-02-15,3.4950
2007-02-16,3.4920
2007-02-19,.
2007-02-20,3.4925
2007-02-21,3.4925
2007-02-22,3.4940
2007-02-23,3.4920
2007-02-26,3.4910
2007-02-27,3.4940
2007-02-28,3.5000
2007-03-01,3.5050
2007-03-02,3.5070
2007-03-05,3.5160
2007-03-06,3.5120
2007-03-07,3.5090
2007-03-08,3.5060
2007-03-09,3.5020
2007-03-12,3.5000
2007-03-13,3.5060
2007-03-14,3.5145
2007-03-15,3.5110
2007-03-16,3.5115
2007-03-19,3.5015
2007-03-20,3.4956
2007-03-21,3.4700
2007-03-22,3.4695
2007-03-23,3.4575
2007-03-26,3.4530
2007-03-27,3.4527
2007-03-28,3.4615
2007-03-29,3.4500
2007-03-30,3.4560
2007-04-02,3.4580
2007-04-03,3.4600
2007-04-04,3.4550
2007-04-05,3.4490
2007-04-06,3.4480
2007-04-09,3.4450
2007-04-10,3.4465
2007-04-11,3.4490
2007-04-12,3.4460
2007-04-13,3.4410
2007-04-16,3.4390
2007-04-17,3.4340
2007-04-18,3.4280
2007-04-19,3.4270
2007-04-20,3.4200
2007-04-23,3.4200
2007-04-24,3.4200
2007-04-25,3.4190
2007-04-26,3.4200
2007-04-27,3.4200
2007-04-30,3.4200
2007-05-01,3.4200
2007-05-02,3.4255
2007-05-03,3.4145
2007-05-04,3.4155
2007-05-07,3.4130
2007-05-08,3.4065
2007-05-09,3.3970
2007-05-10,3.4015
2007-05-11,3.3995
2007-05-14,3.3985
2007-05-15,3.3980
2007-05-16,3.3975
2007-05-17,3.4015
2007-05-18,3.3915
2007-05-21,3.3910
2007-05-22,3.3830
2007-05-23,3.3855
2007-05-24,3.3840
2007-05-25,3.3900
2007-05-28,.
2007-05-29,3.3920
2007-05-30,3.4015
2007-05-31,3.3970
2007-06-01,3.3970
2007-06-04,3.3940
2007-06-05,3.4060
2007-06-06,3.4320
2007-06-07,3.4355
2007-06-08,3.4605
2007-06-11,3.4690
2007-06-12,3.4540
2007-06-13,3.4640
2007-06-14,3.4550
2007-06-15,3.4405
2007-06-18,3.4255
2007-06-19,3.4350
2007-06-20,3.4270
2007-06-21,3.4525
2007-06-22,3.4510
2007-06-25,3.4630
2007-06-26,3.4740
2007-06-27,3.4810
2007-06-28,3.4650
2007-06-29,3.4500
2007-07-02,3.4320
2007-07-03,3.4440
2007-07-04,.
2007-07-05,3.4450
2007-07-06,3.4470
2007-07-09,3.4380
2007-07-10,3.4375
2007-07-11,3.4490
2007-07-12,3.4485
2007-07-13,3.4380
2007-07-16,3.4400
2007-07-17,3.4420
2007-07-18,3.4410
2007-07-19,3.4310
2007-07-20,3.4215
2007-07-23,3.4080
2007-07-24,3.4020
2007-07-25,3.4295
2007-07-26,3.4550
2007-07-27,3.4665
2007-07-30,3.4610
2007-07-31,3.4570
2007-08-01,3.4620
2007-08-02,3.4590
2007-08-03,3.4635
2007-08-06,3.4650
2007-08-07,3.4685
2007-08-08,3.4505
2007-08-09,3.4705
2007-08-10,3.4810
2007-08-13,3.4725
2007-08-14,3.4785
2007-08-15,3.4890
2007-08-16,3.5200
2007-08-17,3.5130
2007-08-20,3.4925
2007-08-21,3.4960
2007-08-22,3.4750
2007-08-23,3.4770
2007-08-24,3.4845
2007-08-27,3.4810
2007-08-28,3.4950
2007-08-29,3.5015
2007-08-30,3.5030
2007-08-31,3.5015
