DATE,DEXNOUS
2007-02-05,6.2750
2007-02-06,6.2474
2007-02-07,6.2160
2007-02-08,6.2269
2007-02-09,6.2550
2007-02-12,6.2455
2007-02-13,6.2146
2007-02-14,6.1614
2007-02-15,6.1651
2007-02-16,6.1173
2007-02-19,.
2007-02-20,6.1365
2007-02-21,6.1427
2007-02-22,6.1414
2007-02-23,6.1246
2007-02-26,6.1161
2007-02-27,6.1115
2007-02-28,6.1316
2007-03-01,6.1551
2007-03-02,6.1607
2007-03-05,6.2500
2007-03-06,6.2226
2007-03-07,6.1983
2007-03-08,6.2010
2007-03-09,6.1780
2007-03-12,6.1347
2007-03-13,6.1290
2007-03-14,6.1404
2007-03-15,6.1263
2007-03-16,6.1113
2007-03-19,6.1271
2007-03-20,6.1573
2007-03-21,6.1586
2007-03-22,6.0967
2007-03-23,6.1007
2007-03-26,6.0864
2007-03-27,6.0994
2007-03-28,6.0802
2007-03-29,6.0910
2007-03-30,6.0774
2007-04-02,6.0992
2007-04-03,6.1114
2007-04-04,6.1178
2007-04-05,6.0698
2007-04-06,6.0930
2007-04-09,6.1007
2007-04-10,6.0259
2007-04-11,6.0259
2007-04-12,5.9994
2007-04-13,5.9914
2007-04-16,5.9551
2007-04-17,5.9554
2007-04-18,5.9725
2007-04-19,5.9622
2007-04-20,5.9560
2007-04-23,5.9664
2007-04-24,5.9490
2007-04-25,5.9612
2007-04-26,5.9823
2007-04-27,5.9676
2007-04-30,5.9441
2007-05-01,5.9702
2007-05-02,5.9682
2007-05-03,5.9823
2007-05-04,5.9695
2007-05-07,5.9700
2007-05-08,6.0115
2007-05-09,6.0076
2007-05-10,6.0512
2007-05-11,6.0475
2007-05-14,6.0524
2007-05-15,6.0101
2007-05-16,6.0450
2007-05-17,6.0592
2007-05-18,6.0468
2007-05-21,6.0669
2007-05-22,6.0385
2007-05-23,6.0157
2007-05-24,6.0318
2007-05-25,6.0159
2007-05-28,.
2007-05-29,6.0114
2007-05-30,6.0716
2007-05-31,6.0403
2007-06-01,6.0253
2007-06-04,5.9847
2007-06-05,5.9705
2007-06-06,5.9887
2007-06-07,5.9889
2007-06-08,6.0677
2007-06-11,6.0615
2007-06-12,6.0862
2007-06-13,6.0940
2007-06-14,6.0874
2007-06-15,6.0400
2007-06-18,6.0249
2007-06-19,6.0227
2007-06-20,5.9881
2007-06-21,5.9697
2007-06-22,5.9397
2007-06-25,5.9476
2007-06-26,5.9522
2007-06-27,5.9250
2007-06-28,5.8985
2007-06-29,5.8942
2007-07-02,5.8130
2007-07-03,5.8183
2007-07-04,.
2007-07-05,5.8300
2007-07-06,5.8054
2007-07-09,5.8073
2007-07-10,5.8096
2007-07-11,5.7906
2007-07-12,5.7380
2007-07-13,5.7368
2007-07-16,5.7263
2007-07-17,5.7247
2007-07-18,5.7205
2007-07-19,5.7276
2007-07-20,5.7160
2007-07-23,5.7244
2007-07-24,5.7427
2007-07-25,5.8038
2007-07-26,5.8166
2007-07-27,5.8858
2007-07-30,5.8483
2007-07-31,5.8086
2007-08-01,5.8268
2007-08-02,5.8024
2007-08-03,5.7582
2007-08-06,5.7741
2007-08-07,5.8158
2007-08-08,5.7625
2007-08-09,5.7968
2007-08-10,5.8376
2007-08-13,5.8595
2007-08-14,5.8770
2007-08-15,5.8934
2007-08-16,5.9846
2007-08-17,5.9405
