DATE,DEXSDUS
2007-02-05,7.0564
2007-02-06,7.0393
2007-02-07,6.9993
2007-02-08,6.9653
2007-02-09,6.9950
2007-02-12,7.0409
2007-02-13,7.0316
2007-02-14,6.9595
2007-02-15,7.0310
2007-02-16,7.0379
2007-02-19,.
2007-02-20,7.0510
2007-02-21,7.0839
2007-02-22,7.0823
2007-02-23,7.0572
2007-02-26,7.0481
2007-02-27,6.9711
2007-02-28,6.9980
2007-03-01,7.0502
2007-03-02,7.0407
2007-03-05,7.1060
2007-03-06,7.0618
2007-03-07,7.0432
2007-03-08,7.0768
2007-03-09,7.0928
2007-03-12,7.0471
2007-03-13,7.0311
2007-03-14,7.0294
2007-03-15,6.9889
2007-03-16,6.9674
2007-03-19,6.9860
2007-03-20,6.9862
2007-03-21,6.9850
2007-03-22,6.9622
2007-03-23,6.9821
2007-03-26,6.9786
2007-03-27,6.9776
2007-03-28,7.0101
2007-03-29,6.9898
2007-03-30,6.9837
2007-04-02,7.0057
2007-04-03,7.0035
2007-04-04,6.9600
2007-04-05,6.9073
2007-04-06,6.9355
2007-04-09,6.9452
2007-04-10,6.9003
2007-04-11,6.9027
2007-04-12,6.8731
2007-04-13,6.8735
2007-04-16,6.7987
2007-04-17,6.7873
2007-04-18,6.7845
2007-04-19,6.7660
2007-04-20,6.7590
2007-04-23,6.7681
2007-04-24,6.7512
2007-04-25,6.7149
2007-04-26,6.7339
2007-04-27,6.7119
2007-04-30,6.6975
2007-05-01,6.7123
2007-05-02,6.7093
2007-05-03,6.7323
2007-05-04,6.7496
2007-05-07,6.7306
2007-05-08,6.7878
2007-05-09,6.7976
2007-05-10,6.8199
2007-05-11,6.8309
2007-05-14,6.8094
2007-05-15,6.7539
2007-05-16,6.8095
2007-05-17,6.8377
2007-05-18,6.8194
2007-05-21,6.8519
2007-05-22,6.8199
2007-05-23,6.8231
2007-05-24,6.8416
2007-05-25,6.8346
2007-05-28,.
2007-05-29,6.8779
2007-05-30,6.9376
2007-05-31,6.9191
2007-06-01,6.9293
2007-06-04,6.9161
2007-06-05,6.8872
2007-06-06,6.9225
2007-06-07,6.9280
2007-06-08,6.9992
2007-06-11,6.9962
2007-06-12,7.0644
2007-06-13,7.0708
2007-06-14,7.0794
2007-06-15,7.0405
2007-06-18,7.0380
2007-06-19,7.0116
2007-06-20,6.8968
2007-06-21,6.9052
2007-06-22,6.8791
2007-06-25,6.8768
2007-06-26,6.8845
2007-06-27,6.8910
2007-06-28,6.8555
2007-06-29,6.8455
2007-07-02,6.7934
2007-07-03,6.7678
2007-07-04,.
2007-07-05,6.7394
2007-07-06,6.7316
2007-07-09,6.7468
2007-07-10,6.6919
2007-07-11,6.6634
2007-07-12,6.6416
2007-07-13,6.6331
2007-07-16,6.6370
2007-07-17,6.6519
2007-07-18,6.6468
2007-07-19,6.6413
2007-07-20,6.6263
2007-07-23,6.6526
2007-07-24,6.6570
2007-07-25,6.7223
2007-07-26,6.7333
2007-07-27,6.7417
2007-07-30,6.7249
2007-07-31,6.7147
2007-08-01,6.7607
2007-08-02,6.7344
2007-08-03,6.6979
2007-08-06,6.6950
2007-08-07,6.7270
2007-08-08,6.6954
2007-08-09,6.7548
2007-08-10,6.7744
2007-08-13,6.8409
2007-08-14,6.8653
2007-08-15,6.9495
2007-08-16,6.9980
2007-08-17,6.9111
2007-08-20,6.9417
2007-08-21,6.9626
2007-08-22,6.9261
2007-08-23,6.9147
2007-08-24,6.8671
2007-08-27,6.8675
2007-08-28,6.8894
2007-08-29,6.8584
2007-08-30,6.8724
2007-08-31,6.8822
2007-09-03,6.8822
2007-09-04,6.8946
2007-09-05,6.8662
2007-09-06,6.8188
2007-09-07,6.7865
2007-09-10,6.7768
2007-09-11,6.7414
2007-09-12,6.6684
2007-09-13,6.6660
2007-09-14,6.6960
2007-09-17,6.6935
2007-09-18,6.6884
2007-09-19,6.6251
2007-09-20,6.5347
2007-09-21,6.5284
2007-09-24,6.5133
2007-09-25,6.5151
2007-09-26,6.5350
2007-09-27,6.5211
2007-09-28,6.4745
2007-10-01,6.4470
2007-10-02,6.5023
2007-10-03,6.4982
2007-10-04,6.5118
2007-10-05,6.4713
2007-10-08,6.4713
2007-10-09,6.4976
2007-10-10,6.4517
2007-10-11,6.4025
2007-10-12,6.4243
2007-10-15,6.4107
2007-10-16,6.4607
2007-10-17,6.4460
2007-10-18,6.4132
2007-10-19,6.4280
2007-10-22,6.5156
2007-10-23,6.4515
2007-10-24,6.4792
2007-10-25,6.4345
2007-10-26,6.3817
2007-10-29,6.3836
2007-10-30,6.3654
2007-10-31,6.3608
2007-11-01,6.4111
2007-11-02,6.4015
2007-11-05,6.4070
2007-11-06,6.3523
2007-11-07,6.2989
2007-11-08,6.2978
2007-11-09,6.3260
2007-11-12,.
2007-11-13,6.3451
2007-11-14,6.2813
2007-11-15,6.3100
2007-11-16,6.3244
2007-11-19,6.3258
2007-11-20,6.2809
2007-11-21,6.2921
2007-11-22,6.2921
2007-11-23,6.2701
2007-11-26,6.2356
2007-11-27,6.2915
2007-11-28,6.3340
2007-11-29,6.3503
2007-11-30,6.3806
2007-12-03,6.4022
2007-12-04,6.3636
2007-12-05,6.4050
2007-12-06,6.4169
2007-12-07,6.3984
2007-12-10,6.3889
2007-12-11,6.3991
2007-12-12,6.4069
2007-12-13,6.4681
2007-12-14,6.5069
2007-12-17,6.5705
2007-12-18,6.5681
2007-12-19,6.6089
2007-12-20,6.5840
2007-12-21,6.5911
2007-12-24,6.5808
2007-12-25,.
2007-12-26,6.5187
2007-12-27,6.4854
2007-12-28,6.4086
2007-12-31,6.4568
2008-01-01,.
2008-01-02,6.3966
2008-01-03,6.3547
2008-01-04,6.3352
2008-01-07,6.3821
2008-01-08,6.3752
2008-01-09,6.4210
2008-01-10,6.3521
2008-01-11,6.3435
2008-01-14,6.3080
2008-01-15,6.3341
2008-01-16,6.4398
2008-01-17,6.4161
2008-01-18,6.4475
2008-01-21,.
2008-01-22,6.5015
2008-01-23,6.5289
2008-01-24,6.4207
2008-01-25,6.4562
2008-01-28,6.3968
2008-01-29,6.3960
2008-01-30,6.3714
2008-01-31,6.3758
2008-02-01,6.3512
2008-02-04,6.3268
2008-02-05,6.4433
2008-02-06,6.4218
2008-02-07,6.5116
2008-02-08,6.4903
2008-02-11,6.5012
2008-02-12,6.4343
2008-02-13,6.4116
2008-02-14,6.3771
2008-02-15,6.3418
2008-02-18,.
2008-02-19,6.3093
2008-02-20,6.3517
2008-02-21,6.2850
2008-02-22,6.2909
2008-02-25,6.2909
2008-02-26,6.2503
2008-02-27,6.1643
2008-02-28,6.1741
2008-02-29,6.1716
2008-03-03,6.1562
2008-03-04,6.1598
2008-03-05,6.1232
2008-03-06,6.1020
2008-03-07,6.1337
2008-03-10,6.1191
2008-03-11,6.1279
2008-03-12,6.0762
2008-03-13,6.0559
2008-03-14,6.0541
2008-03-17,6.0058
2008-03-18,5.9863
2008-03-19,6.0065
2008-03-20,6.1176
2008-03-21,6.0980
2008-03-24,6.1328
2008-03-25,6.0231
2008-03-26,5.9696
2008-03-27,5.9498
2008-03-28,5.9540
2008-03-31,5.9360
2008-04-01,6.0079
2008-04-02,5.9920
2008-04-03,5.9678
2008-04-04,5.9543
2008-04-07,5.9570
2008-04-08,5.9610
2008-04-09,5.9338
2008-04-10,5.9620
2008-04-11,5.9586
2008-04-14,5.9400
2008-04-15,5.9512
2008-04-16,5.8751
2008-04-17,5.9066
2008-04-18,5.9732
2008-04-21,5.8976
2008-04-22,5.8346
2008-04-23,5.8730
2008-04-24,5.9460
2008-04-25,5.9758
2008-04-28,5.9758
2008-04-29,5.9991
2008-04-30,5.9910
2008-05-01,6.0513
2008-05-02,6.0685
2008-05-05,6.0386
2008-05-06,6.0022
2008-05-07,6.0595
2008-05-08,6.0295
2008-05-09,6.0035
2008-05-12,5.9753
2008-05-13,5.9924
2008-05-14,6.0158
2008-05-15,6.0302
2008-05-16,5.9696
2008-05-19,5.9827
2008-05-20,5.9288
2008-05-21,5.9094
2008-05-22,5.9313
2008-05-23,5.8934
2008-05-26,.
2008-05-27,5.9096
2008-05-28,5.9784
2008-05-29,5.9965
2008-05-30,5.9959
2008-06-02,6.0260
2008-06-03,6.0382
2008-06-04,6.0405
2008-06-05,5.9867
2008-06-06,5.9242
2008-06-09,5.9470
2008-06-10,6.0457
2008-06-11,6.0168
