DATE,DEXSIUS
2007-02-05,1.5337
2007-02-06,1.5330
2007-02-07,1.5315
2007-02-08,1.5322
2007-02-09,1.5335
2007-02-12,1.5409
2007-02-13,1.5424
2007-02-14,1.5368
2007-02-15,1.5349
2007-02-16,1.5315
2007-02-19,.
2007-02-20,1.5342
2007-02-21,1.5332
2007-02-22,1.5335
2007-02-23,1.5306
2007-02-26,1.5275
2007-02-27,1.5258
2007-02-28,1.5281
2007-03-01,1.5267
2007-03-02,1.5265
2007-03-05,1.5312
2007-03-06,1.5286
2007-03-07,1.5260
2007-03-08,1.5277
2007-03-09,1.5260
2007-03-12,1.5268
2007-03-13,1.5288
2007-03-14,1.5338
2007-03-15,1.5326
2007-03-16,1.5254
2007-03-19,1.5251
2007-03-20,1.5259
2007-03-21,1.5230
2007-03-22,1.5176
2007-03-23,1.5177
2007-03-26,1.5151
2007-03-27,1.5156
2007-03-28,1.5174
2007-03-29,1.5174
2007-03-30,1.5173
2007-04-02,1.5208
2007-04-03,1.5184
2007-04-04,1.5145
2007-04-05,1.5127
2007-04-06,1.5134
2007-04-09,1.5133
2007-04-10,1.5163
2007-04-11,1.5175
2007-04-12,1.5182
2007-04-13,1.5163
2007-04-16,1.5140
2007-04-17,1.5130
2007-04-18,1.5119
2007-04-19,1.5124
2007-04-20,1.5109
2007-04-23,1.5122
2007-04-24,1.5142
2007-04-25,1.5110
2007-04-26,1.5156
2007-04-27,1.5182
2007-04-30,1.5197
2007-05-01,1.5210
2007-05-02,1.5260
2007-05-03,1.5233
2007-05-04,1.5154
2007-05-07,1.5138
2007-05-08,1.5160
2007-05-09,1.5157
2007-05-10,1.5179
2007-05-11,1.5171
2007-05-14,1.5158
2007-05-15,1.5149
2007-05-16,1.5223
2007-05-17,1.5266
2007-05-18,1.5257
2007-05-21,1.5275
2007-05-22,1.5331
2007-05-23,1.5289
2007-05-24,1.5288
2007-05-25,1.5286
2007-05-28,.
2007-05-29,1.5279
2007-05-30,1.5307
2007-05-31,1.5307
2007-06-01,1.5312
2007-06-04,1.5300
2007-06-05,1.5300
2007-06-06,1.5332
2007-06-07,1.5360
2007-06-08,1.5415
2007-06-11,1.5415
2007-06-12,1.5411
2007-06-13,1.5439
2007-06-14,1.5423
2007-06-15,1.5390
2007-06-18,1.5371
2007-06-19,1.5378
2007-06-20,1.5359
2007-06-21,1.5356
2007-06-22,1.5385
2007-06-25,1.5365
2007-06-26,1.5376
2007-06-27,1.5380
2007-06-28,1.5333
2007-06-29,1.5300
2007-07-02,1.5230
2007-07-03,1.5228
2007-07-04,.
2007-07-05,1.5211
2007-07-06,1.5195
2007-07-09,1.5203
2007-07-10,1.5163
2007-07-11,1.5152
2007-07-12,1.5155
2007-07-13,1.5157
2007-07-16,1.5169
2007-07-17,1.5179
2007-07-18,1.5167
2007-07-19,1.5123
2007-07-20,1.5115
2007-07-23,1.5076
2007-07-24,1.5046
2007-07-25,1.5108
2007-07-26,1.5146
2007-07-27,1.5153
2007-07-30,1.5133
2007-07-31,1.5157
2007-08-01,1.5200
2007-08-02,1.5174
2007-08-03,1.5157
2007-08-06,1.5150
2007-08-07,1.5161
2007-08-08,1.5105
2007-08-09,1.5167
2007-08-10,1.5235
2007-08-13,1.5194
2007-08-14,1.5228
2007-08-15,1.5321
2007-08-16,1.5349
2007-08-17,1.5304
2007-08-20,1.5269
2007-08-21,1.5320
2007-08-22,1.5260
2007-08-23,1.5251
2007-08-24,1.5210
2007-08-27,1.5191
2007-08-28,1.5257
2007-08-29,1.5220
2007-08-30,1.5230
2007-08-31,1.5242
2007-09-03,1.5242
2007-09-04,1.5260
2007-09-05,1.5267
2007-09-06,1.5228
2007-09-07,1.5231
2007-09-10,1.5245
2007-09-11,1.5197
2007-09-12,1.5138
2007-09-13,1.5090
2007-09-14,1.5115
2007-09-17,1.5145
2007-09-18,1.5165
2007-09-19,1.5062
2007-09-20,1.5010
2007-09-21,1.5055
2007-09-24,1.4998
2007-09-25,1.5014
2007-09-26,1.4975
2007-09-27,1.4915
2007-09-28,1.4840
2007-10-01,1.4755
2007-10-02,1.4836
2007-10-03,1.4795
2007-10-04,1.4798
2007-10-05,1.4703
2007-10-08,1.4703
2007-10-09,1.4730
2007-10-10,1.4657
2007-10-11,1.4613
2007-10-12,1.4636
2007-10-15,1.4653
2007-10-16,1.4679
2007-10-17,1.4635
2007-10-18,1.4609
2007-10-19,1.4618
2007-10-22,1.4665
2007-10-23,1.4644
2007-10-24,1.4618
2007-10-25,1.4557
2007-10-26,1.4527
2007-10-29,1.4519
2007-10-30,1.4507
2007-10-31,1.4485
2007-11-01,1.4499
2007-11-02,1.4492
2007-11-05,1.4502
2007-11-06,1.4469
2007-11-07,1.4387
2007-11-08,1.4386
2007-11-09,1.4422
2007-11-12,.
2007-11-13,1.4475
2007-11-14,1.4467
2007-11-15,1.4514
2007-11-16,1.4518
2007-11-19,1.4487
2007-11-20,1.4483
2007-11-21,1.4528
2007-11-22,1.4528
2007-11-23,1.4405
2007-11-26,1.4415
2007-11-27,1.4419
2007-11-28,1.4452
2007-11-29,1.4485
2007-11-30,1.4455
2007-12-03,1.4484
2007-12-04,1.4453
2007-12-05,1.4466
2007-12-06,1.4440
2007-12-07,1.4396
2007-12-10,1.4395
2007-12-11,1.4416
2007-12-12,1.4412
2007-12-13,1.4416
2007-12-14,1.4509
2007-12-17,1.4625
2007-12-18,1.4594
2007-12-19,1.4613
2007-12-20,1.4603
2007-12-21,1.4556
2007-12-24,1.4516
2007-12-25,.
2007-12-26,1.4527
2007-12-27,1.4490
2007-12-28,1.4465
2007-12-31,1.4360
2008-01-01,.
2008-01-02,1.4375
2008-01-03,1.4351
2008-01-04,1.4322
2008-01-07,1.4365
2008-01-08,1.4320
2008-01-09,1.4313
2008-01-10,1.4325
2008-01-11,1.4315
2008-01-14,1.4294
2008-01-15,1.4291
2008-01-16,1.4300
2008-01-17,1.4343
2008-01-18,1.4381
2008-01-21,.
2008-01-22,1.4359
2008-01-23,1.4343
2008-01-24,1.4265
2008-01-25,1.4236
2008-01-28,1.4207
2008-01-29,1.4225
2008-01-30,1.4194
2008-01-31,1.4165
2008-02-01,1.4136
2008-02-04,1.4143
2008-02-05,1.4191
2008-02-06,1.4151
2008-02-07,1.4165
2008-02-08,1.4174
2008-02-11,1.4190
2008-02-12,1.4153
2008-02-13,1.4191
2008-02-14,1.4177
2008-02-15,1.4120
2008-02-18,.
2008-02-19,1.4127
2008-02-20,1.4111
2008-02-21,1.4100
2008-02-22,1.4056
2008-02-25,1.4057
2008-02-26,1.4047
2008-02-27,1.3960
2008-02-28,1.3934
2008-02-29,1.3935
2008-03-03,1.3914
2008-03-04,1.3896
2008-03-05,1.3891
2008-03-06,1.3859
2008-03-07,1.3842
2008-03-10,1.3873
2008-03-11,1.3865
2008-03-12,1.3855
2008-03-13,1.3795
2008-03-14,1.3812
2008-03-17,1.3799
2008-03-18,1.3775
2008-03-19,1.3846
2008-03-20,1.3892
2008-03-21,1.3860
2008-03-24,1.3902
2008-03-25,1.3835
2008-03-26,1.3800
2008-03-27,1.3791
2008-03-28,1.3807
2008-03-31,1.3786
2008-04-01,1.3782
2008-04-02,1.3788
2008-04-03,1.3852
2008-04-04,1.3816
2008-04-07,1.3803
2008-04-08,1.3804
2008-04-09,1.3772
2008-04-10,1.3576
2008-04-11,1.3567
2008-04-14,1.3577
2008-04-15,1.3581
2008-04-16,1.3508
2008-04-17,1.3523
2008-04-18,1.3587
2008-04-21,1.3545
2008-04-22,1.3503
2008-04-23,1.3522
2008-04-24,1.3596
2008-04-25,1.3636
2008-04-28,1.3619
2008-04-29,1.3608
2008-04-30,1.3576
2008-05-01,1.3605
2008-05-02,1.3638
2008-05-05,1.3591
2008-05-06,1.3588
2008-05-07,1.3666
2008-05-08,1.3745
2008-05-09,1.3685
2008-05-12,1.3663
2008-05-13,1.3707
2008-05-14,1.3788
2008-05-15,1.3776
2008-05-16,1.3688
2008-05-19,1.3710
2008-05-20,1.3657
2008-05-21,1.3578
2008-05-22,1.3602
2008-05-23,1.3583
2008-05-26,.
2008-05-27,1.3626
2008-05-28,1.3650
2008-05-29,1.3668
2008-05-30,1.3635
2008-06-02,1.3631
2008-06-03,1.3634
2008-06-04,1.3643
2008-06-05,1.3670
2008-06-06,1.3628
2008-06-09,1.3635
2008-06-10,1.3723
2008-06-11,1.3715
2008-06-12,1.3796
2008-06-13,1.3802
2008-06-16,1.3725
2008-06-17,1.3682
2008-06-18,1.3700
2008-06-19,1.3690
2008-06-20,1.3645
2008-06-23,1.3687
2008-06-24,1.3656
2008-06-25,1.3698
2008-06-26,1.3651
2008-06-27,1.3632
2008-06-30,1.3608
2008-07-01,1.3617
2008-07-02,1.3574
2008-07-03,1.3628
2008-07-04,.
2008-07-07,1.3650
2008-07-08,1.3651
2008-07-09,1.3583
2008-07-10,1.3605
2008-07-11,1.3561
2008-07-14,1.3527
2008-07-15,1.3472
2008-07-16,1.3480
2008-07-17,1.3507
2008-07-18,1.3512
2008-07-21,1.3522
2008-07-22,1.3578
2008-07-23,1.3643
2008-07-24,1.3616
2008-07-25,1.3607
2008-07-28,1.3626
2008-07-29,1.3678
2008-07-30,1.3681
2008-07-31,1.3676
2008-08-01,1.3725
2008-08-04,1.3732
2008-08-05,1.3797
2008-08-06,1.3821
2008-08-07,1.3923
2008-08-08,1.4037
2008-08-11,1.4115
2008-08-12,1.4084
2008-08-13,1.4032
2008-08-14,1.4100
2008-08-15,1.4170
2008-08-18,1.4133
2008-08-19,1.4158
2008-08-20,1.4145
2008-08-21,1.4071
2008-08-22,1.4102
2008-08-25,1.4153
2008-08-26,1.4255
2008-08-27,1.4194
2008-08-28,1.4185
2008-08-29,1.4167
2008-09-01,.
2008-09-02,1.4308
2008-09-03,1.4350
2008-09-04,1.4360
2008-09-05,1.4346
2008-09-08,1.4296
2008-09-09,1.4323
2008-09-10,1.4338
2008-09-11,1.4440
2008-09-12,1.4287
2008-09-15,1.4292
2008-09-16,1.4362
2008-09-17,1.4337
2008-09-18,1.4320
2008-09-19,1.4256
2008-09-22,1.4132
2008-09-23,1.4137
2008-09-24,1.4230
2008-09-25,1.4231
2008-09-26,1.4280
2008-09-29,1.4288
2008-09-30,1.4331
2008-10-01,1.4366
2008-10-02,1.4483
2008-10-03,1.4506
2008-10-06,1.4686
2008-10-07,1.4622
2008-10-08,1.4660
2008-10-09,1.4727
2008-10-10,1.4830
2008-10-13,.
2008-10-14,1.4620
2008-10-15,1.4703
2008-10-16,1.4815
2008-10-17,1.4792
2008-10-20,1.4777
2008-10-21,1.4835
2008-10-22,1.4995
2008-10-23,1.5053
2008-10-24,1.5077
2008-10-27,1.5111
2008-10-28,1.5026
2008-10-29,1.4988
2008-10-30,1.4732
2008-10-31,1.4841
2008-11-03,1.4792
2008-11-04,1.4720
