DATE,DEXTHUS
2007-02-05,34.480
2007-02-06,34.080
2007-02-07,34.180
2007-02-08,34.220
2007-02-09,33.600
2007-02-12,33.600
2007-02-13,33.400
2007-02-14,33.360
2007-02-15,33.330
2007-02-16,33.210
2007-02-19,.
2007-02-20,33.630
2007-02-21,33.700
2007-02-22,33.820
2007-02-23,33.520
2007-02-26,33.770
2007-02-27,34.130
2007-02-28,33.800
2007-03-01,33.680
2007-03-02,33.560
2007-03-05,33.130
2007-03-06,32.650
2007-03-07,32.700
2007-03-08,33.050
2007-03-09,32.710
2007-03-12,32.820
2007-03-13,32.910
2007-03-14,32.850
2007-03-15,32.900
2007-03-16,32.800
2007-03-19,32.950
2007-03-20,32.750
2007-03-21,31.900
2007-03-22,31.800
2007-03-23,32.100
2007-03-26,32.450
2007-03-27,31.920
2007-03-28,31.950
2007-03-29,32.300
2007-03-30,32.250
2007-04-02,32.450
2007-04-03,32.450
2007-04-04,32.170
2007-04-05,32.200
2007-04-06,32.430
2007-04-09,32.400
2007-04-10,32.600
2007-04-11,32.190
2007-04-12,32.330
2007-04-13,32.400
2007-04-16,32.550
2007-04-17,32.400
2007-04-18,32.300
2007-04-19,32.490
2007-04-20,32.350
2007-04-23,32.400
2007-04-24,32.580
2007-04-25,32.200
2007-04-26,32.350
2007-04-27,32.800
2007-04-30,32.800
2007-05-01,32.950
2007-05-02,32.650
2007-05-03,32.820
2007-05-04,32.550
2007-05-07,32.510
2007-05-08,32.650
2007-05-09,32.650
2007-05-10,32.530
2007-05-11,32.750
2007-05-14,33.350
2007-05-15,33.080
2007-05-16,33.400
2007-05-17,33.160
2007-05-18,32.870
2007-05-21,32.900
2007-05-22,32.800
2007-05-23,32.680
2007-05-24,32.730
2007-05-25,32.550
2007-05-28,.
2007-05-29,32.780
2007-05-30,32.600
2007-05-31,33.030
2007-06-01,32.900
2007-06-04,32.810
2007-06-05,32.750
2007-06-06,32.710
2007-06-07,32.590
2007-06-08,32.600
2007-06-11,32.380
2007-06-12,32.400
2007-06-13,32.450
2007-06-14,32.400
2007-06-15,32.500
2007-06-18,32.430
2007-06-19,32.150
2007-06-20,32.210
2007-06-21,32.200
2007-06-22,32.180
2007-06-25,32.150
2007-06-26,31.980
2007-06-27,31.550
2007-06-28,31.650
2007-06-29,31.680
2007-07-02,31.650
2007-07-03,31.700
2007-07-04,.
2007-07-05,31.060
2007-07-06,31.280
2007-07-09,31.600
2007-07-10,31.260
2007-07-11,30.520
2007-07-12,30.900
2007-07-13,30.420
2007-07-16,29.850
2007-07-17,30.050
2007-07-18,30.190
2007-07-19,30.060
2007-07-20,29.700
2007-07-23,29.280
2007-07-24,29.500
2007-07-25,30.080
2007-07-26,29.500
