DATE,DEXTAUS
2007-02-05,32.920
2007-02-06,32.920
2007-02-07,33.010
2007-02-08,33.030
2007-02-09,32.960
2007-02-12,33.020
2007-02-13,33.080
2007-02-14,32.980
2007-02-15,32.900
2007-02-16,32.940
2007-02-19,.
2007-02-20,32.980
2007-02-21,32.980
2007-02-22,32.980
2007-02-23,33.070
2007-02-26,32.960
2007-02-27,32.920
2007-02-28,32.980
2007-03-01,32.880
2007-03-02,32.840
2007-03-05,32.920
2007-03-06,32.960
2007-03-07,32.920
2007-03-08,32.970
2007-03-09,32.960
2007-03-12,32.980
2007-03-13,32.960
2007-03-14,33.030
2007-03-15,33.040
2007-03-16,33.100
2007-03-19,33.110
2007-03-20,33.130
2007-03-21,33.110
2007-03-22,32.990
2007-03-23,33.040
2007-03-26,33.060
2007-03-27,33.060
2007-03-28,33.060
2007-03-29,33.080
2007-03-30,33.010
2007-04-02,33.060
2007-04-03,33.120
2007-04-04,33.050
2007-04-05,33.060
2007-04-06,33.140
2007-04-09,33.060
2007-04-10,33.110
2007-04-11,33.120
2007-04-12,33.100
2007-04-13,33.130
2007-04-16,33.150
2007-04-17,33.130
2007-04-18,33.160
2007-04-19,33.110
2007-04-20,33.150
2007-04-23,33.170
2007-04-24,33.170
2007-04-25,33.180
2007-04-26,33.280
2007-04-27,33.270
2007-04-30,33.330
2007-05-01,33.350
2007-05-02,33.340
2007-05-03,33.300
2007-05-04,33.270
2007-05-07,33.210
2007-05-08,33.260
2007-05-09,33.280
2007-05-10,33.330
2007-05-11,33.280
2007-05-14,33.320
2007-05-15,33.330
2007-05-16,33.340
2007-05-17,33.370
2007-05-18,33.350
2007-05-21,33.380
2007-05-22,33.390
2007-05-23,33.410
2007-05-24,33.290
2007-05-25,33.230
2007-05-28,.
2007-05-29,33.020
2007-05-30,32.970
2007-05-31,33.090
2007-06-01,33.000
2007-06-04,33.000
2007-06-05,32.990
2007-06-06,33.010
2007-06-07,33.030
2007-06-08,32.980
2007-06-11,33.020
2007-06-12,33.020
2007-06-13,33.050
2007-06-14,33.170
2007-06-15,33.180
2007-06-18,33.170
2007-06-19,33.150
2007-06-20,33.050
2007-06-21,32.930
2007-06-22,32.750
2007-06-25,32.740
2007-06-26,32.770
2007-06-27,32.800
2007-06-28,32.820
2007-06-29,32.830
2007-07-02,32.770
2007-07-03,32.790
2007-07-04,.
2007-07-05,32.790
2007-07-06,32.840
2007-07-09,32.790
2007-07-10,32.780
2007-07-11,32.780
2007-07-12,32.790
2007-07-13,32.800
2007-07-16,32.840
2007-07-17,32.830
2007-07-18,32.830
2007-07-19,32.820
2007-07-20,32.790
2007-07-23,32.780
2007-07-24,32.790
2007-07-25,32.800
2007-07-26,32.830
2007-07-27,32.880
2007-07-30,32.800
2007-07-31,32.880
2007-08-01,32.900
2007-08-02,32.860
