DATE,DEXUSUK
2007-02-05,1.9600
2007-02-06,1.9693
2007-02-07,1.9699
2007-02-08,1.9586
2007-02-09,1.9512
2007-02-12,1.9474
2007-02-13,1.9443
2007-02-14,1.9628
2007-02-15,1.9532
2007-02-16,1.9499
2007-02-19,.
2007-02-20,1.9547
2007-02-21,1.9524
2007-02-22,1.9571
2007-02-23,1.9639
2007-02-26,1.9631
2007-02-27,1.9661
2007-02-28,1.9613
2007-03-01,1.9579
2007-03-02,1.9458
2007-03-05,1.9235
2007-03-06,1.9270
2007-03-07,1.9315
2007-03-08,1.9300
2007-03-09,1.9318
2007-03-12,1.9291
2007-03-13,1.9322
2007-03-14,1.9337
2007-03-15,1.9365
2007-03-16,1.9423
2007-03-19,1.9460
2007-03-20,1.9580
2007-03-21,1.9596
2007-03-22,1.9672
2007-03-23,1.9632
2007-03-26,1.9694
2007-03-27,1.9664
2007-03-28,1.9611
2007-03-29,1.9627
2007-03-30,1.9685
2007-04-02,1.9786
2007-04-03,1.9781
2007-04-04,1.9756
2007-04-05,1.9708
2007-04-06,1.9655
2007-04-09,1.9608
2007-04-10,1.9718
2007-04-11,1.9786
2007-04-12,1.9769
2007-04-13,1.9829
2007-04-16,1.9907
2007-04-17,2.0061
2007-04-18,2.0041
2007-04-19,2.0029
2007-04-20,2.0047
2007-04-23,2.0017
2007-04-24,2.0028
2007-04-25,2.0042
2007-04-26,1.9903
2007-04-27,1.9985
2007-04-30,2.0000
2007-05-01,1.9993
2007-05-02,1.9910
2007-05-03,1.9878
2007-05-04,1.9931
2007-05-07,1.9944
2007-05-08,1.9902
2007-05-09,1.9963
2007-05-10,1.9833
2007-05-11,1.9824
2007-05-14,1.9803
2007-05-15,1.9862
2007-05-16,1.9774
2007-05-17,1.9748
2007-05-18,1.9755
2007-05-21,1.9695
2007-05-22,1.9768
2007-05-23,1.9879
2007-05-24,1.9852
2007-05-25,1.9845
2007-05-28,.
2007-05-29,1.9814
2007-05-30,1.9747
2007-05-31,1.9797
2007-06-01,1.9804
2007-06-04,1.9922
2007-06-05,1.9941
2007-06-06,1.9915
2007-06-07,1.9798
2007-06-08,1.9657
2007-06-11,1.9686
2007-06-12,1.9750
2007-06-13,1.9728
2007-06-14,1.9696
2007-06-15,1.9765
2007-06-18,1.9822
2007-06-19,1.9884
2007-06-20,1.9937
2007-06-21,1.9924
2007-06-22,1.9975
2007-06-25,1.9962
2007-06-26,1.9997
2007-06-27,1.9965
2007-06-28,2.0022
2007-06-29,2.0063
2007-07-02,2.0161
2007-07-03,2.0168
2007-07-04,.
2007-07-05,2.0114
2007-07-06,2.0119
2007-07-09,2.0166
2007-07-10,2.0248
2007-07-11,2.0320
2007-07-12,2.0288
2007-07-13,2.0344
2007-07-16,2.0374
2007-07-17,2.0455
2007-07-18,2.0534
2007-07-19,2.0490
2007-07-20,2.0566
2007-07-23,2.0585
2007-07-24,2.0626
2007-07-25,2.0511
2007-07-26,2.0488
2007-07-27,2.0290
2007-07-30,2.0238
2007-07-31,2.0364
2007-08-01,2.0309
2007-08-02,2.0346
2007-08-03,2.0426
2007-08-06,2.0293
2007-08-07,2.0202
2007-08-08,2.0368
2007-08-09,2.0271
2007-08-10,2.0219
2007-08-13,2.0123
2007-08-14,2.0000
2007-08-15,1.9923
2007-08-16,1.9829
2007-08-17,1.9828
2007-08-20,1.9830
2007-08-21,1.9813
2007-08-22,1.9916
2007-08-23,2.0035
2007-08-24,2.0099
2007-08-27,2.0134
2007-08-28,2.0065
2007-08-29,2.0182
2007-08-30,2.0160
2007-08-31,2.0165
2007-09-03,2.0165
2007-09-04,2.0109
