DATE,DEXUSNZ
2007-02-05,0.6836
2007-02-06,0.6799
2007-02-07,0.6852
2007-02-08,0.6863
2007-02-09,0.6837
2007-02-12,0.6854
2007-02-13,0.6889
2007-02-14,0.6945
2007-02-15,0.6940
2007-02-16,0.6975
2007-02-19,.
2007-02-20,0.7005
2007-02-21,0.7062
2007-02-22,0.7055
2007-02-23,0.7067
2007-02-26,0.7099
2007-02-27,0.7044
2007-02-28,0.7012
2007-03-01,0.6943
2007-03-02,0.6885
2007-03-05,0.6782
2007-03-06,0.6807
2007-03-07,0.6839
2007-03-08,0.6850
2007-03-09,0.6915
2007-03-12,0.6932
2007-03-13,0.6975
2007-03-14,0.6902
2007-03-15,0.6948
2007-03-16,0.6977
2007-03-19,0.7021
2007-03-20,0.7043
2007-03-21,0.7045
2007-03-22,0.7146
2007-03-23,0.7124
2007-03-26,0.7162
2007-03-27,0.7184
2007-03-28,0.7107
2007-03-29,0.7145
2007-03-30,0.7158
2007-04-02,0.7214
2007-04-03,0.7209
2007-04-04,0.7205
2007-04-05,0.7230
2007-04-06,0.7221
2007-04-09,0.7205
2007-04-10,0.7291
2007-04-11,0.7283
2007-04-12,0.7286
2007-04-13,0.7375
2007-04-16,0.7409
2007-04-17,0.7444
2007-04-18,0.7432
2007-04-19,0.7439
2007-04-20,0.7462
2007-04-23,0.7462
2007-04-24,0.7426
2007-04-25,0.7452
2007-04-26,0.7373
2007-04-27,0.7410
2007-04-30,0.7425
2007-05-01,0.7417
2007-05-02,0.7387
2007-05-03,0.7363
2007-05-04,0.7353
2007-05-07,0.7377
2007-05-08,0.7372
2007-05-09,0.7345
2007-05-10,0.7326
2007-05-11,0.7342
2007-05-14,0.7384
2007-05-15,0.7387
2007-05-16,0.7333
2007-05-17,0.7305
2007-05-18,0.7310
2007-05-21,0.7294
2007-05-22,0.7275
2007-05-23,0.7312
2007-05-24,0.7251
2007-05-25,0.7267
2007-05-28,.
2007-05-29,0.7289
2007-05-30,0.7304
2007-05-31,0.7365
2007-06-01,0.7434
2007-06-04,0.7473
2007-06-05,0.7516
2007-06-06,0.7506
2007-06-07,0.7554
2007-06-08,0.7565
2007-06-11,0.7493
2007-06-12,0.7520
2007-06-13,0.7504
2007-06-14,0.7502
2007-06-15,0.7533
2007-06-18,0.7540
2007-06-19,0.7579
2007-06-20,0.7627
2007-06-21,0.7621
2007-06-22,0.7670
2007-06-25,0.7663
2007-06-26,0.7668
2007-06-27,0.7589
2007-06-28,0.7693
2007-06-29,0.7730
2007-07-02,0.7830
2007-07-03,0.7814
2007-07-04,.
2007-07-05,0.7829
2007-07-06,0.7823
2007-07-09,0.7809
2007-07-10,0.7794
2007-07-11,0.7793
2007-07-12,0.7819
2007-07-13,0.7859
2007-07-16,0.7922
2007-07-17,0.7910
2007-07-18,0.7940
2007-07-19,0.7923
2007-07-20,0.7965
2007-07-23,0.8038
2007-07-24,0.8089
2007-07-25,0.8032
2007-07-26,0.7910
2007-07-27,0.7653
2007-07-30,0.7625
2007-07-31,0.7715
2007-08-01,0.7624
2007-08-02,0.7697
2007-08-03,0.7643
2007-08-06,0.7624
2007-08-07,0.7611
2007-08-08,0.7683
2007-08-09,0.7578
2007-08-10,0.7462
2007-08-13,0.7402
2007-08-14,0.7305
2007-08-15,0.7159
2007-08-16,0.6777
2007-08-17,0.6890
2007-08-20,0.6958
2007-08-21,0.6962
2007-08-22,0.7006
2007-08-23,0.7087
2007-08-24,0.7183
2007-08-27,0.7182
2007-08-28,0.7032
2007-08-29,0.7027
2007-08-30,0.7044
2007-08-31,0.7025
2007-09-03,0.7025
2007-09-04,0.6987
2007-09-05,0.6900
2007-09-06,0.6917
2007-09-07,0.6889
2007-09-10,0.6938
2007-09-11,0.7016
2007-09-12,0.7140
2007-09-13,0.7171
2007-09-14,0.7125
2007-09-17,0.7044
2007-09-18,0.7099
2007-09-19,0.7328
2007-09-20,0.7427
2007-09-21,0.7415
2007-09-24,0.7450
2007-09-25,0.7392
2007-09-26,0.7445
2007-09-27,0.7479
2007-09-28,0.7568
2007-10-01,0.7662
2007-10-02,0.7608
2007-10-03,0.7602
2007-10-04,0.7553
2007-10-05,0.7627
2007-10-08,0.7627
2007-10-09,0.7622
2007-10-10,0.7638
2007-10-11,0.7738
2007-10-12,0.7755
2007-10-15,0.7653
2007-10-16,0.7454
2007-10-17,0.7538
2007-10-18,0.7528
2007-10-19,0.7519
2007-10-22,0.7411
2007-10-23,0.7526
2007-10-24,0.7513
2007-10-25,0.7608
2007-10-26,0.7649
2007-10-29,0.7683
2007-10-30,0.7662
2007-10-31,0.7693
2007-11-01,0.7626
2007-11-02,0.7612
2007-11-05,0.7669
2007-11-06,0.7761
2007-11-07,0.7839
2007-11-08,0.7763
2007-11-09,0.7670
2007-11-12,.
2007-11-13,0.7544
2007-11-14,0.7646
2007-11-15,0.7583
2007-11-16,0.7559
2007-11-19,0.7547
2007-11-20,0.7623
2007-11-21,0.7507
2007-11-22,0.7507
2007-11-23,0.7558
2007-11-26,0.7558
2007-11-27,0.7578
2007-11-28,0.7702
2007-11-29,0.7722
2007-11-30,0.7671
2007-12-03,0.7667
2007-12-04,0.7627
2007-12-05,0.7685
2007-12-06,0.7732
2007-12-07,0.7795
2007-12-10,0.7792
2007-12-11,0.7828
2007-12-12,0.7897
2007-12-13,0.7819
2007-12-14,0.7675
2007-12-17,0.7536
2007-12-18,0.7513
2007-12-19,0.7557
2007-12-20,0.7560
2007-12-21,0.7646
2007-12-24,0.7673
2007-12-25,.
2007-12-26,0.7682
2007-12-27,0.7698
2007-12-28,0.7730
2007-12-31,0.7678
2008-01-01,.
2008-01-02,0.7732
2008-01-03,0.7752
2008-01-04,0.7712
2008-01-07,0.7665
2008-01-08,0.7718
2008-01-09,0.7713
2008-01-10,0.7818
2008-01-11,0.7848
2008-01-14,0.7900
2008-01-15,0.7811
2008-01-16,0.7699
2008-01-17,0.7694
2008-01-18,0.7576
2008-01-21,.
2008-01-22,0.7640
2008-01-23,0.7584
2008-01-24,0.7735
2008-01-25,0.7707
2008-01-28,0.7748
2008-01-29,0.7783
2008-01-30,0.7814
2008-01-31,0.7884
2008-02-01,0.7948
2008-02-04,0.7949
2008-02-05,0.7852
2008-02-06,0.7853
2008-02-07,0.7900
2008-02-08,0.7881
2008-02-11,0.7882
2008-02-12,0.7944
2008-02-13,0.7827
2008-02-14,0.7895
2008-02-15,0.7889
2008-02-18,.
2008-02-19,0.7994
2008-02-20,0.7945
2008-02-21,0.8008
2008-02-22,0.8060
2008-02-25,0.8082
2008-02-26,0.8128
2008-02-27,0.8175
2008-02-28,0.8146
2008-02-29,0.8027
2008-03-03,0.8070
2008-03-04,0.7973
2008-03-05,0.8003
2008-03-06,0.8004
2008-03-07,0.7943
2008-03-10,0.7909
2008-03-11,0.7995
2008-03-12,0.8063
2008-03-13,0.8134
2008-03-14,0.8149
2008-03-17,0.7990
2008-03-18,0.8094
2008-03-19,0.8034
2008-03-20,0.7881
2008-03-21,0.7920
2008-03-24,0.7968
2008-03-25,0.8036
2008-03-26,0.8029
2008-03-27,0.8041
2008-03-28,0.7982
2008-03-31,0.7860
2008-04-01,0.7814
2008-04-02,0.7905
2008-04-03,0.7863
2008-04-04,0.7884
2008-04-07,0.7968
2008-04-08,0.7967
2008-04-09,0.7962
2008-04-10,0.7985
2008-04-11,0.7942
2008-04-14,0.7876
2008-04-15,0.7842
2008-04-16,0.7911
2008-04-17,0.7882
2008-04-18,0.7870
2008-04-21,0.7936
2008-04-22,0.7979
2008-04-23,0.7989
2008-04-24,0.7890
2008-04-25,0.7826
2008-04-28,0.7869
2008-04-29,0.7761
2008-04-30,0.7810
2008-05-01,0.7771
2008-05-02,0.7825
2008-05-05,0.7857
2008-05-06,0.7915
2008-05-07,0.7825
2008-05-08,0.7732
2008-05-09,0.7668
2008-05-12,0.7709
2008-05-13,0.7679
2008-05-14,0.7625
2008-05-15,0.7597
2008-05-16,0.7738
2008-05-19,0.7730
2008-05-20,0.7759
2008-05-21,0.7805
2008-05-22,0.7847
2008-05-23,0.7876
2008-05-26,.
2008-05-27,0.7898
2008-05-28,0.7840
2008-05-29,0.7784
2008-05-30,0.7838
2008-06-02,0.7850
2008-06-03,0.7837
2008-06-04,0.7824
2008-06-05,0.7653
2008-06-06,0.7667
2008-06-09,0.7622
2008-06-10,0.7508
2008-06-11,0.7564
2008-06-12,0.7502
2008-06-13,0.7504
2008-06-16,0.7528
2008-06-17,0.7541
2008-06-18,0.7562
2008-06-19,0.7619
2008-06-20,0.7628
2008-06-23,0.7564
2008-06-24,0.7594
2008-06-25,0.7563
2008-06-26,0.7569
2008-06-27,0.7622
2008-06-30,0.7609
2008-07-01,0.7567
2008-07-02,0.7617
2008-07-03,0.7564
2008-07-04,.
2008-07-07,0.7520
2008-07-08,0.7515
2008-07-09,0.7612
2008-07-10,0.7578
2008-07-11,0.7611
2008-07-14,0.7637
2008-07-15,0.7721
2008-07-16,0.7719
2008-07-17,0.7660
2008-07-18,0.7626
2008-07-21,0.7598
2008-07-22,0.7605
2008-07-23,0.7517
2008-07-24,0.7417
2008-07-25,0.7419
2008-07-28,0.7451
2008-07-29,0.7364
2008-07-30,0.7346
2008-07-31,0.7340
2008-08-01,0.7268
2008-08-04,0.7295
2008-08-05,0.7257
2008-08-06,0.7179
2008-08-07,0.7150
2008-08-08,0.7050
2008-08-11,0.7012
2008-08-12,0.6989
2008-08-13,0.6967
2008-08-14,0.6995
2008-08-15,0.7055
2008-08-18,0.7124
2008-08-19,0.7123
2008-08-20,0.7112
2008-08-21,0.7183
2008-08-22,0.7106
2008-08-25,0.7091
2008-08-26,0.6968
2008-08-27,0.6982
2008-08-28,0.7019
2008-08-29,0.6991
2008-09-01,.
2008-09-02,0.6862
2008-09-03,0.6846
2008-09-04,0.6794
2008-09-05,0.6663
2008-09-08,0.6699
2008-09-09,0.6719
2008-09-10,0.6662
2008-09-11,0.6507
2008-09-12,0.6635
2008-09-15,0.6600
2008-09-16,0.6584
2008-09-17,0.6540
2008-09-18,0.6718
2008-09-19,0.6869
2008-09-22,0.6939
2008-09-23,0.6850
2008-09-24,0.6862
2008-09-25,0.6835
2008-09-26,0.6858
2008-09-29,0.6782
2008-09-30,0.6690
2008-10-01,0.6785
2008-10-02,0.6644
2008-10-03,0.6626
2008-10-06,0.6264
2008-10-07,0.6362
2008-10-08,0.6017
2008-10-09,0.6171
2008-10-10,0.5960
2008-10-13,.
2008-10-14,0.6247
2008-10-15,0.6184
2008-10-16,0.6102
2008-10-17,0.6153
