DATE,DEXSFUS
2007-02-05,7.2100
2007-02-06,7.1960
2007-02-07,7.1675
2007-02-08,7.1706
2007-02-09,7.1575
2007-02-12,7.2800
2007-02-13,7.2710
2007-02-14,7.1960
2007-02-15,7.1950
2007-02-16,7.1735
2007-02-19,.
2007-02-20,7.1090
2007-02-21,7.1190
2007-02-22,7.0740
2007-02-23,7.0700
2007-02-26,7.0701
2007-02-27,7.2120
2007-02-28,7.2480
2007-03-01,7.2875
2007-03-02,7.3680
2007-03-05,7.4625
2007-03-06,7.4100
2007-03-07,7.4247
2007-03-08,7.3675
2007-03-09,7.3202
2007-03-12,7.3520
2007-03-13,7.4200
2007-03-14,7.4805
2007-03-15,7.4110
2007-03-16,7.4750
2007-03-19,7.4265
2007-03-20,7.3965
2007-03-21,7.3470
2007-03-22,7.1860
2007-03-23,7.2205
2007-03-26,7.2280
2007-03-27,7.2415
2007-03-28,7.3500
2007-03-29,7.2907
2007-03-30,7.2900
2007-04-02,7.2800
2007-04-03,7.1750
2007-04-04,7.1710
2007-04-05,7.1310
2007-04-06,7.1250
2007-04-09,7.1125
2007-04-10,7.1525
2007-04-11,7.1330
2007-04-12,7.1860
2007-04-13,7.1950
2007-04-16,7.0970
2007-04-17,7.0595
2007-04-18,7.0680
2007-04-19,7.0600
2007-04-20,7.0230
2007-04-23,7.0725
2007-04-24,7.0355
2007-04-25,6.9820
2007-04-26,7.0125
2007-04-27,7.0530
2007-04-30,7.0310
2007-05-01,7.0390
2007-05-02,7.0410
2007-05-03,6.9700
2007-05-04,6.9280
2007-05-07,6.8780
2007-05-08,6.9265
2007-05-09,6.8976
2007-05-10,6.9850
2007-05-11,6.9715
2007-05-14,6.9400
2007-05-15,6.9100
2007-05-16,6.9725
2007-05-17,7.0315
2007-05-18,7.0305
2007-05-21,7.0320
2007-05-22,7.0445
2007-05-23,7.0431
2007-05-24,7.1481
2007-05-25,7.1010
2007-05-28,.
2007-05-29,7.1330
2007-05-30,7.1800
2007-05-31,7.1220
2007-06-01,7.0810
2007-06-04,7.1215
2007-06-05,7.1255
2007-06-06,7.2085
2007-06-07,7.2005
2007-06-08,7.2685
2007-06-11,7.2230
2007-06-12,7.2225
2007-06-13,7.2503
2007-06-14,7.1970
2007-06-15,7.1175
2007-06-18,7.0860
2007-06-19,7.0790
2007-06-20,7.1010
2007-06-21,7.1550
2007-06-22,7.1250
2007-06-25,7.1455
2007-06-26,7.1708
2007-06-27,7.1800
2007-06-28,7.0790
2007-06-29,7.0440
2007-07-02,6.9661
2007-07-03,6.9680
2007-07-04,.
2007-07-05,7.0200
2007-07-06,6.9925
2007-07-09,6.9630
2007-07-10,6.9865
2007-07-11,7.0300
2007-07-12,6.9705
2007-07-13,6.9790
2007-07-16,6.9600
2007-07-17,6.9664
2007-07-18,6.9680
2007-07-19,6.8693
2007-07-20,6.8830
2007-07-23,6.8075
2007-07-24,6.8330
2007-07-25,6.8980
2007-07-26,7.0250
2007-07-27,7.1120
2007-07-30,7.1475
2007-07-31,7.0880
2007-08-01,7.1225
2007-08-02,7.0950
2007-08-03,7.0805
2007-08-06,7.0720
2007-08-07,7.0700
2007-08-08,7.0225
2007-08-09,7.1370
2007-08-10,7.1725
2007-08-13,7.1550
2007-08-14,7.2670
2007-08-15,7.3725
2007-08-16,7.4985
2007-08-17,7.3850
2007-08-20,7.3950
2007-08-21,7.3700
2007-08-22,7.2425
2007-08-23,7.2775
2007-08-24,7.2300
2007-08-27,7.2200
2007-08-28,7.2700
2007-08-29,7.2070
