#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,-1.024422
2,7427.693000,-1.027335
3,7427.694000,-1.036379
4,7427.695000,-1.037795
5,7427.696000,-1.044042
6,7427.697000,-1.048306
7,7427.698000,-1.053111
8,7427.699000,-1.057696
9,7427.700000,-1.062439
10,7427.701000,-1.067342
11,7427.702000,-1.070706
12,7427.703000,-1.072428
13,7427.704000,-1.081038
14,7427.705000,-1.096879
15,7427.706000,-1.076564
16,7427.707000,-1.098715
17,7427.708000,-1.098724
18,7427.709000,-1.102618
19,7427.710000,-1.109464
20,7427.711000,-1.119488
21,7427.712000,-1.116382
22,7427.713000,-1.099528
23,7427.714000,-1.151418
24,7427.715000,-1.122519
25,7427.716000,-1.135042
26,7427.717000,-1.139414
27,7427.718000,-1.144075
28,7427.719000,-1.149049
29,7427.720000,-1.154203
30,7427.721000,-1.159625
31,7427.722000,-1.165122
32,7427.723000,-1.170688
33,7427.724000,-1.176503
34,7427.725000,-1.18253
35,7427.726000,-1.188567
36,7427.727000,-1.194622
37,7427.728000,-1.200774
38,7427.729000,-1.206978
39,7427.730000,-1.213408
40,7427.731000,-1.220078
41,7427.732000,-1.22681
42,7427.733000,-1.23364
43,7427.734000,-1.240875
44,7427.735000,-1.248517
45,7427.736000,-1.254131
46,7427.737000,-1.257556
47,7427.738000,-1.271912
48,7427.739000,-1.273607
49,7427.740000,-1.281826
50,7427.741000,-1.288764
51,7427.742000,-1.295923
52,7427.743000,-1.303308
53,7427.744000,-1.310828
54,7427.745000,-1.318538
55,7427.746000,-1.326282
56,7427.747000,-1.334048
57,7427.748000,-1.341962
58,7427.749000,-1.34999
59,7427.750000,-1.357583
60,7427.751000,-1.364701
61,7427.752000,-1.371602
62,7427.753000,-1.378133
63,7427.754000,-1.384401
64,7427.755000,-1.3904
65,7427.756000,-1.396953
66,7427.757000,-1.404164
67,7427.758000,-1.409687
68,7427.759000,-1.4242
69,7427.760000,-1.437667
70,7427.761000,-1.454491
71,7427.762000,-1.472078
72,7427.763000,-1.490345
73,7427.764000,-1.511175
74,7427.765000,-1.534187
75,7427.766000,-1.544243
76,7427.767000,-1.540091
77,7427.768000,-1.526583
78,7427.769000,-1.499236
79,7427.770000,-1.477645
80,7427.771000,-1.462574
81,7427.772000,-1.393297
82,7427.773000,-1.364887
83,7427.774000,-1.384132
84,7427.775000,-1.488941
85,7427.776000,-1.606248
86,7427.777000,-1.756429
87,7427.778000,-1.916895
88,7427.779000,-1.798367
89,7427.780000,-1.65986
90,7427.781000,-1.50527
91,7427.782000,-1.40828
92,7427.783000,-1.465422
93,7427.784000,-1.575323
94,7427.785000,-1.652952
95,7427.786000,-1.769871
96,7427.787000,-1.788766
97,7427.788000,-1.777985
98,7427.789000,-1.884546
99,7427.790000,-1.815794
100,7427.791000,-1.753337
101,7427.792000,-1.726519
102,7427.793000,-1.588103
103,7427.794000,-1.464223
104,7427.795000,-1.584856
105,7427.796000,-1.654423
106,7427.797000,-1.8023
107,7427.798000,-1.898834
108,7427.799000,-1.932064
109,7427.800000,-1.906888
110,7427.801000,-1.78654
111,7427.802000,-1.746648
112,7427.803000,-1.785144
113,7427.804000,-1.773378
114,7427.805000,-1.802222
115,7427.806000,-1.830823
116,7427.807000,-1.87059
