#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,0.1430445
2,7427.693000,0.1430635
3,7427.694000,0.1430883
4,7427.695000,0.143115
5,7427.696000,0.143157
6,7427.697000,0.1432095
7,7427.698000,0.1432924
8,7427.699000,0.1434069
9,7427.700000,0.1435318
10,7427.701000,0.143693
11,7427.702000,0.143837
12,7427.703000,0.1439695
13,7427.704000,0.1441088
14,7427.705000,0.1442471
15,7427.706000,0.1443968
16,7427.707000,0.144557
17,7427.708000,0.1447172
18,7427.709000,0.1448755
19,7427.710000,0.1450653
20,7427.711000,0.1452837
21,7427.712000,0.1455183
22,7427.713000,0.1457767
23,7427.714000,0.14604
24,7427.715000,0.146306
25,7427.716000,0.1465893
26,7427.717000,0.1468887
27,7427.718000,0.1470652
28,7427.719000,0.1471062
29,7427.720000,0.1470747
30,7427.721000,0.1469307
31,7427.722000,0.1467571
32,7427.723000,0.1465521
33,7427.724000,0.1462431
34,7427.725000,0.1458416
35,7427.726000,0.1454439
36,7427.727000,0.1450434
37,7427.728000,0.1446047
38,7427.729000,0.1441479
39,7427.730000,0.1435966
40,7427.731000,0.1429415
41,7427.732000,0.1422396
42,7427.733000,0.1414719
43,7427.734000,0.1407366
44,7427.735000,0.1400471
45,7427.736000,0.1393423
46,7427.737000,0.1386509
47,7427.738000,0.1379271
48,7427.739000,0.137166
49,7427.740000,0.1364145
50,7427.741000,0.135663
51,7427.742000,0.1348181
52,7427.743000,0.1338797
53,7427.744000,0.1328936
54,7427.745000,0.1318121
55,7427.746000,0.1307297
56,7427.747000,0.1296349
57,7427.748000,0.12848
58,7427.749000,0.1272745
59,7427.750000,0.126111
60,7427.751000,0.1250086
61,7427.752000,0.1239109
62,7427.753000,0.12286
63,7427.754000,0.1217785
64,7427.755000,0.1206684
65,7427.756000,0.1195869
66,7427.757000,0.1185198
67,7427.758000,0.1174202
68,7427.759000,0.1162853
69,7427.760000,0.1151381
70,7427.761000,0.1139641
71,7427.762000,0.1128082
72,7427.763000,0.1116724
73,7427.764000,0.1105251
74,7427.765000,0.1093845
75,7427.766000,0.1081581
76,7427.767000,0.1068392
77,7427.768000,0.1054745
78,7427.769000,0.1040392
79,7427.770000,0.1025753
80,7427.771000,0.1010876
81,7427.772000,0.09953022
82,7427.773000,0.09791279
83,7427.774000,0.09761524
84,7427.775000,0.098773
85,7427.776000,0.0892849
86,7427.777000,0.06837177
87,7427.778000,0.09326744
88,7427.779000,0.1660242
89,7427.780000,-0.001982689
90,7427.781000,0.113019
91,7427.782000,0.08314323
92,7427.783000,0.08213806
93,7427.784000,0.08134842
94,7427.785000,0.08088875
95,7427.786000,0.08054733
96,7427.787000,0.08030987
97,7427.788000,0.08038616
98,7427.789000,0.08075809
99,7427.790000,0.08110523
100,7427.791000,0.08144855
101,7427.792000,0.08190727
102,7427.793000,0.08241367
103,7427.794000,0.08312988
104,7427.795000,0.08406734
105,7427.796000,0.085783
106,7427.797000,0.08838272
107,7427.798000,0.08816242
108,7427.799000,0.08496189
109,7427.800000,0.09631729
110,7427.801000,0.09063148
111,7427.802000,0.09379196
112,7427.803000,0.09535885
113,7427.804000,0.09692574
114,7427.805000,0.09851265
115,7427.806000,0.1003752
116,7427.807000,0.1025209
117,7427.808000,0.1048422
