#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,-0.01991272
2,7427.693000,-0.02045441
3,7427.694000,-0.02105713
4,7427.695000,-0.02157593
5,7427.696000,-0.02165985
6,7427.697000,-0.02156067
7,7427.698000,-0.02003479
8,7427.699000,-0.01699829
9,7427.700000,-0.01325989
10,7427.701000,-0.008506775
11,7427.702000,-0.005439758
12,7427.703000,-0.004379272
13,7427.704000,-0.003814697
14,7427.705000,-0.00453186
15,7427.706000,-0.005104065
16,7427.707000,-0.005455017
17,7427.708000,-0.006950378
18,7427.709000,-0.009307861
19,7427.710000,-0.01029968
20,7427.711000,-0.009902954
21,7427.712000,-0.009025574
22,7427.713000,-0.007118225
23,7427.714000,-0.005851746
24,7427.715000,-0.005348206
25,7427.716000,-0.004325867
26,7427.717000,-0.003135681
27,7427.718000,-0.002426147
28,7427.719000,-0.002105713
29,7427.720000,-0.002166748
30,7427.721000,-0.002746582
31,7427.722000,-0.003166199
32,7427.723000,-0.003448486
33,7427.724000,-0.004043579
34,7427.725000,-0.004829407
35,7427.726000,-0.005813599
36,7427.727000,-0.007064819
37,7427.728000,-0.008476257
38,7427.729000,-0.0100708
39,7427.730000,-0.01200104
40,7427.731000,-0.01424408
41,7427.732000,-0.01678467
42,7427.733000,-0.01963043
43,7427.734000,-0.02187347
44,7427.735000,-0.02341461
45,7427.736000,-0.02472687
46,7427.737000,-0.02554321
47,7427.738000,-0.02640533
48,7427.739000,-0.02735901
49,7427.740000,-0.0279007
50,7427.741000,-0.02812195
51,7427.742000,-0.02870941
52,7427.743000,-0.02967072
53,7427.744000,-0.03072357
54,7427.745000,-0.03204346
55,7427.746000,-0.03310394
56,7427.747000,-0.03386688
57,7427.748000,-0.034729
58,7427.749000,-0.03556061
59,7427.750000,-0.03644562
60,7427.751000,-0.03741455
61,7427.752000,-0.03835297
62,7427.753000,-0.03929138
63,7427.754000,-0.0402832
64,7427.755000,-0.0413208
65,7427.756000,-0.04241943
66,7427.757000,-0.04355621
67,7427.758000,-0.04457855
68,7427.759000,-0.04546356
69,7427.760000,-0.0463028
70,7427.761000,-0.04705048
71,7427.762000,-0.04782104
72,7427.763000,-0.04859161
73,7427.764000,-0.04930878
74,7427.765000,-0.04998016
75,7427.766000,-0.05073547
76,7427.767000,-0.05158997
77,7427.768000,-0.05249023
78,7427.769000,-0.05345917
79,7427.770000,-0.05441284
80,7427.771000,-0.05534363
81,7427.772000,-0.05632782
82,7427.773000,-0.05734253
83,7427.774000,-0.05832672
84,7427.775000,-0.05929565
85,7427.776000,-0.06025696
86,7427.777000,-0.06119537
87,7427.778000,-0.06217957
88,7427.779000,-0.06319427
89,7427.780000,-0.06420898
90,7427.781000,-0.06523132
91,7427.782000,-0.0663147
92,7427.783000,-0.06742859
93,7427.784000,-0.06859589
94,7427.785000,-0.0697937
95,7427.786000,-0.07102966
96,7427.787000,-0.07228088
97,7427.788000,-0.07352448
98,7427.789000,-0.07474518
99,7427.790000,-0.07590485
100,7427.791000,-0.07697296
101,7427.792000,-0.07596588
102,7427.793000,-0.07263947
103,7427.794000,-0.07855988
104,7427.795000,-0.07333374
105,7427.796000,-0.07335663
106,7427.797000,-0.07190704
107,7427.798000,-0.07276154
108,7427.799000,-0.07616425
