#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,0.001384735
2,7427.693000,0.001298904
3,7427.694000,0.001325607
4,7427.695000,9.880066E-4
5,7427.696000,3.871918E-4
6,7427.697000,-5.130768E-4
7,7427.698000,-0.001502991
8,7427.699000,-0.002571106
9,7427.700000,-0.003932953
10,7427.701000,-0.005537033
11,7427.702000,-0.005718231
12,7427.703000,-0.004375458
13,7427.704000,-0.002567291
14,7427.705000,1.182556E-4
15,7427.706000,0.007127762
16,7427.707000,0.01876068
17,7427.708000,0.02031708
18,7427.709000,0.01144028
19,7427.710000,0.05218792
20,7427.711000,0.003810883
21,7427.712000,-0.01381302
22,7427.713000,-0.05063248
23,7427.714000,-0.04452324
24,7427.715000,0.009693146
25,7427.716000,0.02171135
26,7427.717000,3.33786E-4
27,7427.718000,0.004112244
28,7427.719000,0.0189724
29,7427.720000,0.01590729
30,7427.721000,6.847382E-4
31,7427.722000,-0.003376007
32,7427.723000,6.275177E-4
33,7427.724000,0.001760483
34,7427.725000,0.003940582
35,7427.726000,0.004991531
36,7427.727000,0.003717422
37,7427.728000,0.003486633
38,7427.729000,0.003534317
39,7427.730000,0.003837585
40,7427.731000,0.00485611
41,7427.732000,0.002634048
42,7427.733000,-0.003011703
43,7427.734000,0.004745483
44,7427.735000,0.02643967
45,7427.736000,-0.02187729
46,7427.737000,0.01210785
47,7427.738000,0.00384903
48,7427.739000,0.003858566
49,7427.740000,0.003866196
50,7427.741000,0.00387001
51,7427.742000,0.003911972
52,7427.743000,0.004005432
53,7427.744000,0.004123688
54,7427.745000,0.00428009
55,7427.746000,0.004201889
56,7427.747000,0.003868103
57,7427.748000,0.003412247
58,7427.749000,0.002763748
59,7427.750000,0.002222061
60,7427.751000,0.001817703
61,7427.752000,0.008358002
62,7427.753000,0.02263641
63,7427.754000,1.983643E-4
64,7427.755000,-0.06115723
65,7427.756000,0.07775116
66,7427.757000,-0.01998138
67,7427.758000,0.003791809
68,7427.759000,0.003807068
69,7427.760000,0.003786087
70,7427.761000,0.003768921
71,7427.762000,0.003753662
72,7427.763000,0.003736496
73,7427.764000,0.003307343
74,7427.765000,0.002414703
75,7427.766000,0.004899979
76,7427.767000,0.01101685
77,7427.768000,0.002519608
78,7427.769000,-0.02124786
79,7427.770000,0.03167534
80,7427.771000,-0.005571365
81,7427.772000,0.003444672
82,7427.773000,0.003391266
83,7427.774000,0.003335953
84,7427.775000,0.003278732
85,7427.776000,0.003221512
86,7427.777000,0.003168106
87,7427.778000,0.003107071
88,7427.779000,0.003038406
89,7427.780000,0.002973557
90,7427.781000,0.002904892
91,7427.782000,0.002840042
92,7427.783000,0.002780914
93,7427.784000,0.002725601
94,7427.785000,0.002674103
95,7427.786000,0.002624512
96,7427.787000,0.002573013
97,7427.788000,0.002706528
98,7427.789000,0.003044128
99,7427.790000,0.001922607
100,7427.791000,-7.667542E-4
101,7427.792000,0.002819061
102,7427.793000,0.01296616
103,7427.794000,-0.00983429
104,7427.795000,0.006103516
105,7427.796000,0.002166748
106,7427.797000,0.002126694
107,7427.798000,0.002084732
108,7427.799000,0.002035141
109,7427.800000,0.001987457
110,7427.801000,0.001939774
111,7427.802000,0.001890182
112,7427.803000,0.001842499
113,7427.804000,0.001789093
