#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,4.217806
2,7427.693000,4.214303
3,7427.694000,4.215861
4,7427.695000,4.211874
5,7427.696000,4.209727
6,7427.697000,4.208201
7,7427.698000,4.205926
8,7427.699000,4.20365
9,7427.700000,4.201112
10,7427.701000,4.198271
11,7427.702000,4.197065
12,7427.703000,4.197631
13,7427.704000,4.191295
14,7427.705000,4.177783
15,7427.706000,4.200369
16,7427.707000,4.18042
17,7427.708000,4.182662
18,7427.709000,4.181049
19,7427.710000,4.176291
20,7427.711000,4.168161
21,7427.712000,4.173061
22,7427.713000,4.19155
23,7427.714000,4.141298
24,7427.715000,4.171849
25,7427.716000,4.160866
26,7427.717000,4.157959
27,7427.718000,4.155191
28,7427.719000,4.152575
29,7427.720000,4.150035
30,7427.721000,4.147624
31,7427.722000,4.145219
32,7427.723000,4.142817
33,7427.724000,4.140526
34,7427.725000,4.138327
35,7427.726000,4.136106
36,7427.727000,4.133868
37,7427.728000,4.131658
38,7427.729000,4.129447
39,7427.730000,4.127338
40,7427.731000,4.125338
41,7427.732000,4.123437
42,7427.733000,4.121666
43,7427.734000,4.119331
44,7427.735000,4.116373
45,7427.736000,4.115466
46,7427.737000,4.116659
47,7427.738000,4.107017
48,7427.739000,4.110152
49,7427.740000,4.106688
50,7427.741000,4.104468
51,7427.742000,4.102347
52,7427.743000,4.100327
53,7427.744000,4.098352
54,7427.745000,4.096456
55,7427.746000,4.094539
56,7427.747000,4.092595
57,7427.748000,4.090704
58,7427.749000,4.088843
59,7427.750000,4.087196
60,7427.751000,4.085793
61,7427.752000,4.084505
62,7427.753000,4.083385
63,7427.754000,4.082589
64,7427.755000,4.082128
65,7427.756000,4.080962
66,7427.757000,4.079037
67,7427.758000,4.079356
68,7427.759000,4.07128
69,7427.760000,4.064561
70,7427.761000,4.054977
71,7427.762000,4.044677
72,7427.763000,4.033724
73,7427.764000,4.020613
74,7427.765000,4.005635
75,7427.766000,4.001762
76,7427.767000,4.010076
77,7427.768000,4.026685
78,7427.769000,4.055462
79,7427.770000,4.078162
80,7427.771000,4.094072
81,7427.772000,4.162699
82,7427.773000,4.189219
83,7427.774000,4.178902
84,7427.775000,4.094882
85,7427.776000,4.004721
86,7427.777000,3.891466
87,7427.778000,3.748485
88,7427.779000,3.862502
89,7427.780000,3.991489
90,7427.781000,4.123796
91,7427.782000,4.215215
92,7427.783000,4.172473
93,7427.784000,4.076238
94,7427.785000,4.019186
95,7427.786000,3.914894
96,7427.787000,3.897843
97,7427.788000,3.913052
98,7427.789000,3.809445
99,7427.790000,3.882786
100,7427.791000,3.953093
101,7427.792000,3.986287
102,7427.793000,4.130734
103,7427.794000,4.260562
104,7427.795000,4.14521
105,7427.796000,4.081058
106,7427.797000,3.938604
107,7427.798000,3.847528
108,7427.799000,3.819916
109,7427.800000,3.850528
110,7427.801000,3.976165
111,7427.802000,4.022093
112,7427.803000,3.990403
113,7427.804000,4.004907
114,7427.805000,3.983683
115,7427.806000,3.960008
116,7427.807000,3.925436
117,7427.808000,3.910314
118,7427.809000,3.918522
119,7427.810000,3.915289
120,7427.811000,3.907378
121,7427.812000,3.901405
122,7427.813000,3.931987
123,7427.814000,3.935756
124,7427.815000,3.928102
125,7427.816000,3.91662
