#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,-0.03017516
2,7427.693000,-0.03163458
3,7427.694000,-0.02906752
4,7427.695000,-0.02227477
5,7427.696000,-0.03532211
6,7427.697000,-0.02471912
7,7427.698000,-0.02720369
8,7427.699000,-0.02849976
9,7427.700000,-0.02806973
10,7427.701000,-0.02602743
11,7427.702000,-0.02543383
12,7427.703000,-0.02585821
13,7427.704000,-0.02559346
14,7427.705000,-0.02508027
15,7427.706000,-0.02541179
16,7427.707000,-0.02646337
17,7427.708000,-0.02693602
18,7427.709000,-0.02695421
19,7427.710000,-0.02924645
20,7427.711000,-0.02163945
21,7427.712000,-0.02045608
22,7427.713000,-0.0118206
23,7427.714000,-0.01588004
24,7427.715000,-0.03081668
25,7427.716000,-0.03319302
26,7427.717000,-0.0162455
27,7427.718000,-0.01993933
28,7427.719000,-0.01995073
29,7427.720000,-0.02083949
30,7427.721000,-0.02011072
31,7427.722000,-0.02007916
32,7427.723000,-0.01972125
33,7427.724000,-0.01811616
34,7427.725000,-0.01895452
35,7427.726000,-0.01843593
36,7427.727000,-0.01796951
37,7427.728000,-0.01760027
38,7427.729000,-0.01723997
39,7427.730000,-0.01699044
40,7427.731000,-0.01688687
41,7427.732000,-0.01564491
42,7427.733000,-0.01318086
43,7427.734000,-0.01625835
44,7427.735000,-0.02516759
45,7427.736000,-0.006466765
46,7427.737000,-0.006389348
47,7427.738000,-0.02622663
48,7427.739000,-0.007326791
49,7427.740000,-0.01539102
50,7427.741000,-0.01369757
51,7427.742000,-0.01202897
52,7427.743000,-0.006193994
53,7427.744000,-0.0195759
54,7427.745000,-0.01077165
55,7427.746000,-0.01229219
56,7427.747000,-0.01024354
57,7427.748000,-0.007619832
58,7427.749000,-0.004026925
59,7427.750000,-0.006524082
60,7427.751000,-0.01581516
61,7427.752000,-0.01528241
62,7427.753000,-0.00557716
63,7427.754000,-0.00394048
64,7427.755000,-0.007875726
65,7427.756000,-0.007881744
66,7427.757000,-0.006425401
67,7427.758000,-0.006083621
68,7427.759000,-0.005746288
69,7427.760000,-0.005477719
70,7427.761000,-0.005491158
71,7427.762000,-0.00449256
72,7427.763000,-0.002451682
73,7427.764000,-0.005541528
74,7427.765000,-0.00229609
75,7427.766000,-0.003452308
76,7427.767000,-0.005306058
77,7427.768000,-0.001208594
78,7427.769000,0.009150169
79,7427.770000,-0.01038248
80,7427.771000,-0.008457271
81,7427.772000,0.01150457
82,7427.773000,-0.003772167
83,7427.774000,6.664731E-4
84,7427.775000,0.001486629
85,7427.776000,8.091964E-4
86,7427.777000,-0.001475792
87,7427.778000,0.002702378
88,7427.779000,0.01363508
89,7427.780000,-0.009336026
90,7427.781000,0.007612638
91,7427.782000,0.003683096
92,7427.783000,0.003320692
93,7427.784000,0.005015472
94,7427.785000,0.008882141
95,7427.786000,0.003484523
96,7427.787000,-0.001619289
97,7427.788000,0.01884169
98,7427.789000,0.007112896
99,7427.790000,0.01114775
100,7427.791000,0.01047871
101,7427.792000,0.002979601
102,7427.793000,-0.01243675
103,7427.794000,0.0145124
104,7427.795000,0.0211807
105,7427.796000,0.02486886
106,7427.797000,0.005690234
107,7427.798000,0.003528528
108,7427.799000,0.0131213
109,7427.800000,0.01494956
110,7427.801000,0.01428494
