#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,-0.8614375
2,7427.693000,-0.2700312
3,7427.694000,-0.03677741
4,7427.695000,-0.3063851
5,7427.696000,-1.48323
6,7427.697000,-3.315666
7,7427.698000,-1.32335
8,7427.699000,-0.05222133
9,7427.700000,2.356914
10,7427.701000,1.999584
11,7427.702000,1.581042
12,7427.703000,3.010614
13,7427.704000,2.280493
14,7427.705000,3.038611
15,7427.706000,3.269408
16,7427.707000,4.821145
17,7427.708000,7.095292
18,7427.709000,4.547816
19,7427.710000,5.846235
20,7427.711000,3.925936
21,7427.712000,-1.347039
22,7427.713000,-6.177291
23,7427.714000,-4.469451
24,7427.715000,-1.327341
25,7427.716000,1.191644
26,7427.717000,1.85063
27,7427.718000,1.996544
28,7427.719000,0.2502388
29,7427.720000,1.837119
30,7427.721000,4.551818
31,7427.722000,3.146598
32,7427.723000,3.33073
33,7427.724000,1.554566
34,7427.725000,-0.5156052
35,7427.726000,-0.9573939
36,7427.727000,0.6435283
37,7427.728000,1.694671
38,7427.729000,0.4765879
39,7427.730000,0.5342374
40,7427.731000,0.6648985
41,7427.732000,0.312281
42,7427.733000,-0.6841029
43,7427.734000,-0.232896
44,7427.735000,1.57814
45,7427.736000,0.1318145
46,7427.737000,-0.7876321
47,7427.738000,1.813739
48,7427.739000,0.6549265
49,7427.740000,3.165111
50,7427.741000,-0.8151712
51,7427.742000,-1.478169
52,7427.743000,0.508394
53,7427.744000,1.021393
54,7427.745000,1.541651
55,7427.746000,1.432806
56,7427.747000,0.285694
57,7427.748000,-0.3877043
58,7427.749000,-0.775649
59,7427.750000,0.00926736
60,7427.751000,2.843504
61,7427.752000,6.429968
62,7427.753000,5.482461
63,7427.754000,4.345016
64,7427.755000,0.3920367
65,7427.756000,1.963549
66,7427.757000,-0.6285136
67,7427.758000,-2.661966
68,7427.759000,0.6527259
69,7427.760000,-0.5510466
70,7427.761000,1.184337
71,7427.762000,2.683369
72,7427.763000,-0.1332696
73,7427.764000,1.689994
74,7427.765000,2.24518
75,7427.766000,2.76605
76,7427.767000,2.336581
77,7427.768000,1.235106
78,7427.769000,-0.630095
79,7427.770000,1.983896
80,7427.771000,2.52161
81,7427.772000,0.4473006
82,7427.773000,0.9312596
83,7427.774000,0.2563445
84,7427.775000,0.5367776
85,7427.776000,0.5330423
86,7427.777000,1.748133
87,7427.778000,0.8905545
88,7427.779000,-1.772008
89,7427.780000,-0.6514026
90,7427.781000,-1.988128
91,7427.782000,-0.4699687
92,7427.783000,2.471813
93,7427.784000,1.086931
94,7427.785000,-1.904223
95,7427.786000,0.9706606
96,7427.787000,1.695216
97,7427.788000,-0.1031013
98,7427.789000,1.498262
99,7427.790000,2.058945
100,7427.791000,1.743545
101,7427.792000,3.116525
102,7427.793000,5.198567
103,7427.794000,1.26405
104,7427.795000,1.054274
105,7427.796000,0.02991717
106,7427.797000,1.346357
107,7427.798000,2.205828
108,7427.799000,2.095682
109,7427.800000,1.989907
110,7427.801000,1.931656
111,7427.802000,1.854223
112,7427.803000,-0.5468149
113,7427.804000,-2.225726
114,7427.805000,-1.07477
115,7427.806000,0.3847272
116,7427.807000,1.896933
117,7427.808000,3.362032
118,7427.809000,4.012972
119,7427.810000,4.045153
