#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,-0.07857718
2,7427.693000,-0.07935733
3,7427.694000,-0.08326552
4,7427.695000,-0.09044392
5,7427.696000,-0.08174005
6,7427.697000,-0.09355636
7,7427.698000,-0.09179085
8,7427.699000,-0.08832467
9,7427.700000,-0.1019991
10,7427.701000,-0.0947009
11,7427.702000,-0.1006093
12,7427.703000,-0.1047841
13,7427.704000,-0.1082402
14,7427.705000,-0.1104034
15,7427.706000,-0.1155681
16,7427.707000,-0.1285569
17,7427.708000,-0.0892111
18,7427.709000,-0.1016631
19,7427.710000,-0.1531343
20,7427.711000,-0.1089108
21,7427.712000,-0.1233823
22,7427.713000,-0.1494086
23,7427.714000,-0.1090947
24,7427.715000,-0.135223
25,7427.716000,-0.1409435
26,7427.717000,-0.1334292
27,7427.718000,-0.1424642
28,7427.719000,-0.1569315
29,7427.720000,-0.1378632
30,7427.721000,-0.1280181
31,7427.722000,-0.1772535
32,7427.723000,-0.1448566
33,7427.724000,-0.1569598
34,7427.725000,-0.1622561
35,7427.726000,-0.1610102
36,7427.727000,-0.1529247
37,7427.728000,-0.1792256
38,7427.729000,-0.1651046
39,7427.730000,-0.17171
40,7427.731000,-0.1742298
41,7427.732000,-0.1768964
42,7427.733000,-0.1797191
43,7427.734000,-0.1816463
44,7427.735000,-0.182622
45,7427.736000,-0.1865971
46,7427.737000,-0.1936513
47,7427.738000,-0.182869
48,7427.739000,-0.215937
49,7427.740000,-0.1779864
50,7427.741000,-0.2069184
51,7427.742000,-0.2034172
52,7427.743000,-0.2064996
53,7427.744000,-0.2087252
54,7427.745000,-0.2100428
55,7427.746000,-0.2162535
56,7427.747000,-0.2176129
57,7427.748000,-0.2187591
58,7427.749000,-0.2162379
59,7427.750000,-0.2260861
60,7427.751000,-0.2488379
61,7427.752000,-0.2061849
62,7427.753000,-0.2460215
63,7427.754000,-0.2316547
64,7427.755000,-0.2412175
65,7427.756000,-0.2429743
66,7427.757000,-0.2466482
67,7427.758000,-0.250831
68,7427.759000,-0.2358162
69,7427.760000,-0.2702233
70,7427.761000,-0.2518076
71,7427.762000,-0.2599823
72,7427.763000,-0.2629657
73,7427.764000,-0.2659649
74,7427.765000,-0.2689805
75,7427.766000,-0.2717302
76,7427.767000,-0.2741851
77,7427.768000,-0.2787608
78,7427.769000,-0.2856105
79,7427.770000,-0.2833246
80,7427.771000,-0.2714927
81,7427.772000,-0.3076431
82,7427.773000,-0.2874138
83,7427.774000,-0.2961893
84,7427.775000,-0.2993683
85,7427.776000,-0.3025905
86,7427.777000,-0.305872
87,7427.778000,-0.3079197
88,7427.779000,-0.3165151
89,7427.780000,-0.3063987
90,7427.781000,-0.3150661
91,7427.782000,-0.3175184
92,7427.783000,-0.3258338
93,7427.784000,-0.3347754
94,7427.785000,-0.3453996
95,7427.786000,-0.3391083
96,7427.787000,-0.313675
97,7427.788000,-0.3430012
98,7427.789000,-0.3408858
99,7427.790000,-0.3545911
100,7427.791000,-0.3604621
101,7427.792000,-0.3492147
102,7427.793000,-0.3546544
103,7427.794000,-0.3554755
104,7427.795000,-0.3650708
105,7427.796000,-0.3825583
106,7427.797000,-0.4110591
107,7427.798000,-0.3763347
108,7427.799000,-0.348662
109,7427.800000,-0.3742239
