#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,0.08723173
2,7427.693000,0.08330205
3,7427.694000,0.08403671
4,7427.695000,0.07881254
5,7427.696000,0.07751533
6,7427.697000,0.07437655
7,7427.698000,0.07173371
8,7427.699000,0.06882361
9,7427.700000,0.06564417
10,7427.701000,0.06214973
11,7427.702000,0.06030139
12,7427.703000,0.06023917
13,7427.704000,0.05327559
14,7427.705000,0.03914419
15,7427.706000,0.06110701
16,7427.707000,0.04053
17,7427.708000,0.04215258
18,7427.709000,0.0399223
19,7427.710000,0.03453261
20,7427.711000,0.0257538
21,7427.712000,0.02999651
22,7427.713000,0.04781547
23,7427.714000,-0.003104448
24,7427.715000,0.0267812
25,7427.716000,0.0151245
26,7427.717000,0.01153883
27,7427.718000,0.0081608
28,7427.719000,0.005009741
29,7427.720000,0.001977533
30,7427.721000,-8.610785E-4
31,7427.722000,-0.003675193
32,7427.723000,-0.006469935
33,7427.724000,-0.009092212
34,7427.725000,-0.01157293
35,7427.726000,-0.0140734
36,7427.727000,-0.01658386
37,7427.728000,-0.01904541
38,7427.729000,-0.02149326
39,7427.730000,-0.02378598
40,7427.731000,-0.02591288
41,7427.732000,-0.0279108
42,7427.733000,-0.02973855
43,7427.734000,-0.03214818
44,7427.735000,-0.03520346
45,7427.736000,-0.03619871
46,7427.737000,-0.03510055
47,7427.738000,-0.04481581
48,7427.739000,-0.04173064
49,7427.740000,-0.04524875
50,7427.741000,-0.04752135
51,7427.742000,-0.04964194
52,7427.743000,-0.05160767
53,7427.744000,-0.05349597
54,7427.745000,-0.05525899
55,7427.746000,-0.05703351
56,7427.747000,-0.05882818
57,7427.748000,-0.06053567
58,7427.749000,-0.06218407
59,7427.750000,-0.06390887
60,7427.751000,-0.06571072
61,7427.752000,-0.06757322
62,7427.753000,-0.06953388
63,7427.754000,-0.07124975
64,7427.755000,-0.07270312
65,7427.756000,-0.07511225
66,7427.757000,-0.07849747
67,7427.758000,-0.07727748
68,7427.759000,-0.0818584
69,7427.760000,-0.08367589
70,7427.761000,-0.08621716
71,7427.762000,-0.08886281
72,7427.763000,-0.09161302
73,7427.764000,-0.094538
74,7427.765000,-0.09763208
75,7427.766000,-0.09991878
76,7427.767000,-0.1013139
77,7427.768000,-0.1002336
78,7427.769000,-0.09619176
79,7427.770000,-0.1001219
80,7427.771000,-0.112423
81,7427.772000,-0.08028698
82,7427.773000,-0.09714815
83,7427.774000,-0.09886914
84,7427.775000,-0.1173302
85,7427.776000,-0.1116541
86,7427.777000,-0.08210701
87,7427.778000,-0.1827589
88,7427.779000,-0.1398041
89,7427.780000,-0.104487
90,7427.781000,-0.1271058
91,7427.782000,-0.1166709
92,7427.783000,-0.09504798
93,7427.784000,-0.1415469
94,7427.785000,-0.1399068
95,7427.786000,-0.1134551
96,7427.787000,-0.09372249
97,7427.788000,-0.1599295
98,7427.789000,-0.1372962
99,7427.790000,-0.1019733
100,7427.791000,-0.1008157
101,7427.792000,-0.1802118
102,7427.793000,-0.2065583
103,7427.794000,-0.1342483
104,7427.795000,-0.1819441
105,7427.796000,-0.1485514
106,7427.797000,-0.1191326
107,7427.798000,-0.1345864
108,7427.799000,-0.2012396
109,7427.800000,-0.2050956
110,7427.801000,-0.153423
