#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,-10.93146
2,7427.693000,-10.94244
3,7427.694000,-10.95476
4,7427.695000,-10.96729
5,7427.696000,-10.9806
6,7427.697000,-10.99445
7,7427.698000,-11.01055
8,7427.699000,-11.02906
9,7427.700000,-11.04909
10,7427.701000,-11.07109
11,7427.702000,-11.07752
12,7427.703000,-11.0666
13,7427.704000,-11.05972
14,7427.705000,-11.05315
15,7427.706000,-10.98594
16,7427.707000,-10.98426
17,7427.708000,-10.93218
18,7427.709000,-10.83711
19,7427.710000,-10.87332
20,7427.711000,-10.91029
21,7427.712000,-10.76285
22,7427.713000,-10.83436
23,7427.714000,-10.9301
24,7427.715000,-10.89154
25,7427.716000,-10.96525
26,7427.717000,-11.05009
27,7427.718000,-11.0614
28,7427.719000,-10.99469
29,7427.720000,-11.1438
30,7427.721000,-11.05217
31,7427.722000,-10.98317
32,7427.723000,-11.03421
33,7427.724000,-11.00207
34,7427.725000,-10.97886
35,7427.726000,-10.96563
36,7427.727000,-10.96242
37,7427.728000,-10.96562
38,7427.729000,-10.97942
39,7427.730000,-10.98711
40,7427.731000,-10.98835
41,7427.732000,-10.99499
42,7427.733000,-11.00356
43,7427.734000,-11.00829
44,7427.735000,-11.00994
45,7427.736000,-11.01217
46,7427.737000,-11.014
47,7427.738000,-11.00554
48,7427.739000,-10.98629
49,7427.740000,-11.03414
50,7427.741000,-10.99234
51,7427.742000,-11.01529
52,7427.743000,-11.00502
53,7427.744000,-11.00916
54,7427.745000,-11.01285
55,7427.746000,-11.01058
56,7427.747000,-11.00215
57,7427.748000,-11.02134
58,7427.749000,-11.00803
59,7427.750000,-11.01183
60,7427.751000,-11.01303
61,7427.752000,-11.01436
62,7427.753000,-11.01602
63,7427.754000,-11.01786
64,7427.755000,-11.01982
65,7427.756000,-11.02218
66,7427.757000,-11.02488
67,7427.758000,-11.02804
68,7427.759000,-11.0317
69,7427.760000,-11.03582
70,7427.761000,-11.04046
71,7427.762000,-11.04561
72,7427.763000,-11.05131
73,7427.764000,-11.05761
74,7427.765000,-11.06454
75,7427.766000,-11.06961
76,7427.767000,-11.07258
77,7427.768000,-11.07633
78,7427.769000,-11.08035
79,7427.770000,-11.07761
80,7427.771000,-11.06788
81,7427.772000,-11.09215
82,7427.773000,-11.07405
83,7427.774000,-11.07791
84,7427.775000,-11.07829
85,7427.776000,-11.07871
86,7427.777000,-11.07958
87,7427.778000,-11.07977
88,7427.779000,-11.07922
89,7427.780000,-11.07703
90,7427.781000,-11.07276
91,7427.782000,-11.07614
92,7427.783000,-11.08766
93,7427.784000,-11.06243
94,7427.785000,-11.08218
95,7427.786000,-11.07683
96,7427.787000,-11.07318
97,7427.788000,-11.08574
98,7427.789000,-11.08817
99,7427.790000,-11.07943
100,7427.791000,-11.04967
101,7427.792000,-11.10839
102,7427.793000,-11.11977
103,7427.794000,-11.03599
104,7427.795000,-11.10927
105,7427.796000,-11.08181
106,7427.797000,-11.05125
107,7427.798000,-11.10758
108,7427.799000,-11.14785
109,7427.800000,-11.01868
110,7427.801000,-11.12913
111,7427.802000,-11.09364
112,7427.803000,-11.05803
113,7427.804000,-11.13947
114,7427.805000,-11.12459
115,7427.806000,-11.07502
116,7427.807000,-11.13631
