Base,Target,Pearson,k,b,Length,Pearson(sub)
cegun,chilunxiang,0.028323101862285302,0.022351741790771484,-0.07033337030497362,4490,0.34306298247979594
cegun,dianjichui,0.0032463958173641378,-0.003725290298461914,-0.06456101253877794,5188,-0.03464113252552053
cegun,dianjiheng,-0.02303110115308025,0.03352761268615723,-0.05837282061790326,3413,0.32821128729433235
cegun,fuchen,-0.294954154997472,-0.43958425521850586,-0.0519538793068693,2782,-0.9881967778922527
cegun,hengjian,0.1541091192515327,-0.054016709327697754,-0.03695492779990241,4173,-0.6329957011590376
cegun,hengxiang ,-0.0017697842380912548,-0.09313225746154785,0.015263608088710908,3076,-0.6398438056089735
cegun,lingxing,0.5472279146976075,0.19744038581848145,-0.09242587574511085,5257,0.9438231205568874
cegun,niuzhuan,0.49845973623269096,0.10058283805847168,0.10199918579240277,3542,0.8711872585464753
cegun,qianyin,0.6873978905194706,-0.022351741790771484,-1.1052912491006381,6758,-0.23664133582811026
cegun,zhidong,-0.6941670691200094,-0.09685754776000977,1.1080710281819761,8221,-0.7234782848116234
chilunxiang,cegun,0.028323101862286933,0.01862645149230957,0.6709612151612128,2757,0.3664198483471473
chilunxiang,dianjichui,0.023134196725755948,0.07078051567077637,-0.020297054852296506,5449,0.6101597210422295
chilunxiang,dianjiheng,0.004745980855548399,0.040978193283081055,0.04216828034681735,3367,0.42066369285073885
chilunxiang,fuchen,0.25467901231775436,0.173225998878479,0.3110771560750717,2557,0.853300166027167
chilunxiang,hengjian,0.06366913708987164,0.19744038581848145,-0.0204733906925667,4402,0.9352468117496057
chilunxiang,hengxiang ,0.06683230513231563,0.003725290298461914,-0.11531873661840214,3010,0.1181620814817149
chilunxiang,lingxing,0.15926154666435346,0.14528632164001465,0.24188167629334023,4749,0.9081316262217071
chilunxiang,niuzhuan,0.1390884234820671,0.07078051567077637,0.06467086153197878,3197,0.7759368652495209
chilunxiang,qianyin,-0.158419388327632,-0.08195638656616211,-1.115516335122276,7854,-0.7892554871965857
chilunxiang,zhidong,0.14823208453323597,0.0260770320892334,1.1559454063988168,7328,0.3452011745905198
dianjichui,cegun,0.0032463958173601965,0.01862645149230957,0.6750778124882006,2737,0.23599570386049154
dianjichui,chilunxiang,0.02313419672575484,0.003725290298461914,-0.05982391860338222,4426,0.10497858659010742
dianjichui,dianjiheng,0.7378384050484581,0.4433095455169678,-0.024337572658764572,3522,0.8539585179420673
dianjichui,fuchen,-0.0843891900719752,-0.04842877388000488,0.5133363463617322,2535,-0.5827433114739243
dianjichui,hengjian,-5.864264180586998E-4,0.01862645149230957,-0.05558955467365253,4144,0.12316122857590475
dianjichui,hengxiang ,-0.353962732925252,-0.0782310962677002,-0.10946468135667675,3030,-0.4505589187979908
dianjichui,lingxing,-0.041219609620190584,-0.003725290298461914,0.327339727945484,4003,-0.08783491633641033
dianjichui,niuzhuan,0.043522329217275196,0.0260770320892334,-0.02415630525236525,3214,0.3692686530343568
dianjichui,zhidong,0.021510453604896798,0.007450580596923828,1.1773804908231154,7332,0.21788899624654895
dianjiheng,cegun,-0.02303110115308125,0.003725290298461914,0.6852463015795556,2729,0.09886857498032638
dianjiheng,chilunxiang,0.004745980855535764,0.003725290298461914,-0.058687765018608166,4428,0.08912131857769762
dianjiheng,dianjichui,0.7378384050484581,-0.1043081283569336,-0.045912999133421936,5452,-0.4785383262170814
dianjiheng,fuchen,-0.07708068158481261,-0.0260770320892334,0.5185642107330304,2542,-0.4871276990765333
dianjiheng,hengjian,0.003457270294252714,0.01862645149230957,-0.07011597122616295,4121,0.16633641923213882
dianjiheng,hengxiang ,-0.18765999905697248,0.01862645149230957,-0.12332639141795257,3007,0.0591395325638382
dianjiheng,lingxing,0.020018716064087907,0.003725290298461914,0.3203467517837243,3987,0.023113873064895242
dianjiheng,niuzhuan,-0.16676950187807513,0.0260770320892334,-0.008014660613659488,3232,0.3938777790167339
dianjiheng,qianyin,-0.011379398757850524,-0.003725290298461914,-1.083410380921975,6612,-0.08080738104306551
dianjiheng,zhidong,0.019547247295965308,0.007450580596923828,1.1673769411194406,7279,0.21529693191401478
fuchen,cegun,-0.2949541549974719,-0.34458935260772705,0.5941085088362283,3447,-0.9861281851225612
fuchen,chilunxiang,0.2546790123177542,0.20489096641540527,-0.0026465581292904536,4836,0.9553264332229051
fuchen,dianjichui,-0.0843891900719756,0.022351741790771484,-0.06026742643614566,5323,0.3294389974700778
fuchen,dianjiheng,-0.07708068158481204,0.003725290298461914,-0.03544235184242304,3332,-0.042552217522822726
fuchen,hengjian,0.0011228303418395508,0.020489096641540527,-0.061307037909328475,4127,0.28395785897557413
fuchen,hengxiang ,-0.01092785265644499,-0.016763806343078613,-0.13756051057875396,3023,-0.1420015449174989
fuchen,lingxing,-0.09109402471748743,0.2905726432800293,-0.06513225916027825,4432,0.9744331091122047
fuchen,niuzhuan,-0.038155483681978776,0.3650784492492676,0.40304692361503525,3513,0.9823324501683092
fuchen,qianyin,-0.5549420827275181,-0.03725290298461914,-1.1191720773835805,7025,-0.47656099695890985
fuchen,zhidong,0.5403504301771549,-0.022351741790771484,1.1945111162413968,7572,-0.4426405914487425
hengjian,cegun,0.1541091192515329,0.1825392246246338,0.7711725816315579,3514,0.9674343288456754
hengjian,chilunxiang,0.06366913708987228,0.04842877388000488,-0.02631020203510978,4478,0.5577769907828003
hengjian,dianjichui,-5.864264180676449E-4,-0.01862645149230957,-0.042673971575384065,5414,-0.3174094571478424
hengjian,dianjiheng,0.00345727029424808,0.13783574104309082,0.02693680211358413,3438,0.8168322619076448
hengjian,fuchen,0.0011228303417768362,-0.5885958671569824,0.31943805166601985,2677,-0.9860257791914835
hengjian,hengxiang ,0.02565866637750417,0.04470348358154297,-0.08286248570339604,3072,0.5209941526871064
hengjian,lingxing,0.30119436981214504,0.36135315895080566,0.16252629633980226,5031,0.9887633290543207
hengjian,niuzhuan,0.3285491103103862,0.23283064365386963,0.3255950729698076,3313,0.965979290508483
