#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7427.692000,14.53018
2,7427.693000,14.52459
3,7427.694000,14.54092
4,7427.695000,14.55673
5,7427.696000,14.51542
6,7427.697000,14.55253
7,7427.698000,14.54137
8,7427.699000,14.52928
9,7427.700000,14.56218
10,7427.701000,14.54718
11,7427.702000,14.54853
12,7427.703000,14.53495
13,7427.704000,14.57047
14,7427.705000,14.54741
15,7427.706000,14.55722
16,7427.707000,14.56444
17,7427.708000,14.55844
18,7427.709000,14.53862
19,7427.710000,14.58882
20,7427.711000,14.56086
21,7427.712000,14.56629
22,7427.713000,14.55559
23,7427.714000,14.58567
24,7427.715000,14.5678
25,7427.716000,14.57461
26,7427.717000,14.57667
27,7427.718000,14.57829
28,7427.719000,14.57945
29,7427.720000,14.58217
30,7427.721000,14.5865
31,7427.722000,14.58243
32,7427.723000,14.58822
33,7427.724000,14.5889
34,7427.725000,14.59052
35,7427.726000,14.59216
36,7427.727000,14.5938
37,7427.728000,14.59543
38,7427.729000,14.59705
39,7427.730000,14.59863
40,7427.731000,14.60015
41,7427.732000,14.60165
42,7427.733000,14.60312
43,7427.734000,14.60464
44,7427.735000,14.60619
45,7427.736000,14.60724
46,7427.737000,14.60774
47,7427.738000,14.61245
48,7427.739000,14.62168
49,7427.740000,14.61273
50,7427.741000,14.58476
51,7427.742000,14.65234
52,7427.743000,14.60748
53,7427.744000,14.62037
54,7427.745000,14.622
55,7427.746000,14.62229
56,7427.747000,14.62111
57,7427.748000,14.62846
58,7427.749000,14.64491
59,7427.750000,14.62069
60,7427.751000,14.5885
61,7427.752000,14.67808
62,7427.753000,14.6342
63,7427.754000,14.62202
64,7427.755000,14.62105
65,7427.756000,14.65744
66,7427.757000,14.63055
67,7427.758000,14.64086
68,7427.759000,14.64771
69,7427.760000,14.64437
70,7427.761000,14.63053
71,7427.762000,14.67217
72,7427.763000,14.64896
73,7427.764000,14.6596
74,7427.765000,14.66412
75,7427.766000,14.66636
76,7427.767000,14.66609
77,7427.768000,14.66455
78,7427.769000,14.66097
79,7427.770000,14.65721
80,7427.771000,14.65335
81,7427.772000,14.64591
82,7427.773000,14.63504
83,7427.774000,14.64317
84,7427.775000,14.6717
85,7427.776000,14.66331
86,7427.777000,14.69598
87,7427.778000,14.72798
88,7427.779000,14.68026
89,7427.780000,14.66054
90,7427.781000,14.6081
91,7427.782000,14.59296
92,7427.783000,14.61432
93,7427.784000,14.6459
94,7427.785000,14.7014
95,7427.786000,14.72577
96,7427.787000,14.80372
97,7427.788000,14.78479
98,7427.789000,14.89945
99,7427.790000,14.84872
100,7427.791000,14.76424
101,7427.792000,14.69006
102,7427.793000,14.47217
103,7427.794000,14.42977
104,7427.795000,14.50029
105,7427.796000,14.58592
106,7427.797000,14.74611
107,7427.798000,14.8765
108,7427.799000,14.76189
109,7427.800000,14.87453
110,7427.801000,14.74475
111,7427.802000,14.70277
112,7427.803000,14.63739
113,7427.804000,14.54755
114,7427.805000,14.77391
115,7427.806000,14.78381
116,7427.807000,14.71129
117,7427.808000,14.70439
118,7427.809000,14.72092
119,7427.810000,14.71993
120,7427.811000,14.72087
121,7427.812000,14.72357
122,7427.813000,14.72566
123,7427.814000,14.72326
124,7427.815000,14.71546
125,7427.816000,14.73239
