#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,1.557564
2,7460.038000,1.577743
3,7460.039000,1.596081
4,7460.040000,1.609625
5,7460.041000,1.617528
6,7460.042000,1.641607
7,7460.043000,1.677416
8,7460.044000,1.64463
9,7460.045000,1.665863
10,7460.046000,1.706288
11,7460.047000,1.699881
12,7460.048000,1.668018
13,7460.049000,1.681558
14,7460.050000,1.699919
15,7460.051000,1.735223
16,7460.052000,1.741913
17,7460.053000,1.714079
18,7460.054000,1.706461
19,7460.055000,1.709091
20,7460.056000,1.717775
21,7460.057000,1.741492
22,7460.058000,1.753527
23,7460.059000,1.754613
24,7460.060000,1.763978
25,7460.061000,1.776933
26,7460.062000,1.791522
27,7460.063000,1.800213
28,7460.064000,1.804107
29,7460.065000,1.798258
30,7460.066000,1.828359
31,7460.067000,1.863168
32,7460.068000,1.80305
33,7460.069000,1.863019
34,7460.070000,1.859322
35,7460.071000,1.866268
36,7460.072000,1.872748
37,7460.073000,1.878304
38,7460.074000,1.883309
39,7460.075000,1.887838
40,7460.076000,1.891287
41,7460.077000,1.893723
42,7460.078000,1.896924
43,7460.079000,1.900945
44,7460.080000,1.904958
45,7460.081000,1.90941
46,7460.082000,1.9131
47,7460.083000,1.915931
48,7460.084000,1.918869
49,7460.085000,1.92164
50,7460.086000,1.924416
51,7460.087000,1.927325
52,7460.088000,1.930094
53,7460.089000,1.932802
54,7460.090000,1.935579
55,7460.091000,1.938414
56,7460.092000,1.941322
57,7460.093000,1.94434
58,7460.094000,1.946964
59,7460.095000,1.949165
60,7460.096000,1.95122
61,7460.097000,1.953001
62,7460.098000,1.954813
63,7460.099000,1.956692
64,7460.100000,1.958383
65,7460.101000,1.95996
66,7460.102000,1.959563
67,7460.103000,1.956973
68,7460.104000,1.953114
69,7460.105000,1.947436
70,7460.106000,1.940952
71,7460.107000,1.933702
72,7460.108000,1.924677
73,7460.109000,1.914054
74,7460.110000,1.903286
75,7460.111000,1.892344
76,7460.112000,1.880615
77,7460.113000,1.868437
78,7460.114000,1.854648
79,7460.115000,1.839149
80,7460.116000,1.822773
81,7460.117000,1.805238
82,7460.118000,1.79218
83,7460.119000,1.784247
84,7460.120000,1.778582
85,7460.121000,1.776831
86,7460.122000,1.775931
87,7460.123000,1.775733
88,7460.124000,1.779265
89,7460.125000,1.785968
90,7460.126000,1.791448
91,7460.127000,1.795778
92,7460.128000,1.800774
93,7460.129000,1.805404
94,7460.130000,1.813192
95,7460.131000,1.824425
96,7460.132000,1.836047
97,7460.133000,1.848849
98,7460.134000,1.858514
99,7460.135000,1.864204
100,7460.136000,1.856363
101,7460.137000,1.853813
102,7460.138000,1.852608
103,7460.139000,1.842338
104,7460.140000,1.832636
105,7460.141000,1.818314
106,7460.142000,1.806389
107,7460.143000,1.79685
108,7460.144000,1.78714
109,7460.145000,1.77872
110,7460.146000,1.766899
111,7460.147000,1.751308
112,7460.148000,1.735445
113,7460.149000,1.718213
114,7460.150000,1.704678
115,7460.151000,1.695701
116,7460.152000,1.687926
117,7460.153000,1.682869
118,7460.154000,1.674216
119,7460.155000,1.661281
120,7460.156000,1.642373
121,7460.157000,1.615222
122,7460.158000,1.641565
123,7460.159000,1.662092
124,7460.160000,1.669647
125,7460.161000,1.646896
