#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,-1.173106
2,7460.038000,-1.176586
3,7460.039000,-1.179501
4,7460.040000,-1.182161
5,7460.041000,-1.184403
6,7460.042000,-1.186484
7,7460.043000,-1.188414
8,7460.044000,-1.189912
9,7460.045000,-1.191022
10,7460.046000,-1.192221
11,7460.047000,-1.193509
12,7460.048000,-1.194681
13,7460.049000,-1.19585
14,7460.050000,-1.196654
15,7460.051000,-1.197062
16,7460.052000,-1.197343
17,7460.053000,-1.197399
18,7460.054000,-1.197527
19,7460.055000,-1.197774
20,7460.056000,-1.197944
21,7460.057000,-1.198122
22,7460.058000,-1.198202
23,7460.059000,-1.198159
24,7460.060000,-1.198116
25,7460.061000,-1.198047
26,7460.062000,-1.197628
27,7460.063000,-1.196849
28,7460.064000,-1.195844
29,7460.065000,-1.194529
30,7460.066000,-1.193113
31,7460.067000,-1.191614
32,7460.068000,-1.189858
33,7460.069000,-1.187892
34,7460.070000,-1.186247
35,7460.071000,-1.18495
36,7460.072000,-1.183781
37,7460.073000,-1.182887
38,7460.074000,-1.181919
39,7460.075000,-1.180868
40,7460.076000,-1.180047
41,7460.077000,-1.179392
42,7460.078000,-1.178589
43,7460.079000,-1.177655
44,7460.080000,-1.176704
45,7460.081000,-1.175669
46,7460.082000,-1.174831
47,7460.083000,-1.174202
48,7460.084000,-1.173584
49,7460.085000,-1.173042
50,7460.086000,-1.172154
51,7460.087000,-1.170863
52,7460.088000,-1.169419
53,7460.089000,-1.167697
54,7460.090000,-1.165896
55,7460.091000,-1.164031
56,7460.092000,-1.161889
57,7460.093000,-1.159509
58,7460.094000,-1.157263
59,7460.095000,-1.15515
60,7460.096000,-1.153012
61,7460.097000,-1.150937
62,7460.098000,-1.148647
63,7460.099000,-1.146127
64,7460.100000,-1.143593
65,7460.101000,-1.140985
66,7460.102000,-1.139359
67,7460.103000,-1.138845
68,7460.104000,-1.138905
69,7460.105000,-1.139852
70,7460.106000,-1.141135
71,7460.107000,-1.142731
72,7460.108000,-1.145206
73,7460.109000,-1.148465
74,7460.110000,-1.151675
75,7460.111000,-1.154854
76,7460.112000,-1.15836
77,7460.113000,-1.162
78,7460.114000,-1.166439
79,7460.115000,-1.171741
80,7460.116000,-1.177434
81,7460.117000,-1.18364
82,7460.118000,-1.189754
83,7460.119000,-1.195662
84,7460.120000,-1.201785
85,7460.121000,-1.207941
86,7460.122000,-1.214407
87,7460.123000,-1.221214
88,7460.124000,-1.228053
89,7460.125000,-1.23498
90,7460.126000,-1.242661
91,7460.127000,-1.251112
92,7460.128000,-1.260048
93,7460.129000,-1.269638
94,7460.130000,-1.279415
95,7460.131000,-1.289351
96,7460.132000,-1.299824
97,7460.133000,-1.310733
98,7460.134000,-1.31898
99,7460.135000,-1.324291
100,7460.136000,-1.328043
101,7460.137000,-1.32935
102,7460.138000,-1.330079
103,7460.139000,-1.330297
104,7460.140000,-1.328267
105,7460.141000,-1.32433
106,7460.142000,-1.320583
107,7460.143000,-1.316948
108,7460.144000,-1.312604
109,7460.145000,-1.308027
110,7460.146000,-1.301468
111,7460.147000,-1.292778
112,7460.148000,-1.283189
113,7460.149000,-1.272271
114,7460.150000,-1.261814
115,7460.151000,-1.252099
116,7460.152000,-1.241953
