#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,-0.08389282
2,7460.038000,-0.0832901
3,7460.039000,-0.08303833
4,7460.040000,-0.08278656
5,7460.041000,-0.08148956
6,7460.042000,-0.08084106
7,7460.043000,-0.08022308
8,7460.044000,-0.07919312
9,7460.045000,-0.07911682
10,7460.046000,-0.07850647
11,7460.047000,-0.07766724
12,7460.048000,-0.07717133
13,7460.049000,-0.07657623
14,7460.050000,-0.07569885
15,7460.051000,-0.07505035
16,7460.052000,-0.07518768
17,7460.053000,-0.07465363
18,7460.054000,-0.07424927
19,7460.055000,-0.07379913
20,7460.056000,-0.07373047
21,7460.057000,-0.0738678
22,7460.058000,-0.07417297
23,7460.059000,-0.07447815
24,7460.060000,-0.07460022
25,7460.061000,-0.07434845
26,7460.062000,-0.07431793
27,7460.063000,-0.07519531
28,7460.064000,-0.07517242
29,7460.065000,-0.07523346
30,7460.066000,-0.07531738
31,7460.067000,-0.07537079
32,7460.068000,-0.07535553
33,7460.069000,-0.07527161
34,7460.070000,-0.0752182
35,7460.071000,-0.07519531
36,7460.072000,-0.07518005
37,7460.073000,-0.07518005
38,7460.074000,-0.07516479
39,7460.075000,-0.07505035
40,7460.076000,-0.0748291
41,7460.077000,-0.07440948
42,7460.078000,-0.07371521
43,7460.079000,-0.07327271
44,7460.080000,-0.07367706
45,7460.081000,-0.0741272
46,7460.082000,-0.07392883
47,7460.083000,-0.0737915
48,7460.084000,-0.07379913
49,7460.085000,-0.07360077
50,7460.086000,-0.07409668
51,7460.087000,-0.07439423
52,7460.088000,-0.07405853
53,7460.089000,-0.07401276
54,7460.090000,-0.07423401
55,7460.091000,-0.07462311
56,7460.092000,-0.07489014
57,7460.093000,-0.07498932
58,7460.094000,-0.07532501
59,7460.095000,-0.07558441
60,7460.096000,-0.07568359
61,7460.097000,-0.07606506
62,7460.098000,-0.07660675
63,7460.099000,-0.07659912
64,7460.100000,-0.07684326
65,7460.101000,-0.07700348
66,7460.102000,-0.07730865
67,7460.103000,-0.07767487
68,7460.104000,-0.07800293
69,7460.105000,-0.07835388
70,7460.106000,-0.07872009
71,7460.107000,-0.07910156
72,7460.108000,-0.07952118
73,7460.109000,-0.07997131
74,7460.110000,-0.08042145
75,7460.111000,-0.08086395
76,7460.112000,-0.08133698
77,7460.113000,-0.08181763
78,7460.114000,-0.08234406
79,7460.115000,-0.08292389
80,7460.116000,-0.08351135
81,7460.117000,-0.08409882
82,7460.118000,-0.08467102
83,7460.119000,-0.08526611
84,7460.120000,-0.0859375
85,7460.121000,-0.08660126
86,7460.122000,-0.08724213
87,7460.123000,-0.08787537
88,7460.124000,-0.08854675
89,7460.125000,-0.0892334
90,7460.126000,-0.0899353
91,7460.127000,-0.09066772
92,7460.128000,-0.09141541
93,7460.129000,-0.0921936
94,7460.130000,-0.09295654
95,7460.131000,-0.09375
96,7460.132000,-0.09459686
97,7460.133000,-0.09545135
98,7460.134000,-0.09629059
99,7460.135000,-0.09720612
100,7460.136000,-0.0980835
101,7460.137000,-0.09899139
102,7460.138000,-0.0999527
103,7460.139000,-0.1009521
104,7460.140000,-0.1019897
105,7460.141000,-0.1030579
106,7460.142000,-0.1041946
107,7460.143000,-0.1054077
108,7460.144000,-0.1066971
