#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,0.06388187
2,7460.038000,0.0694952
3,7460.039000,0.07213211
4,7460.040000,0.07354546
5,7460.041000,0.07295036
6,7460.042000,0.07182789
7,7460.043000,0.07023716
8,7460.044000,0.06650829
9,7460.045000,0.06087208
10,7460.046000,0.0561142
11,7460.047000,0.05211639
12,7460.048000,0.0476923
13,7460.049000,0.04359818
14,7460.050000,0.03784561
15,7460.051000,0.03020859
16,7460.052000,0.0220108
17,7460.053000,0.01311493
18,7460.054000,0.005027771
19,7460.055000,-0.001873016
20,7460.056000,-0.008825302
21,7460.057000,-0.01528168
22,7460.058000,-0.02192497
23,7460.059000,-0.02877426
24,7460.060000,-0.03494453
25,7460.061000,-0.04071617
26,7460.062000,-0.04785728
27,7460.063000,-0.05651855
28,7460.064000,-0.06567955
29,7460.065000,-0.0759201
30,7460.066000,-0.08597374
31,7460.067000,-0.09568787
32,7460.068000,-0.106102
33,7460.069000,-0.1169262
34,7460.070000,-0.1257172
35,7460.071000,-0.132328
36,7460.072000,-0.1377087
37,7460.073000,-0.14118
38,7460.074000,-0.1443996
39,7460.075000,-0.147377
40,7460.076000,-0.1486301
41,7460.077000,-0.1484814
42,7460.078000,-0.1483345
43,7460.079000,-0.1481857
44,7460.080000,-0.1476402
45,7460.081000,-0.1468372
46,7460.082000,-0.1443596
47,7460.083000,-0.1403046
48,7460.084000,-0.1355705
49,7460.085000,-0.1297703
50,7460.086000,-0.1249218
51,7460.087000,-0.1212444
52,7460.088000,-0.1175156
53,7460.089000,-0.1143742
54,7460.090000,-0.1108894
55,7460.091000,-0.1070137
56,7460.092000,-0.1035671
57,7460.093000,-0.1004333
58,7460.094000,-0.09570885
59,7460.095000,-0.08930969
60,7460.096000,-0.08200645
61,7460.097000,-0.07335472
62,7460.098000,-0.06476593
63,7460.099000,-0.05629349
64,7460.100000,-0.04681778
65,7460.101000,-0.03665543
66,7460.102000,-0.02933884
67,7460.103000,-0.02509308
68,7460.104000,-0.02247238
69,7460.105000,-0.02246284
70,7460.106000,-0.02276802
71,7460.107000,-0.02331924
72,7460.108000,-0.02615547
73,7460.109000,-0.03084373
74,7460.110000,-0.02932549
75,7460.111000,-0.02107239
76,7460.112000,-0.009658813
77,7460.113000,0.007129669
78,7460.114000,0.02403641
79,7460.115000,0.04080391
80,7460.116000,0.062006
81,7460.117000,0.0865984
82,7460.118000,0.08119774
83,7460.119000,0.04304695
84,7460.120000,-0.01285744
85,7460.121000,-0.09596443
86,7460.122000,-0.1254807
87,7460.123000,-0.09440231
88,7460.124000,-0.04969025
89,7460.125000,0.03006744
90,7460.126000,0.06812191
91,7460.127000,0.0559473
92,7460.128000,0.04855633
93,7460.129000,0.02618408
94,7460.130000,0.02718163
95,7460.131000,0.05925274
96,7460.132000,0.08804607
97,7460.133000,0.1242809
98,7460.134000,0.12152
99,7460.135000,0.07181835
100,7460.136000,0.005735397
101,7460.137000,-0.09066582
102,7460.138000,-0.1349239
103,7460.139000,-0.1182899
104,7460.140000,-0.09239197
105,7460.141000,-0.03504562
106,7460.142000,-0.01413727
107,7460.143000,-0.03809547
108,7460.144000,-0.05551529
109,7460.145000,-0.08394051
110,7460.146000,-0.09065819
111,7460.147000,-0.06822014
