#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,2.747093
2,7460.038000,2.741124
3,7460.039000,2.737113
4,7460.040000,2.736948
5,7460.041000,2.741599
6,7460.042000,2.734847
7,7460.043000,2.721497
8,7460.044000,2.763459
9,7460.045000,2.747
10,7460.046000,2.749176
11,7460.047000,2.757188
12,7460.048000,2.733699
13,7460.049000,2.738938
14,7460.050000,2.743004
15,7460.051000,2.79318
16,7460.052000,2.801668
17,7460.053000,2.780775
18,7460.054000,2.773792
19,7460.055000,2.769723
20,7460.056000,2.768968
21,7460.057000,2.778017
22,7460.058000,2.774235
23,7460.059000,2.758602
24,7460.060000,2.747979
25,7460.061000,2.738603
26,7460.062000,2.724422
27,7460.063000,2.717531
28,7460.064000,2.701922
29,7460.065000,2.680975
30,7460.066000,2.685052
31,7460.067000,2.68218
32,7460.068000,2.621506
33,7460.069000,2.635534
34,7460.070000,2.613204
35,7460.071000,2.60291
36,7460.072000,2.594092
37,7460.073000,2.588179
38,7460.074000,2.582839
39,7460.075000,2.577908
40,7460.076000,2.57585
41,7460.077000,2.576236
42,7460.078000,2.574798
43,7460.079000,2.571536
44,7460.080000,2.568271
45,7460.081000,2.563973
46,7460.082000,2.561849
47,7460.083000,2.562152
48,7460.084000,2.562466
49,7460.085000,2.563539
50,7460.086000,2.562792
51,7460.087000,2.559721
52,7460.088000,2.556092
53,7460.089000,2.551109
54,7460.090000,2.545719
55,7460.091000,2.540037
56,7460.092000,2.532868
57,7460.093000,2.524384
58,7460.094000,2.517394
59,7460.095000,2.511953
60,7460.096000,2.506801
61,7460.097000,2.502635
62,7460.098000,2.497485
63,7460.099000,2.491194
64,7460.100000,2.485313
65,7460.101000,2.479393
66,7460.102000,2.472918
67,7460.103000,2.466003
68,7460.104000,2.458568
69,7460.105000,2.450504
70,7460.106000,2.442465
71,7460.107000,2.43444
72,7460.108000,2.426012
73,7460.109000,2.417309
74,7460.110000,2.408094
75,7460.111000,2.398299
76,7460.112000,2.38812
77,7460.113000,2.377479
78,7460.114000,2.366385
79,7460.115000,2.354844
80,7460.116000,2.342778
81,7460.117000,2.330181
82,7460.118000,2.322032
83,7460.119000,2.31882
84,7460.120000,2.318202
85,7460.121000,2.321611
86,7460.122000,2.326168
87,7460.123000,2.331758
88,7460.124000,2.341127
89,7460.125000,2.353748
90,7460.126000,2.366089
91,7460.127000,2.378253
92,7460.128000,2.391655
93,7460.129000,2.405484
94,7460.130000,2.422686
95,7460.131000,2.443502
96,7460.132000,2.465347
97,7460.133000,2.488881
98,7460.134000,2.509058
99,7460.135000,2.525021
100,7460.136000,2.527464
101,7460.137000,2.535014
102,7460.138000,2.544255
103,7460.139000,2.544788
104,7460.140000,2.545809
105,7460.141000,2.542229
106,7460.142000,2.54141
107,7460.143000,2.54331
108,7460.144000,2.545268
109,7460.145000,2.54882
110,7460.146000,2.549164
111,7460.147000,2.545933
112,7460.148000,2.542739
113,7460.149000,2.538467
114,7460.150000,2.53631
115,7460.151000,2.536955
116,7460.152000,2.538236
117,7460.153000,2.541166
118,7460.154000,2.548749
119,7460.155000,2.561294
120,7460.156000,2.584442
121,7460.157000,2.619839
122,7460.158000,2.598596
123,7460.159000,2.580024
124,7460.160000,2.574397
125,7460.161000,2.597334
