#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,0.05566824
2,7460.038000,0.05975347
3,7460.039000,0.06382865
4,7460.040000,0.06776357
5,7460.041000,0.0716964
6,7460.042000,0.07774064
7,7460.043000,0.08598361
8,7460.044000,0.08460321
9,7460.045000,0.09529905
10,7460.046000,0.1004229
11,7460.047000,0.1060683
12,7460.048000,0.1121801
13,7460.049000,0.1182738
14,7460.050000,0.1247997
15,7460.051000,0.1317653
16,7460.052000,0.1389135
17,7460.053000,0.1463431
18,7460.054000,0.1533963
19,7460.055000,0.1599927
20,7460.056000,0.1664998
21,7460.057000,0.1727269
22,7460.058000,0.1790871
23,7460.059000,0.1856305
24,7460.060000,0.1910697
25,7460.061000,0.1953764
26,7460.062000,0.2043877
27,7460.063000,0.2183473
28,7460.064000,0.2134998
29,7460.065000,0.2322892
30,7460.066000,0.2393453
31,7460.067000,0.248575
32,7460.068000,0.2597067
33,7460.069000,0.2726688
34,7460.070000,0.2792215
35,7460.071000,0.2790305
36,7460.072000,0.3064989
37,7460.073000,0.3082813
38,7460.074000,0.3060218
39,7460.075000,0.323555
40,7460.076000,0.3289961
41,7460.077000,0.3362774
42,7460.078000,0.3445904
43,7460.079000,0.3539431
44,7460.080000,0.3611391
45,7460.081000,0.3662717
46,7460.082000,0.3833686
47,7460.083000,0.3868082
48,7460.084000,0.3948189
49,7460.085000,0.4046098
50,7460.086000,0.4132001
51,7460.087000,0.4226362
52,7460.088000,0.4322802
53,7460.089000,0.4422593
54,7460.090000,0.4524698
55,7460.091000,0.4628945
56,7460.092000,0.4737165
57,7460.093000,0.4849066
58,7460.094000,0.4956603
59,7460.095000,0.5059475
60,7460.096000,0.5161154
61,7460.097000,0.5259578
62,7460.098000,0.5360293
63,7460.099000,0.5463411
64,7460.100000,0.5564466
65,7460.101000,0.566464
66,7460.102000,0.5752349
67,7460.103000,0.5825735
68,7460.104000,0.5890933
69,7460.105000,0.5944455
70,7460.106000,0.5991668
71,7460.107000,0.6032763
72,7460.108000,0.6061659
73,7460.109000,0.6079151
74,7460.110000,0.6095105
75,7460.111000,0.6109369
76,7460.112000,0.611736
77,7460.113000,0.6121344
78,7460.114000,0.611384
79,7460.115000,0.6094068
80,7460.116000,0.6067656
81,7460.117000,0.6032755
82,7460.118000,0.6000195
83,7460.119000,0.5971504
84,7460.120000,0.5951221
85,7460.121000,0.5943609
86,7460.122000,0.5887942
87,7460.123000,0.5896766
88,7460.124000,0.5865002
89,7460.125000,0.5829156
90,7460.126000,0.5791757
91,7460.127000,0.5749549
92,7460.128000,0.5692879
93,7460.129000,0.5621293
94,7460.130000,0.5562813
95,7460.131000,0.5517205
96,7460.132000,0.5401961
97,7460.133000,0.5354716
98,7460.134000,0.5288976
99,7460.135000,0.5251153
100,7460.136000,0.5224173
101,7460.137000,0.5214853
102,7460.138000,0.5207508
103,7460.139000,0.5201764
104,7460.140000,0.5211565
105,7460.141000,0.5234043
106,7460.142000,0.525447
107,7460.143000,0.5273594
108,7460.144000,0.5293059
109,7460.145000,0.5309177
110,7460.146000,0.5358884
111,7460.147000,0.5444371
112,7460.148000,0.5449072
113,7460.149000,0.5529301
114,7460.150000,0.563711
115,7460.151000,0.5618724
116,7460.152000,0.5674527
