#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,0.9961515
2,7460.038000,0.9727276
3,7460.039000,0.9518464
4,7460.040000,0.9330105
5,7460.041000,0.9167026
6,7460.042000,0.9018461
7,7460.043000,0.8884705
8,7460.044000,0.8775814
9,7460.045000,0.8690196
10,7460.046000,0.8620121
11,7460.047000,0.8566709
12,7460.048000,0.8533236
13,7460.049000,0.8518436
14,7460.050000,0.8530557
15,7460.051000,0.8570694
16,7460.052000,0.8634219
17,7460.053000,0.872354
18,7460.054000,0.8759123
19,7460.055000,0.8732899
20,7460.056000,0.8684347
21,7460.057000,0.8590711
22,7460.058000,0.8497362
23,7460.059000,0.8406695
24,7460.060000,0.8275608
25,7460.061000,0.8112714
26,7460.062000,0.7977995
27,7460.063000,0.7870551
28,7460.064000,0.7766571
29,7460.065000,0.7680323
30,7460.066000,0.7564391
31,7460.067000,0.7415301
32,7460.068000,0.7267975
33,7460.069000,0.7111375
34,7460.070000,0.7011756
35,7460.071000,0.6979285
36,7460.072000,0.6974659
37,7460.073000,0.7017725
38,7460.074000,0.7078241
39,7460.075000,0.7153848
40,7460.076000,0.7277689
41,7460.077000,0.7444248
42,7460.078000,0.7592638
43,7460.079000,0.7722635
44,7460.080000,0.7860638
45,7460.081000,0.7991884
46,7460.082000,0.8161521
47,7460.083000,0.837317
48,7460.084000,0.8592579
49,7460.085000,0.8830285
50,7460.086000,0.9055588
51,7460.087000,0.9261878
52,7460.088000,0.9471397
53,7460.089000,0.9674526
54,7460.090000,0.9881335
55,7460.091000,1.009331
56,7460.092000,1.029668
57,7460.093000,1.049326
58,7460.094000,1.071875
59,7460.095000,1.097408
60,7460.096000,1.124296
61,7460.097000,1.153435
62,7460.098000,1.182364
63,7460.099000,1.210887
64,7460.100000,1.240965
65,7460.101000,1.272037
66,7460.102000,1.298127
67,7460.103000,1.318843
68,7460.104000,1.336578
69,7460.105000,1.349651
70,7460.106000,1.36194
71,7460.107000,1.37354
72,7460.108000,1.380984
73,7460.109000,1.384978
74,7460.110000,1.389044
75,7460.111000,1.392977
76,7460.112000,1.395471
77,7460.113000,1.397297
78,7460.114000,1.395331
79,7460.115000,1.389314
80,7460.116000,1.381364
81,7460.117000,1.370709
82,7460.118000,1.36196
83,7460.119000,1.355734
84,7460.120000,1.349246
85,7460.121000,1.343819
86,7460.122000,1.337201
87,7460.123000,1.329161
88,7460.124000,1.321987
89,7460.125000,1.31521
90,7460.126000,1.304631
91,7460.127000,1.290182
92,7460.128000,1.273571
93,7460.129000,1.253733
94,7460.130000,1.233699
95,7460.131000,1.213649
96,7460.132000,1.191183
97,7460.133000,1.166958
98,7460.134000,1.146565
99,7460.135000,1.130291
100,7460.136000,1.115968
101,7460.137000,1.105134
102,7460.138000,1.09398
103,7460.139000,1.082397
104,7460.140000,1.073668
105,7460.141000,1.067072
106,7460.142000,1.05942
107,7460.143000,1.050889
108,7460.144000,1.042584
109,7460.145000,1.033792
110,7460.146000,1.027353
111,7460.147000,1.02347
112,7460.148000,1.02019
113,7460.149000,1.018193
114,7460.150000,1.012745
115,7460.151000,1.003207
116,7460.152000,0.9923321
117,7460.153000,0.9787395
118,7460.154000,0.9647477
119,7460.155000,0.9505513
120,7460.156000,0.9337624
121,7460.157000,0.9148334
