#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,0.6926318
2,7460.038000,0.7264619
3,7460.039000,0.7266423
4,7460.040000,0.7359598
5,7460.041000,0.7379557
6,7460.042000,0.7404587
7,7460.043000,0.7438421
8,7460.044000,0.7470691
9,7460.045000,0.7516869
10,7460.046000,0.7248722
11,7460.047000,0.7098877
12,7460.048000,0.7024651
13,7460.049000,0.6927761
14,7460.050000,0.7095737
15,7460.051000,0.6635926
16,7460.052000,0.6508944
17,7460.053000,0.6380761
18,7460.054000,0.6009197
19,7460.055000,0.5947661
20,7460.056000,0.5641146
21,7460.057000,0.5519111
22,7460.058000,0.5289078
23,7460.059000,0.5035417
24,7460.060000,0.4853259
25,7460.061000,0.4558318
26,7460.062000,0.436522
27,7460.063000,0.4031721
28,7460.064000,0.3693632
29,7460.065000,0.3388425
30,7460.066000,0.2973109
31,7460.067000,0.2581486
32,7460.068000,0.2276793
33,7460.069000,0.1756544
34,7460.070000,0.1514686
35,7460.071000,0.1552746
36,7460.072000,0.1026747
37,7460.073000,0.1122318
38,7460.074000,0.1384065
39,7460.075000,0.118815
40,7460.076000,0.1367636
41,7460.077000,0.1579167
42,7460.078000,0.1774816
43,7460.079000,0.1958998
44,7460.080000,0.2249307
45,7460.081000,0.2075744
46,7460.082000,0.3006958
47,7460.083000,0.3272827
48,7460.084000,0.3244998
49,7460.085000,0.4078709
50,7460.086000,0.447954
51,7460.087000,0.4996029
52,7460.088000,0.5366893
53,7460.089000,0.5567842
54,7460.090000,0.6166959
55,7460.091000,0.6494769
56,7460.092000,0.694469
57,7460.093000,0.7333751
58,7460.094000,0.7817069
59,7460.095000,0.8385907
60,7460.096000,0.8975672
61,7460.097000,0.960986
62,7460.098000,1.034873
63,7460.099000,1.101663
64,7460.100000,1.165436
65,7460.101000,1.246738
66,7460.102000,1.307291
67,7460.103000,1.355211
68,7460.104000,1.39971
69,7460.105000,1.436565
70,7460.106000,1.454053
71,7460.107000,1.490825
72,7460.108000,1.510517
73,7460.109000,1.520322
74,7460.110000,1.533398
75,7460.111000,1.546771
76,7460.112000,1.559425
77,7460.113000,1.573583
78,7460.114000,1.571153
79,7460.115000,1.556248
80,7460.116000,1.566262
81,7460.117000,1.53621
82,7460.118000,1.52971
83,7460.119000,1.526936
84,7460.120000,1.531335
85,7460.121000,1.546825
86,7460.122000,1.529929
87,7460.123000,1.547545
88,7460.124000,1.551397
89,7460.125000,1.560877
90,7460.126000,1.565633
91,7460.127000,1.565185
92,7460.128000,1.548562
93,7460.129000,1.512349
94,7460.130000,1.543881
95,7460.131000,1.507508
96,7460.132000,1.488284
97,7460.133000,1.478756
98,7460.134000,1.463081
99,7460.135000,1.453016
100,7460.136000,1.438577
101,7460.137000,1.420652
102,7460.138000,1.431104
103,7460.139000,1.404461
104,7460.140000,1.397217
105,7460.141000,1.386829
106,7460.142000,1.376541
107,7460.143000,1.365557
108,7460.144000,1.35376
109,7460.145000,1.340557
110,7460.146000,1.332794
111,7460.147000,1.330766
112,7460.148000,1.307457
113,7460.149000,1.297483
114,7460.150000,1.311984
115,7460.151000,1.297253
116,7460.152000,1.30374
117,7460.153000,1.310727
118,7460.154000,1.319542
119,7460.155000,1.3302
120,7460.156000,1.345622
121,7460.157000,1.365539
