#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,0.5862041
2,7460.038000,0.6057935
3,7460.039000,0.6229067
4,7460.040000,0.6435279
5,7460.041000,0.6675462
6,7460.042000,0.6676164
7,7460.043000,0.6479104
8,7460.044000,0.7282851
9,7460.045000,0.7105774
10,7460.046000,0.6925304
11,7460.047000,0.7146397
12,7460.048000,0.7595676
13,7460.049000,0.7564949
14,7460.050000,0.7497001
15,7460.051000,0.7274248
16,7460.052000,0.7334788
17,7460.053000,0.7748382
18,7460.054000,0.7775175
19,7460.055000,0.749638
20,7460.056000,0.7565668
21,7460.057000,0.7892142
22,7460.058000,0.8014506
23,7460.059000,0.8020675
24,7460.060000,0.8140048
25,7460.061000,0.831269
26,7460.062000,0.8387825
27,7460.063000,0.8485058
28,7460.064000,0.8628225
29,7460.065000,0.8842909
30,7460.066000,0.8725848
31,7460.067000,0.8593208
32,7460.068000,0.9402163
33,7460.069000,0.9014654
34,7460.070000,0.9237975
35,7460.071000,0.9322008
36,7460.072000,0.9400904
37,7460.073000,0.9469672
38,7460.074000,0.9533041
39,7460.075000,0.9591812
40,7460.076000,0.9639076
41,7460.077000,0.9675674
42,7460.078000,0.9720225
43,7460.079000,0.9773213
44,7460.080000,0.9826086
45,7460.081000,0.9883502
46,7460.082000,0.9932719
47,7460.083000,0.9972702
48,7460.084000,1.001362
49,7460.085000,1.005257
50,7460.086000,1.009248
51,7460.087000,1.013483
52,7460.088000,1.017615
53,7460.089000,1.02176
54,7460.090000,1.025987
55,7460.091000,1.030279
56,7460.092000,1.034716
57,7460.093000,1.03932
58,7460.094000,1.043479
59,7460.095000,1.047166
60,7460.096000,1.050701
61,7460.097000,1.053929
62,7460.098000,1.057238
63,7460.099000,1.060666
64,7460.100000,1.063898
65,7460.101000,1.067026
66,7460.102000,1.068098
67,7460.103000,1.06688
68,7460.104000,1.064351
69,7460.105000,1.059934
70,7460.106000,1.054678
71,7460.107000,1.048627
72,7460.108000,1.040725
73,7460.109000,1.031157
74,7460.110000,1.021465
75,7460.111000,1.011617
76,7460.112000,1.000964
77,7460.113000,0.989861
78,7460.114000,0.9770838
79,7460.115000,0.9625252
80,7460.116000,0.9470681
81,7460.117000,0.9304146
82,7460.118000,0.9182401
83,7460.119000,0.9112016
84,7460.120000,0.9064113
85,7460.121000,0.9055265
86,7460.122000,0.9054722
87,7460.123000,0.9060971
88,7460.124000,0.9104441
89,7460.125000,0.9179537
90,7460.126000,0.9241819
91,7460.127000,0.9291992
92,7460.128000,0.9348427
93,7460.129000,0.9400688
94,7460.130000,0.9484334
95,7460.131000,0.9602259
96,7460.132000,0.9723628
97,7460.133000,0.9856426
98,7460.134000,0.9959264
99,7460.135000,1.002392
100,7460.136000,0.9954036
101,7460.137000,0.993835
102,7460.138000,0.993629
103,7460.139000,0.984372
104,7460.140000,0.9757982
105,7460.141000,0.9626998
106,7460.142000,0.951974
107,7460.143000,0.9436147
108,7460.144000,0.9351104
109,7460.145000,0.9278954
110,7460.146000,0.9175997
111,7460.147000,0.9038861
112,7460.148000,0.890079
113,7460.149000,0.8751675
114,7460.150000,0.8615981
115,7460.151000,0.849964
116,7460.152000,0.8385288
117,7460.153000,0.828092
118,7460.154000,0.8221704
119,7460.155000,0.8211219
