#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,1.298033
2,7460.038000,1.301922
3,7460.039000,1.306404
4,7460.040000,1.306787
5,7460.041000,1.302786
6,7460.042000,1.317828
7,7460.043000,1.312713
8,7460.044000,1.315204
9,7460.045000,1.336185
10,7460.046000,1.317514
11,7460.047000,1.265404
12,7460.048000,1.387355
13,7460.049000,1.304481
14,7460.050000,1.326548
15,7460.051000,1.327891
16,7460.052000,1.328241
17,7460.053000,1.327494
18,7460.054000,1.330544
19,7460.055000,1.337595
20,7460.056000,1.325195
21,7460.057000,1.335677
22,7460.058000,1.333929
23,7460.059000,1.333906
24,7460.060000,1.337387
25,7460.061000,1.344605
26,7460.062000,1.336622
27,7460.063000,1.312764
28,7460.064000,1.367301
29,7460.065000,1.3293
30,7460.066000,1.338715
31,7460.067000,1.338898
32,7460.068000,1.338271
33,7460.069000,1.33682
34,7460.070000,1.339368
35,7460.071000,1.346163
36,7460.072000,1.336295
37,7460.073000,1.333399
38,7460.074000,1.355784
39,7460.075000,1.342159
40,7460.076000,1.348138
41,7460.077000,1.350714
42,7460.078000,1.353158
43,7460.079000,1.35548
44,7460.080000,1.357873
45,7460.081000,1.360221
46,7460.082000,1.362918
47,7460.083000,1.365995
48,7460.084000,1.369164
49,7460.085000,1.372518
50,7460.086000,1.376343
51,7460.087000,1.380642
52,7460.088000,1.38286
53,7460.089000,1.38282
54,7460.090000,1.391955
55,7460.091000,1.410622
56,7460.092000,1.377677
57,7460.093000,1.406877
58,7460.094000,1.400138
59,7460.095000,1.395096
60,7460.096000,1.417876
61,7460.097000,1.421916
62,7460.098000,1.409
63,7460.099000,1.413412
64,7460.100000,1.438535
65,7460.101000,1.425473
66,7460.102000,1.434329
67,7460.103000,1.440225
68,7460.104000,1.440203
69,7460.105000,1.446847
70,7460.106000,1.449776
71,7460.107000,1.453122
72,7460.108000,1.459288
73,7460.109000,1.468543
74,7460.110000,1.463213
75,7460.111000,1.442497
76,7460.112000,1.496758
77,7460.113000,1.506073
78,7460.114000,1.450085
79,7460.115000,1.46533
80,7460.116000,1.520339
81,7460.117000,1.494116
82,7460.118000,1.485554
83,7460.119000,1.505719
84,7460.120000,1.50639
85,7460.121000,1.511113
86,7460.122000,1.515901
87,7460.123000,1.520744
88,7460.124000,1.526032
89,7460.125000,1.531764
90,7460.126000,1.535234
91,7460.127000,1.536269
92,7460.128000,1.547568
93,7460.129000,1.56958
94,7460.130000,1.53942
95,7460.131000,1.557081
96,7460.132000,1.579343
97,7460.133000,1.568163
98,7460.134000,1.578894
99,7460.135000,1.588001
100,7460.136000,1.57966
101,7460.137000,1.552608
102,7460.138000,1.609811
103,7460.139000,1.59083
104,7460.140000,1.558782
105,7460.141000,1.583221
106,7460.142000,1.573622
107,7460.143000,1.570677
108,7460.144000,1.567556
109,7460.145000,1.56455
110,7460.146000,1.557841
111,7460.147000,1.547158
112,7460.148000,1.547091
113,7460.149000,1.557927
114,7460.150000,1.511714
115,7460.151000,1.533098
116,7460.152000,1.526991
117,7460.153000,1.520911
118,7460.154000,1.519696
119,7460.155000,1.518575
120,7460.156000,1.513447
121,7460.157000,1.503792
122,7460.158000,1.516966
123,7460.159000,1.524959
124,7460.160000,1.485026
125,7460.161000,1.513774
