Base,Target,Pearson,k,b,Length,Pearson(sub)
cegun,chilunxiang,-0.039333918944734335,0.03725290298461914,-0.02487438123058533,7414,0.45079347138442677
cegun,dianjichui,-0.007805404423729837,-0.007450580596923828,-0.034435235979408355,8847,-0.08197061424577241
cegun,dianjiheng,0.04689551312469686,0.016763806343078613,-0.04606288615511776,5387,0.21789735096386684
cegun,fuchen,-0.19483295105780984,-0.01862645149230957,0.2702174178044885,3703,-0.21702473627778204
cegun,hengjian,0.357669026075702,0.06332993507385254,-0.06033391268681795,6540,0.6970405437755117
cegun,hengxiang ,-0.36438185367746767,0.003725290298461914,0.027357631100067115,4453,0.05593148940733601
cegun,lingxing,0.3693664239185817,0.692903995513916,0.10410916121136465,4599,0.9952016121467444
cegun,niuzhuan,0.49327416514479205,0.4637986421585083,-0.03390350947780137,4844,0.9867528240970603
cegun,qianyin,0.5817750091700886,-0.007450580596923828,-0.018759225099157104,14267,0.0038541037849678175
cegun,zhidong,-0.6066200919520572,-0.07450580596923828,0.02662370069101312,9520,-0.728389707414153
chilunxiang,cegun,-0.039333918944734474,-0.06332993507385254,-0.29912526619021085,4044,-0.7386765198204148
chilunxiang,dianjichui,0.11252125559652129,0.10058283805847168,-0.005892655906451886,9378,0.781518685663362
chilunxiang,dianjiheng,0.10919807985454134,0.09685754776000977,0.04442337231044454,5573,0.7454449425731323
chilunxiang,fuchen,0.1119406778343877,0.1564621925354004,0.18110355464806754,3895,0.8771145306795101
chilunxiang,hengjian,0.04608919693927027,-0.0260770320892334,-0.08501247199258621,6530,-0.3483461560953562
chilunxiang,hengxiang ,0.02058291691403033,0.09685754776000977,0.030895213773975097,4718,0.7914615402609064
chilunxiang,lingxing,0.06203182634886875,0.003725290298461914,-0.08162479890671234,4138,0.053489457956903096
chilunxiang,niuzhuan,0.05413731577303744,-0.003725290298461914,-0.26701820863561154,4062,-0.04766806260528116
chilunxiang,qianyin,-0.2683830596632428,-0.014901161193847656,-0.017872257157076226,14456,-0.30416029311531434
chilunxiang,zhidong,0.2670720311351031,0.22724270820617676,0.47895278663161556,9725,0.9683333050607358
dianjichui,cegun,-0.007805404423724672,-0.022351741790771484,-0.3233916658241,3776,-0.20042093065174052
dianjichui,chilunxiang,0.11252125559652182,-0.0260770320892334,-0.031409434200526706,7355,-0.1859986779428761
dianjichui,dianjiheng,0.685622921150961,0.43958425521850586,0.006107531987205761,5976,0.9222950927383303
dianjichui,fuchen,-0.07676491167902,-0.007450580596923828,0.22101468302209937,3681,-0.08931611603664452
dianjichui,hengjian,-0.0412409904001394,0.003725290298461914,-0.08790113235049819,6442,0.10475947545065051
dianjichui,hengxiang ,-0.30928621948484775,-0.08195638656616211,0.08019251503820696,4468,-0.6074444397920655
dianjichui,lingxing,-0.0622023802806337,-0.007450580596923828,-0.08079173301122838,4133,-0.10829452693240876
dianjichui,niuzhuan,0.006728545887079507,0.0260770320892334,-0.2686493135137271,4100,0.310860196027808
dianjichui,qianyin,-0.03344582117820822,-0.014901161193847656,-0.02659185738326414,14227,-0.07002352559291446
dianjichui,zhidong,0.06682768790495518,0.130385160446167,0.0065845589641937985,9386,0.6477927415485455
dianjiheng,cegun,0.046895513124696926,-0.003725290298461914,-0.33802526277206624,3770,-0.052381754331669104
dianjiheng,chilunxiang,0.1091980798545414,0.022351741790771484,-0.028379977544711974,7366,0.17879838722954577
dianjiheng,dianjichui,0.6856229211509611,0.03725290298461914,-0.016057269064505553,8983,0.26319595787468153
dianjiheng,fuchen,-0.0720548828140453,-0.03725290298461914,0.20019988285480667,3718,-0.34830759581706816
dianjiheng,hengjian,0.04978830896568973,0.003725290298461914,-0.08865867965055657,6442,0.10987680059263696
dianjiheng,hengxiang ,-0.14233640560558042,0.022351741790771484,0.029831194195256316,4455,0.15121943765031337
dianjiheng,lingxing,0.14311945364576809,0.007450580596923828,-0.08248232744786438,4133,0.05442288390811223
dianjiheng,niuzhuan,-0.008016929436488828,0.01862645149230957,-0.2667113032144922,4111,0.2493174542137509
dianjiheng,qianyin,-0.029622155633104386,-0.014901161193847656,-0.013798380644979402,14186,-0.027715635281086413
dianjiheng,zhidong,0.04854557479023208,-0.029802322387695312,-0.007185250664153098,9003,-0.23286899530231853
fuchen,cegun,-0.19483295105780996,0.10058283805847168,-0.5686974252412963,3961,0.8438057375321202
fuchen,chilunxiang,0.11194067783438756,-0.03725290298461914,-0.02968363113676406,7543,-0.43412079644173224
fuchen,dianjichui,-0.07676491167901936,-0.08195638656616211,-0.048104418515036856,9203,-0.7420102735186713
fuchen,dianjiheng,-0.07205488281404576,-0.08009374141693115,0.006707465443573124,5581,-0.6759173852670789
fuchen,hengjian,-0.07224929353275299,-0.059604644775390625,-0.04236616935481219,6620,-0.7235376233658313
fuchen,hengxiang ,0.037661306915443685,-0.04842877388000488,0.044970974146213864,4497,-0.5299876580013195
fuchen,lingxing,-0.015372907282790794,0.046566128730773926,-0.11431752474610737,4152,0.6187104317504327
fuchen,niuzhuan,-0.006409289551853548,-0.0391155481338501,-0.2704119246678588,4127,-0.48306587231527953
fuchen,qianyin,-0.3718710883297076,-0.014901161193847656,-0.018233603957089048,14297,-0.28605488999136536
fuchen,zhidong,0.3588925147020579,0.04842877388000488,0.028135862912623974,9318,0.6224427873825408
hengjian,cegun,0.35766902607570206,0.38370490074157715,-0.17019351632713317,4587,0.9860918100181254
hengjian,chilunxiang,0.04608919693927083,-0.0260770320892334,-0.04297413585835896,7388,-0.34255459716579195
