#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7460.037000,-0.5275018
2,7460.038000,-0.5173174
3,7460.039000,-0.5215456
4,7460.040000,-0.4924387
5,7460.041000,-0.5112374
6,7460.042000,-0.5065682
7,7460.043000,-0.5040811
8,7460.044000,-0.518306
9,7460.045000,-0.5490624
10,7460.046000,-0.5154081
11,7460.047000,-0.5455565
12,7460.048000,-0.5526505
13,7460.049000,-0.5503154
14,7460.050000,-0.5592393
15,7460.051000,-0.5708345
16,7460.052000,-0.5822512
17,7460.053000,-0.5947359
18,7460.054000,-0.6060497
19,7460.055000,-0.615474
20,7460.056000,-0.6164872
21,7460.057000,-0.6074273
22,7460.058000,-0.6374482
23,7460.059000,-0.6203293
24,7460.060000,-0.6247643
25,7460.061000,-0.6223773
26,7460.062000,-0.6225227
27,7460.063000,-0.6253016
28,7460.064000,-0.6285677
29,7460.065000,-0.6334843
30,7460.066000,-0.6370988
31,7460.067000,-0.6391894
32,7460.068000,-0.6407521
33,7460.069000,-0.6409815
34,7460.070000,-0.6485788
35,7460.071000,-0.6495948
36,7460.072000,-0.6548107
37,7460.073000,-0.6597925
38,7460.074000,-0.6652898
39,7460.075000,-0.6712461
40,7460.076000,-0.6792654
41,7460.077000,-0.6894829
42,7460.078000,-0.6937442
43,7460.079000,-0.6917406
44,7460.080000,-0.7173661
45,7460.081000,-0.7101862
46,7460.082000,-0.7202857
47,7460.083000,-0.7278565
48,7460.084000,-0.7353244
49,7460.085000,-0.7429293
50,7460.086000,-0.7499487
51,7460.087000,-0.7562165
52,7460.088000,-0.7622303
53,7460.089000,-0.7677579
54,7460.090000,-0.7730229
55,7460.091000,-0.77805
56,7460.092000,-0.7825918
57,7460.093000,-0.7866954
58,7460.094000,-0.7903505
59,7460.095000,-0.7935128
60,7460.096000,-0.7999344
61,7460.097000,-0.8099811
62,7460.098000,-0.8018286
63,7460.099000,-0.8135399
64,7460.100000,-0.815553
65,7460.101000,-0.8204167
66,7460.102000,-0.8248169
67,7460.103000,-0.829014
68,7460.104000,-0.8480468
69,7460.105000,-0.8059832
70,7460.106000,-0.8932567
71,7460.107000,-0.8497654
72,7460.108000,-0.8727357
73,7460.109000,-0.8840986
74,7460.110000,-0.8941282
75,7460.111000,-0.902766
76,7460.112000,-0.9160042
77,7460.113000,-0.933718
78,7460.114000,-0.9296039
79,7460.115000,-0.953341
80,7460.116000,-0.9636142
81,7460.117000,-0.9771168
82,7460.118000,-0.9901708
83,7460.119000,-1.002608
84,7460.120000,-1.015072
85,7460.121000,-1.027264
86,7460.122000,-1.039584
87,7460.123000,-1.052076
88,7460.124000,-1.064866
89,7460.125000,-1.078087
90,7460.126000,-1.087324
91,7460.127000,-1.092224
92,7460.128000,-1.118166
93,7460.129000,-1.166326
94,7460.130000,-1.105929
95,7460.131000,-1.17294
96,7460.132000,-1.17482
97,7460.133000,-1.18967
98,7460.134000,-1.202194
99,7460.135000,-1.212166
100,7460.136000,-1.21708
101,7460.137000,-1.221326
102,7460.138000,-1.226815
103,7460.139000,-1.235533
104,7460.140000,-1.223473
105,7460.141000,-1.23077
106,7460.142000,-1.226936
107,7460.143000,-1.225077
108,7460.144000,-1.222229
109,7460.145000,-1.218857
110,7460.146000,-1.213704
111,7460.147000,-1.206687
