#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7460.0400,2495.827
2,7460.0600,2495.389
3,7460.0800,2495.311
4,7460.1000,2495.936
5,7460.1200,2495.561
6,7460.1400,2495.42
7,7460.1600,2495.28
8,7460.1800,2495.076
9,7460.2000,2495.405
10,7460.2200,2496.374
11,7460.2400,2496.062
12,7460.2600,2496.233
13,7460.2800,2496.421
14,7460.3000,2496.953
15,7460.3200,2497.266
16,7460.3400,2498.36
17,7460.3600,2498.157
18,7460.3800,2498.673
19,7460.4000,2499.47
20,7460.4200,2499.283
21,7460.4400,2499.283
22,7460.4600,2499.564
23,7460.4800,2500.002
24,7460.5000,2499.736
25,7460.5200,2500.252
26,7460.5400,2500.628
27,7460.5600,2500.518
28,7460.5800,2500.049
29,7460.6000,2500.237
30,7460.6200,2500.19
31,7460.6400,2499.439
32,7460.6600,2500.284
33,7460.6800,2499.783
34,7460.7000,2499.611
35,7460.7200,2499.721
36,7460.7400,2499.345
37,7460.7600,2499.47
38,7460.7800,2499.596
39,7460.8000,2499.126
40,7460.8200,2499.267
41,7460.8400,2498.673
42,7460.8600,2499.142
43,7460.8800,2498.376
44,7460.9000,2498.61
45,7460.9200,2497.922
46,7460.9400,2498.344
47,7460.9600,2497.594
48,7460.9800,2497.75
49,7461.0000,2497.375
50,7461.0200,2497.594
51,7461.0400,2496.922
52,7461.0600,2497.156
53,7461.0800,2496.437
54,7461.1000,2496.265
55,7461.1200,2496.625
56,7461.1400,2496.562
57,7461.1600,2496.656
58,7461.1800,2497.047
59,7461.2000,2496.296
60,7461.2200,2496.609
61,7461.2400,2496.531
62,7461.2600,2497.172
63,7461.2800,2497.406
64,7461.3000,2497.14
65,7461.3200,2497.547
66,7461.3400,2497.907
67,7461.3600,2498
68,7461.3800,2498.532
69,7461.4000,2499.017
70,7461.4200,2498.423
71,7461.4400,2498.782
72,7461.4600,2499.142
73,7461.4800,2498.845
74,7461.5000,2499.674
75,7461.5200,2499.08
76,7461.5400,2499.142
77,7461.5600,2499.111
78,7461.5800,2499.424
79,7461.6000,2499.846
80,7461.6200,2500.456
81,7461.6400,2499.721
82,7461.6600,2500.377
83,7461.6800,2499.721
84,7461.7000,2499.862
85,7461.7200,2500.018
86,7461.7400,2499.408
87,7461.7600,2499.752
88,7461.7800,2499.126
89,7461.8000,2499.596
90,7461.8200,2499.173
91,7461.8400,2498.704
92,7461.8600,2498.939
93,7461.8800,2498.767
94,7461.9000,2498.126
95,7461.9200,2498.219
96,7461.9400,2497.563
97,7461.9600,2497.266
98,7461.9800,2497.078
99,7462.0000,2497.594
100,7462.0200,2496.859
101,7462.0400,2497.047
102,7462.0600,2496.265
103,7462.0800,2495.749
104,7462.1000,2496.296
105,7462.1200,2496.218
106,7462.1400,2495.655
107,7462.1600,2495.326
108,7462.1800,2495.999
109,7462.2000,2495.811
110,7462.2200,2495.17
111,7462.2400,2496.249
112,7462.2600,2496.703
113,7462.2800,2496.452
114,7462.3000,2497.078
115,7462.3200,2497.109
116,7462.3400,2497.656
117,7462.3600,2497.563
118,7462.3800,2498.579
119,7462.4000,2498.798
120,7462.4200,2498.939
121,7462.4400,2499.596
122,7462.4600,2499.392
123,7462.4800,2499.549
124,7462.5000,2500.08
125,7462.5200,2499.971
126,7462.5400,2500.065
127,7462.5600,2500.252
128,7462.5800,2500.628
129,7462.6000,2499.846
130,7462.6200,2499.877
131,7462.6400,2500.362
132,7462.6600,2500.049
133,7462.6800,2499.58
134,7462.7000,2499.58
135,7462.7200,2499.314
136,7462.7400,2498.923
137,7462.7600,2499.83
138,7462.7800,2498.907
139,7462.8000,2498.282
140,7462.8200,2498.704
141,7462.8400,2498.376
142,7462.8600,2498.329
143,7462.8800,2498.11
144,7462.9000,2497.985
145,7462.9200,2497.938
146,7462.9400,2497.563
147,7462.9600,2497.485
148,7462.9800,2497.156
149,7463.0000,2497.797
150,7463.0200,2498.016
151,7463.0400,2497.406
152,7463.0600,2497.578
153,7463.0800,2497.985
154,7463.1000,2497.641
155,7463.1200,2497.735
156,7463.1400,2498.063
157,7463.1600,2498.11
158,7463.1800,2497.516
159,7463.2000,2498.298
160,7463.2200,2498.485
161,7463.2400,2498
162,7463.2600,2498.532
163,7463.2800,2498.517
164,7463.3000,2498.266
165,7463.3200,2498.376
166,7463.3400,2499.377
167,7463.3600,2498.736
168,7463.3800,2498.751
169,7463.4000,2499.596
170,7463.4200,2499.267
171,7463.4400,2499.971
172,7463.4600,2499.721
173,7463.4800,2500.049
174,7463.5000,2500.096
175,7463.5200,2500.159
176,7463.5400,2499.846
177,7463.5600,2500.112
178,7463.5800,2499.924
179,7463.6000,2500.19
180,7463.6200,2499.689
181,7463.6400,2499.517
182,7463.6600,2499.58
183,7463.6800,2498.704
184,7463.7000,2499.299
185,7463.7200,2499.095
186,7463.7400,2498.235
187,7463.7600,2498.532
188,7463.7800,2497.985
189,7463.8000,2497.578
190,7463.8200,2497.797
191,7463.8400,2498.157
192,7463.8600,2498.47
193,7463.8800,2498.032
194,7463.9000,2498.329
195,7463.9200,2499.189
196,7463.9400,2499.111
197,7463.9600,2499.173
198,7463.9800,2499.455
199,7464.0000,2499.971
200,7464.0200,2499.987
201,7464.0400,2500.08
202,7464.0600,2500.206
203,7464.0800,2499.862
204,7464.1000,2499.721
205,7464.1200,2499.627
206,7464.1400,2499.095
207,7464.1600,2499.705
208,7464.1800,2499.549
209,7464.2000,2498.939
210,7464.2200,2499.47
211,7464.2400,2499.361
212,7464.2600,2499.47
213,7464.2800,2498.313
214,7464.3000,2498.892
215,7464.3200,2498.595
216,7464.3400,2497.922
217,7464.3600,2498.423
218,7464.3800,2498.016
219,7464.4000,2497.86
220,7464.4200,2497.641
221,7464.4400,2497.891
222,7464.4600,2496.984
223,7464.4800,2497.594
224,7464.5000,2497.703
225,7464.5200,2496.765
226,7464.5400,2496.875
227,7464.5600,2496.656
228,7464.5800,2496.89
229,7464.6000,2496.578
230,7464.6200,2496.593
231,7464.6400,2496.327
232,7464.6600,2496.281
233,7464.6800,2496.484
234,7464.7000,2496.187
235,7464.7200,2495.858
236,7464.7400,2496.406
237,7464.7600,2496.703
238,7464.7800,2496.202
239,7464.8000,2495.733
240,7464.8200,2496.796
241,7464.8400,2496.077
242,7464.8600,2496.406
243,7464.8800,2496.531
244,7464.9000,2496.093
245,7464.9200,2496.609
246,7464.9400,2496.155
247,7464.9600,2496.155
248,7464.9800,2496.937
249,7465.0000,2496.812
250,7465.0200,2496.499
251,7465.0400,2497.047
252,7465.0600,2496.937
253,7465.0800,2496.89
254,7465.1000,2497.531
255,7465.1200,2497.735
256,7465.1400,2497.594
257,7465.1600,2498.126
258,7465.1800,2498.032
259,7465.2000,2498.188
260,7465.2200,2498.298
261,7465.2400,2498.642
262,7465.2600,2498.814
263,7465.2800,2498.392
264,7465.3000,2499.439
265,7465.3200,2499.314
266,7465.3400,2498.798
267,7465.3600,2499.705
268,7465.3800,2499.643
269,7465.4000,2500.096
270,7465.4200,2499.862
271,7465.4400,2500.174
272,7465.4600,2500.596
273,7465.4800,2500.19
274,7465.5000,2500.753
275,7465.5200,2500.581
276,7465.5400,2500.69
277,7465.5600,2501.394
278,7465.5800,2500.737
279,7465.6000,2500.753
280,7465.6200,2500.127
281,7465.6400,2501.769
