#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7460.0400,73.95276
2,7460.0600,74.13568
3,7460.0800,74.32799
4,7460.1000,74.48277
5,7460.1200,74.44055
6,7460.1400,74.26701
7,7460.1600,74.22948
8,7460.1800,74.1263
9,7460.2000,74.12161
10,7460.2200,74.04656
11,7460.2400,73.90585
12,7460.2600,73.76045
13,7460.2800,73.61974
14,7460.3000,73.45089
15,7460.3200,73.36177
16,7460.3400,73.31018
17,7460.3600,73.24451
18,7460.3800,73.12257
19,7460.4000,72.96309
20,7460.4200,72.86459
21,7460.4400,72.98654
22,7460.4600,73.3008
23,7460.4800,73.52593
24,7460.5000,73.68072
25,7460.5200,73.68541
26,7460.5400,73.60098
27,7460.5600,73.54001
28,7460.5800,73.73231
29,7460.6000,74.13568
30,7460.6200,74.34675
31,7460.6400,74.2717
32,7460.6600,74.30922
33,7460.6800,74.47339
34,7460.7000,74.5625
35,7460.7200,74.62347
36,7460.7400,74.62347
37,7460.7600,74.70321
38,7460.7800,74.81109
39,7460.8000,74.84861
40,7460.8200,74.59064
41,7460.8400,74.3702
42,7460.8600,74.33736
43,7460.8800,74.19196
44,7460.9000,74.19196
45,7460.9200,74.23887
46,7460.9400,74.26701
47,7460.9600,74.26701
48,7460.9800,74.23887
49,7461.0000,74.13568
50,7461.0200,74.01842
51,7461.0400,74.05125
52,7461.0600,73.95276
53,7461.0800,73.66196
54,7461.1000,73.53532
55,7461.1200,73.61036
56,7461.1400,73.86833
57,7461.1600,73.85895
58,7461.1800,73.83081
59,7461.2000,73.94807
60,7461.2200,74.15913
61,7461.2400,74.43586
62,7461.2600,74.59534
63,7461.2800,74.5156
64,7461.3000,74.43586
65,7461.3200,74.29046
66,7461.3400,74.04187
67,7461.3600,73.7886
68,7461.3800,73.77452
69,7461.4000,74.0278
70,7461.4200,74.40303
71,7461.4400,74.63755
72,7461.4600,74.78764
73,7461.4800,74.64223
74,7461.5000,74.49683
75,7461.5200,74.28577
76,7461.5400,74.2717
77,7461.5600,74.18259
78,7461.5800,74.1263
79,7461.6000,74.16382
80,7461.6200,74.19666
81,7461.6400,74.06532
82,7461.6600,73.934
83,7461.6800,73.76045
84,7461.7000,73.69479
85,7461.7200,73.62912
86,7461.7400,73.41337
87,7461.7600,73.23513
88,7461.7800,73.09442
89,7461.8000,72.82707
90,7461.8200,72.83176
91,7461.8400,72.96778
92,7461.8600,73.18354
93,7461.8800,73.37115
94,7461.9000,73.61505
95,7461.9200,73.81673
96,7461.9400,73.82612
97,7461.9600,73.90585
98,7461.9800,73.94337
99,7462.0000,73.97621
100,7462.0200,73.79797
101,7462.0400,73.47903
102,7462.0600,73.25389
103,7462.0800,73.19761
104,7462.1000,73.19761
105,7462.1200,73.08973
106,7462.1400,73.01938
107,7462.1600,73.04752
108,7462.1800,73.25389
109,7462.2000,73.39461
110,7462.2200,73.45558
111,7462.2400,73.43682
112,7462.2600,73.3477
113,7462.2800,73.31487
114,7462.3000,73.28673
115,7462.3200,73.02876
116,7462.3400,72.80362
117,7462.3600,72.70043
118,7462.3800,72.59724
119,7462.4000,72.50813
120,7462.4200,72.52689
121,7462.4400,72.72388
122,7462.4600,73.0053
123,7462.4800,73.31956
124,7462.5000,73.54469
125,7462.5200,73.54469
126,7462.5400,73.40868
127,7462.5600,73.38522
128,7462.5800,73.38053
129,7462.6000,73.45089
130,7462.6200,73.45089
131,7462.6400,73.54939
132,7462.6600,73.45089
133,7462.6800,73.50717
134,7462.7000,73.53062
135,7462.7200,73.61036
136,7462.7400,73.60567
137,7462.7600,73.61036
138,7462.7800,73.76045
139,7462.8000,73.85895
140,7462.8200,74.10284
141,7462.8400,74.43118
142,7462.8600,74.67976
143,7462.8800,74.77826
144,7462.9000,74.76888
145,7462.9200,74.55781
146,7462.9400,74.33736
147,7462.9600,73.97152
148,7462.9800,73.48372
149,7463.0000,73.11787
150,7463.0200,72.91619
151,7463.0400,72.74265
152,7463.0600,72.8599
153,7463.0800,73.0569
154,7463.1000,73.31018
155,7463.1200,73.40868
156,7463.1400,73.54469
157,7463.1600,73.53532
158,7463.1800,73.58691
159,7463.2000,73.60567
160,7463.2200,73.60567
161,7463.2400,73.51186
162,7463.2600,73.31956
163,7463.2800,73.07097
164,7463.3000,72.89274
165,7463.3200,72.79893
166,7463.3400,72.80362
167,7463.3600,72.80831
168,7463.3800,72.71919
169,7463.4000,72.72858
170,7463.4200,72.69574
171,7463.4400,72.58318
172,7463.4600,72.46123
173,7463.4800,72.45654
174,7463.5000,72.71919
175,7463.5200,72.72388
176,7463.5400,72.69106
177,7463.5600,72.48936
178,7463.5800,72.3252
179,7463.6000,72.21264
180,7463.6200,72.26423
181,7463.6400,72.32051
182,7463.6600,72.55972
183,7463.6800,72.83176
184,7463.7000,73.10381
185,7463.7200,73.3008
186,7463.7400,73.45089
187,7463.7600,73.46027
188,7463.7800,73.46496
189,7463.8000,73.56345
190,7463.8200,73.69479
191,7463.8400,73.82612
192,7463.8600,73.74169
193,7463.8800,73.70885
194,7463.9000,73.41337
195,7463.9200,73.26328
196,7463.9400,73.17885
197,7463.9600,73.23045
198,7463.9800,73.38053
199,7464.0000,73.52125
200,7464.0200,73.67603
201,7464.0400,73.99497
202,7464.0600,74.27639
203,7464.0800,74.48277
204,7464.1000,74.48746
