#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,4.45235
2,7506.411000,4.457243
3,7506.412000,4.426225
4,7506.413000,4.34936
5,7506.414000,4.317757
6,7506.415000,4.332151
7,7506.416000,4.273412
8,7506.417000,4.319036
9,7506.418000,4.323121
10,7506.419000,4.328629
11,7506.420000,4.326878
12,7506.421000,4.30868
13,7506.422000,4.415317
14,7506.423000,4.364486
15,7506.424000,4.394088
16,7506.425000,4.406843
17,7506.426000,4.42307
18,7506.427000,4.443181
19,7506.428000,4.479259
20,7506.429000,4.534012
21,7506.430000,4.515528
22,7506.431000,4.591783
23,7506.432000,4.634866
24,7506.433000,4.701736
25,7506.434000,4.73747
26,7506.435000,4.785021
27,7506.436000,4.925766
28,7506.437000,4.970771
29,7506.438000,5.043879
30,7506.439000,5.074903
31,7506.440000,5.182486
32,7506.441000,5.194184
33,7506.442000,5.215471
34,7506.443000,5.235768
35,7506.444000,5.224257
36,7506.445000,5.200353
37,7506.446000,5.260955
38,7506.447000,5.408996
39,7506.448000,5.501898
40,7506.449000,5.32661
41,7506.450000,5.378579
42,7506.451000,5.460715
43,7506.452000,5.452497
44,7506.453000,5.490417
45,7506.454000,5.479668
46,7506.455000,5.51362
47,7506.456000,5.524508
48,7506.457000,5.538272
49,7506.458000,5.554855
50,7506.459000,5.574317
51,7506.460000,5.584333
52,7506.461000,5.584846
53,7506.462000,5.617138
54,7506.463000,5.681967
55,7506.464000,5.511225
56,7506.465000,5.604669
57,7506.466000,5.587995
58,7506.467000,5.562297
59,7506.468000,5.555041
60,7506.469000,5.557347
61,7506.470000,5.528099
62,7506.471000,5.516517
63,7506.472000,5.543681
64,7506.473000,5.561541
65,7506.474000,5.50515
66,7506.475000,5.5568
67,7506.476000,5.55754
68,7506.477000,5.574533
69,7506.478000,5.579492
70,7506.479000,5.571568
71,7506.480000,5.593625
72,7506.481000,5.644737
73,7506.482000,5.544323
74,7506.483000,5.641243
75,7506.484000,5.652184
76,7506.485000,5.675514
77,7506.486000,5.671925
78,7506.487000,5.629984
79,7506.488000,5.594893
80,7506.489000,5.646355
81,7506.490000,5.629768
82,7506.491000,5.586841
83,7506.492000,5.55697
84,7506.493000,5.528262
85,7506.494000,5.496502
86,7506.495000,5.467451
87,7506.496000,5.438169
88,7506.497000,5.409911
89,7506.498000,5.375763
90,7506.499000,5.33517
91,7506.500000,5.293454
92,7506.501000,5.248962
93,7506.502000,5.218657
94,7506.503000,5.20481
95,7506.504000,5.198129
96,7506.505000,5.20364
97,7506.506000,5.202372
98,7506.507000,5.192732
99,7506.508000,5.183625
100,7506.509000,5.169962
101,7506.510000,5.225882
102,7506.511000,5.308033
103,7506.512000,5.338638
104,7506.513000,5.305547
105,7506.514000,5.249037
106,7506.515000,5.149555
107,7506.516000,5.096412
108,7506.517000,5.098397
109,7506.518000,5.065535
110,7506.519000,5.017751
111,7506.520000,5.01036
112,7506.521000,5.035564
113,7506.522000,5.046411
114,7506.523000,5.028243
115,7506.524000,5.017993
116,7506.525000,4.997562
117,7506.526000,5.030831
118,7506.527000,5.009315
119,7506.528000,5.017402
120,7506.529000,5.019004
121,7506.530000,4.986689
122,7506.531000,4.915748
123,7506.532000,5.042955
124,7506.533000,5.001101
125,7506.534000,4.791171
