#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,0.03810978
2,7506.411000,-0.1594133
3,7506.412000,-0.4174385
4,7506.413000,-0.7282162
5,7506.414000,-0.891263
6,7506.415000,-0.8932343
7,7506.416000,-0.8246155
8,7506.417000,-0.6304512
9,7506.418000,-0.4388781
10,7506.419000,-0.2565899
11,7506.420000,0.02871037
12,7506.421000,0.3913174
13,7506.422000,0.612546
14,7506.423000,0.6864729
15,7506.424000,0.7005558
16,7506.425000,0.5978279
17,7506.426000,0.5357161
18,7506.427000,0.5222387
19,7506.428000,0.4300642
20,7506.429000,0.2922316
21,7506.430000,0.2301397
22,7506.431000,0.2397299
23,7506.432000,0.2855396
24,7506.433000,0.397212
25,7506.434000,0.4701176
26,7506.435000,0.500246
27,7506.436000,0.5710077
28,7506.437000,0.6606874
29,7506.438000,0.699995
30,7506.439000,0.6926718
31,7506.440000,0.8032942
32,7506.441000,0.7285204
33,7506.442000,0.7508945
34,7506.443000,0.77285
35,7506.444000,0.782609
36,7506.445000,0.7886848
37,7506.446000,0.7963305
38,7506.447000,0.8031454
39,7506.448000,0.8091593
40,7506.449000,0.8148737
41,7506.450000,0.8307333
42,7506.451000,0.8284664
43,7506.452000,0.813714
44,7506.453000,0.7738895
45,7506.454000,0.8368731
46,7506.455000,0.7875605
47,7506.456000,0.7977667
48,7506.457000,0.7978172
49,7506.458000,0.796958
50,7506.459000,0.7947426
51,7506.460000,0.7941647
52,7506.461000,0.7946701
53,7506.462000,0.7907276
54,7506.463000,0.7822733
55,7506.464000,0.7715979
56,7506.465000,0.7573223
57,7506.466000,0.7433634
58,7506.467000,0.7299652
59,7506.468000,0.7140236
60,7506.469000,0.696394
61,7506.470000,0.6826353
62,7506.471000,0.6730185
63,7506.472000,0.6655741
64,7506.473000,0.661746
65,7506.474000,0.6575031
66,7506.475000,0.6528168
67,7506.476000,0.6510668
68,7506.477000,0.6514597
69,7506.478000,0.6510782
70,7506.479000,0.6501846
71,7506.480000,0.6496544
72,7506.481000,0.6489115
73,7506.482000,0.6506548
74,7506.483000,0.6549606
75,7506.484000,0.6601124
76,7506.485000,0.666811
77,7506.486000,0.6700335
78,7506.487000,0.6691999
79,7506.488000,0.6671057
80,7506.489000,0.6623707
81,7506.490000,0.6574354
82,7506.491000,0.6524429
83,7506.492000,0.6449661
84,7506.493000,0.635498
85,7506.494000,0.6282053
86,7506.495000,0.623147
87,7506.496000,0.6185904
88,7506.497000,0.6155462
89,7506.498000,0.6108627
90,7506.499000,0.6044312
91,7506.500000,0.5982895
92,7506.501000,0.5917768
93,7506.502000,0.5870304
94,7506.503000,0.5844307
95,7506.504000,0.5723534
96,7506.505000,0.550518
97,7506.506000,0.5771646
98,7506.507000,0.5539427
99,7506.508000,0.545104
100,7506.509000,0.5175219
101,7506.510000,0.5567684
102,7506.511000,0.5157127
103,7506.512000,0.5150585
104,7506.513000,0.5059042
105,7506.514000,0.4965019
106,7506.515000,0.486969
107,7506.516000,0.4769049
108,7506.517000,0.466403
109,7506.518000,0.4564791
110,7506.519000,0.4471111
111,7506.520000,0.4380121
112,7506.521000,0.4292774
113,7506.522000,0.4203587
114,7506.523000,0.4112473
115,7506.524000,0.4024315
116,7506.525000,0.3938198
117,7506.526000,0.3845034
