#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,0.6251373
2,7506.411000,-2.896614
3,7506.412000,-3.003288
4,7506.413000,0.08906555
5,7506.414000,1.640076
6,7506.415000,0.7611694
7,7506.416000,-2.114388
8,7506.417000,1.515709
9,7506.418000,-1.233498
10,7506.419000,0.7277298
11,7506.420000,-0.5275345
12,7506.421000,0.5183487
13,7506.422000,0.4394073
14,7506.423000,0.3156204
15,7506.424000,0.2222214
16,7506.425000,0.07331085
17,7506.426000,-0.3669128
18,7506.427000,-1.09861
19,7506.428000,-1.763115
20,7506.429000,-2.39418
21,7506.430000,-0.6395721
22,7506.431000,-1.520981
23,7506.432000,-0.3209457
24,7506.433000,1.240952
25,7506.434000,2.27401
26,7506.435000,2.798843
27,7506.436000,-0.438179
28,7506.437000,-0.2645111
29,7506.438000,-2.204201
30,7506.439000,-3.647583
31,7506.440000,1.81797
32,7506.441000,-0.2406158
33,7506.442000,0.379776
34,7506.443000,-0.04019165
35,7506.444000,-1.12001
36,7506.445000,-2.740143
37,7506.446000,-0.9349823
38,7506.447000,2.575981
39,7506.448000,2.299858
40,7506.449000,-2.190979
41,7506.450000,0.1053391
42,7506.451000,1.098389
43,7506.452000,0.06479645
44,7506.453000,-0.2499542
45,7506.454000,1.919434
46,7506.455000,0.714035
47,7506.456000,-0.1870041
48,7506.457000,0.404808
49,7506.458000,-0.07861328
50,7506.459000,-0.4594727
51,7506.460000,-0.9088898
52,7506.461000,-1.438644
53,7506.462000,-1.433205
54,7506.463000,-0.8308182
55,7506.464000,0.05193329
56,7506.465000,2.51902
57,7506.466000,1.574654
58,7506.467000,2.650452
59,7506.468000,0.5233002
60,7506.469000,-0.6634369
61,7506.470000,0.498436
62,7506.471000,0.9003525
63,7506.472000,1.45211
64,7506.473000,1.058052
65,7506.474000,1.135071
66,7506.475000,1.320442
67,7506.476000,1.170906
68,7506.477000,0.7375565
69,7506.478000,0.6170349
70,7506.479000,0.7584915
71,7506.480000,0.8610153
72,7506.481000,1.037491
73,7506.482000,-0.4751892
74,7506.483000,0.5975342
75,7506.484000,1.029709
76,7506.485000,2.441948
77,7506.486000,-0.07479095
78,7506.487000,-2.657906
79,7506.488000,1.084229
80,7506.489000,0.684494
81,7506.490000,0.01239014
82,7506.491000,0.05258179
83,7506.492000,-0.09915924
84,7506.493000,0.6295166
85,7506.494000,0.2473373
86,7506.495000,-1.046837
87,7506.496000,-2.532539
88,7506.497000,-4.532005
89,7506.498000,-3.133858
90,7506.499000,2.097122
91,7506.500000,2.874573
92,7506.501000,-0.3243179
93,7506.502000,-1.212067
94,7506.503000,-1.177551
95,7506.504000,-2.228104
96,7506.505000,-3.569672
97,7506.506000,-2.94783
98,7506.507000,-3.167107
99,7506.508000,-3.05127
100,7506.509000,-3.409531
101,7506.510000,2.249718
102,7506.511000,3.672958
103,7506.512000,2.086723
104,7506.513000,1.369064
105,7506.514000,-0.3762589
106,7506.515000,-1.257637
107,7506.516000,-0.6919556
108,7506.517000,1.651421
109,7506.518000,1.319611
110,7506.519000,1.611923
111,7506.520000,1.466057
112,7506.521000,1.414131
113,7506.522000,1.199806
114,7506.523000,0.9540863
115,7506.524000,0.04611206
116,7506.525000,-1.559196
117,7506.526000,0.1712799
