#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,-0.2310562
2,7506.411000,-0.5427208
3,7506.412000,-0.5685158
4,7506.413000,-0.3566227
5,7506.414000,-0.216032
6,7506.415000,-0.05951691
7,7506.416000,-0.5842896
8,7506.417000,0.2247944
9,7506.418000,-0.398737
10,7506.419000,-0.1196213
11,7506.420000,-0.1762199
12,7506.421000,0.0234108
13,7506.422000,0.1643391
14,7506.423000,0.04154396
15,7506.424000,0.03771782
16,7506.425000,0.01390076
17,7506.426000,-0.02420425
18,7506.427000,-0.05692101
19,7506.428000,-0.1437988
20,7506.429000,-0.2845631
21,7506.430000,-0.1521435
22,7506.431000,-0.1435566
23,7506.432000,-7.286072E-4
24,7506.433000,0.168293
25,7506.434000,0.3138561
26,7506.435000,0.4234467
27,7506.436000,-0.08999634
28,7506.437000,0.06787872
29,7506.438000,-0.3973522
30,7506.439000,-0.5553646
31,7506.440000,0.3428364
32,7506.441000,-0.06034851
33,7506.442000,0.07230949
34,7506.443000,-0.0165081
35,7506.444000,-0.1574192
36,7506.445000,-0.3573494
37,7506.446000,-0.130291
38,7506.447000,0.58251
39,7506.448000,0.5072575
40,7506.449000,-0.3176136
41,7506.450000,0.4382591
42,7506.451000,0.4284821
43,7506.452000,0.1510658
44,7506.453000,0.1689129
45,7506.454000,0.4937191
46,7506.455000,0.2365131
47,7506.456000,0.2433968
48,7506.457000,0.2238998
49,7506.458000,0.1649666
50,7506.459000,0.0963192
51,7506.460000,-0.02076912
52,7506.461000,-0.1903915
53,7506.462000,-0.1784153
54,7506.463000,0.02723885
55,7506.464000,-0.3832417
56,7506.465000,0.1917953
57,7506.466000,0.1159153
58,7506.467000,0.3204117
59,7506.468000,-0.0483551
60,7506.469000,0.1159306
61,7506.470000,0.2123661
62,7506.471000,0.215889
63,7506.472000,0.4991951
64,7506.473000,0.2854023
65,7506.474000,0.08524895
66,7506.475000,0.2715588
67,7506.476000,0.196846
68,7506.477000,0.1137161
69,7506.478000,0.07336807
70,7506.479000,0.05066681
71,7506.480000,0.1636066
72,7506.481000,0.4366035
73,7506.482000,-0.2472229
74,7506.483000,0.2484722
75,7506.484000,0.1862869
76,7506.485000,0.2944241
77,7506.486000,0.1378403
78,7506.487000,-0.2139034
79,7506.488000,0.4646492
80,7506.489000,0.2087421
81,7506.490000,-0.1527081
82,7506.491000,0.1527882
83,7506.492000,0.07178879
84,7506.493000,0.07842064
85,7506.494000,0.02837372
86,7506.495000,-0.08273697
87,7506.496000,-0.2200928
88,7506.497000,-0.4014206
89,7506.498000,-0.2798595
90,7506.499000,0.1809196
91,7506.500000,0.1515865
92,7506.501000,-0.3359356
93,7506.502000,-0.4166775
94,7506.503000,-0.2148857
95,7506.504000,-0.2201138
96,7506.505000,-0.308218
97,7506.506000,-0.124445
98,7506.507000,-0.1229
99,7506.508000,-0.1251583
100,7506.509000,-0.2664719
101,7506.510000,0.4217625
102,7506.511000,0.5332718
103,7506.512000,0.5209351
104,7506.513000,0.4354687
105,7506.514000,0.1950111
106,7506.515000,-0.1170521
107,7506.516000,-0.1151505
108,7506.517000,0.2673721
109,7506.518000,0.09798813
110,7506.519000,0.07266617
111,7506.520000,0.05584335
112,7506.521000,0.1708031
113,7506.522000,0.1859932
