#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,2.835594
2,7506.411000,2.819832
3,7506.412000,2.854592
4,7506.413000,2.937214
5,7506.414000,2.976232
6,7506.415000,2.968603
7,7506.416000,3.040568
8,7506.417000,3.013365
9,7506.418000,3.031862
10,7506.419000,3.054159
11,7506.420000,3.088549
12,7506.421000,3.144435
13,7506.422000,3.07559
14,7506.423000,3.163872
15,7506.424000,3.174429
16,7506.425000,3.203222
17,7506.426000,3.230995
18,7506.427000,3.257529
19,7506.428000,3.28269
20,7506.429000,3.305346
21,7506.430000,3.342205
22,7506.431000,3.364006
23,7506.432000,3.387988
24,7506.433000,3.403878
25,7506.434000,3.443881
26,7506.435000,3.464644
27,7506.436000,3.454408
28,7506.437000,3.477746
29,7506.438000,3.491003
30,7506.439000,3.521217
31,7506.440000,3.466342
32,7506.441000,3.49271
33,7506.442000,3.507497
34,7506.443000,3.521774
35,7506.444000,3.554492
36,7506.445000,3.588564
37,7506.446000,3.541925
38,7506.447000,3.411187
39,7506.448000,3.333076
40,7506.449000,3.524055
41,7506.450000,3.476447
42,7506.451000,3.386365
43,7506.452000,3.383028
44,7506.453000,3.327004
45,7506.454000,3.328512
46,7506.455000,3.296484
47,7506.456000,3.289176
48,7506.457000,3.285171
49,7506.458000,3.277453
50,7506.459000,3.265253
51,7506.460000,3.268457
52,7506.461000,3.285718
53,7506.462000,3.261165
54,7506.463000,3.193824
55,7506.464000,3.357952
56,7506.465000,3.250143
57,7506.466000,3.255215
58,7506.467000,3.27279
59,7506.468000,3.267154
60,7506.469000,3.249528
61,7506.470000,3.267449
62,7506.471000,3.271412
63,7506.472000,3.238981
64,7506.473000,3.219817
65,7506.474000,3.273186
66,7506.475000,3.216735
67,7506.476000,3.213661
68,7506.477000,3.195681
69,7506.478000,3.189482
70,7506.479000,3.196294
71,7506.480000,3.173318
72,7506.481000,3.1212
73,7506.482000,3.222714
74,7506.483000,3.129098
75,7506.484000,3.122412
76,7506.485000,3.104821
77,7506.486000,3.108361
78,7506.487000,3.143672
79,7506.488000,3.169401
80,7506.489000,3.103769
81,7506.490000,3.105313
82,7506.491000,3.132591
83,7506.492000,3.142396
84,7506.493000,3.147388
85,7506.494000,3.157406
86,7506.495000,3.166646
87,7506.496000,3.175813
88,7506.497000,3.185011
89,7506.498000,3.196819
90,7506.499000,3.211489
91,7506.500000,3.226957
92,7506.501000,3.243883
93,7506.502000,3.249905
94,7506.503000,3.243557
95,7506.504000,3.231254
96,7506.505000,3.209381
97,7506.506000,3.195025
98,7506.507000,3.189618
99,7506.508000,3.186492
100,7506.509000,3.190407
101,7506.510000,3.122724
102,7506.511000,3.026765
103,7506.512000,2.982324
104,7506.513000,3.000462
105,7506.514000,3.044197
106,7506.515000,3.133364
107,7506.516000,3.17615
108,7506.517000,3.164544
109,7506.518000,3.186715
110,7506.519000,3.222306
111,7506.520000,3.217435
112,7506.521000,3.17933
113,7506.522000,3.155447
114,7506.523000,3.160551
115,7506.524000,3.156946
116,7506.525000,3.162829
117,7506.526000,3.116654
118,7506.527000,3.126994
119,7506.528000,3.108393
120,7506.529000,3.097538
121,7506.530000,3.120313
122,7506.531000,3.18131
123,7506.532000,3.045035
124,7506.533000,3.078352
125,7506.534000,3.278587
