#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,0.6787348
2,7506.411000,0.671538
3,7506.412000,0.7252203
4,7506.413000,0.6948309
5,7506.414000,0.6938861
6,7506.415000,0.6706172
7,7506.416000,0.664996
8,7506.417000,0.6768088
9,7506.418000,0.6746099
10,7506.419000,0.6798461
11,7506.420000,0.6077433
12,7506.421000,0.6310228
13,7506.422000,0.6058837
14,7506.423000,0.5932209
15,7506.424000,0.5810467
16,7506.425000,0.5704328
17,7506.426000,0.5596115
18,7506.427000,0.5484548
19,7506.428000,0.5440061
20,7506.429000,0.5464673
21,7506.430000,0.5100979
22,7506.431000,0.4518816
23,7506.432000,0.4741871
24,7506.433000,0.4576756
25,7506.434000,0.3919933
26,7506.435000,0.3075772
27,7506.436000,0.2842576
28,7506.437000,0.3392079
29,7506.438000,0.2785649
30,7506.439000,0.308373
31,7506.440000,0.3166271
32,7506.441000,0.2227499
33,7506.442000,0.2064821
34,7506.443000,0.2242807
35,7506.444000,0.2160553
36,7506.445000,0.1975279
37,7506.446000,0.2210639
38,7506.447000,0.2222096
39,7506.448000,0.2176917
40,7506.449000,0.1879051
41,7506.450000,0.246851
42,7506.451000,0.2522973
43,7506.452000,0.211373
44,7506.453000,0.2393639
45,7506.454000,0.2690529
46,7506.455000,0.2439979
47,7506.456000,0.2612781
48,7506.457000,0.2851374
49,7506.458000,0.2518361
50,7506.459000,0.2665806
51,7506.460000,0.2630437
52,7506.461000,0.2502881
53,7506.462000,0.2600996
54,7506.463000,0.3061413
55,7506.464000,0.3236492
56,7506.465000,0.3231018
57,7506.466000,0.3055852
58,7506.467000,0.310878
59,7506.468000,0.2959691
60,7506.469000,0.3561862
61,7506.470000,0.3740359
62,7506.471000,0.3815103
63,7506.472000,0.400978
64,7506.473000,0.4243953
65,7506.474000,0.4335314
66,7506.475000,0.4581587
67,7506.476000,0.4724468
68,7506.477000,0.4852132
69,7506.478000,0.5061939
70,7506.479000,0.5355042
71,7506.480000,0.5509737
72,7506.481000,0.5536231
73,7506.482000,0.5394594
74,7506.483000,0.5784697
75,7506.484000,0.5901173
76,7506.485000,0.6049746
77,7506.486000,0.5535268
78,7506.487000,0.5934437
79,7506.488000,0.5939566
80,7506.489000,0.5778014
81,7506.490000,0.5775956
82,7506.491000,0.5802785
83,7506.492000,0.5861953
84,7506.493000,0.5920269
85,7506.494000,0.5886351
86,7506.495000,0.5835108
87,7506.496000,0.5987452
88,7506.497000,0.6381136
89,7506.498000,0.6585656
90,7506.499000,0.6339707
91,7506.500000,0.6167424
92,7506.501000,0.5944948
93,7506.502000,0.5821929
94,7506.503000,0.5877136
95,7506.504000,0.5932544
96,7506.505000,0.6052034
97,7506.506000,0.6013472
98,7506.507000,0.5784268
99,7506.508000,0.567309
100,7506.509000,0.5633798
101,7506.510000,0.5678136
102,7506.511000,0.5251446
103,7506.512000,0.4990005
104,7506.513000,0.4644006
105,7506.514000,0.4416011
106,7506.515000,0.4337984
107,7506.516000,0.4298562
108,7506.517000,0.4350239
109,7506.518000,0.4338641
110,7506.519000,0.4247741
111,7506.520000,0.4138643
112,7506.521000,0.4086094
113,7506.522000,0.3967455
114,7506.523000,0.3828484
115,7506.524000,0.3715318
116,7506.525000,0.3628551
117,7506.526000,0.4095432
