#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,-0.6529045
2,7506.411000,0.3235473
3,7506.412000,0.5949771
4,7506.413000,0.2723667
5,7506.414000,0.03966612
6,7506.415000,-0.3443498
7,7506.416000,2.233834
8,7506.417000,-0.4718732
9,7506.418000,0.8638036
10,7506.419000,0.02658214
11,7506.420000,0.3909312
12,7506.421000,0.7873856
13,7506.422000,-0.7056193
14,7506.423000,0.2823861
15,7506.424000,0.05390493
16,7506.425000,0.1277246
17,7506.426000,0.1664163
18,7506.427000,0.1644851
19,7506.428000,0.1939325
20,7506.429000,0.2341716
21,7506.430000,0.2468198
22,7506.431000,0.2361459
23,7506.432000,0.1431722
24,7506.433000,-0.04745984
25,7506.434000,0.1392679
26,7506.435000,0.05690575
27,7506.436000,-0.1603795
28,7506.437000,-1.175657
29,7506.438000,0.2276021
30,7506.439000,0.8046091
31,7506.440000,-2.993063
32,7506.441000,-1.509851
33,7506.442000,-1.174123
34,7506.443000,-1.134411
35,7506.444000,0.1484896
36,7506.445000,1.958118
37,7506.446000,0.2186086
38,7506.447000,-3.635699
39,7506.448000,-3.580051
40,7506.449000,0.6465427
41,7506.450000,-1.344826
42,7506.451000,-2.506953
43,7506.452000,-1.031381
44,7506.453000,-0.7117039
45,7506.454000,-2.137061
46,7506.455000,-0.9449554
47,7506.456000,-1.189095
48,7506.457000,-1.138558
49,7506.458000,-1.015397
50,7506.459000,-0.7926102
51,7506.460000,-0.3741468
52,7506.461000,0.2825645
53,7506.462000,0.04387248
54,7506.463000,-1.154425
55,7506.464000,1.295988
56,7506.465000,-0.6933109
57,7506.466000,-0.4832977
58,7506.467000,-0.712938
59,7506.468000,-0.1055939
60,7506.469000,-0.3612892
61,7506.470000,-1.025266
62,7506.471000,-1.660753
63,7506.472000,-2.532482
64,7506.473000,-1.815642
65,7506.474000,0.2472567
66,7506.475000,-1.397255
67,7506.476000,-1.075644
68,7506.477000,-0.457961
69,7506.478000,-0.5553982
70,7506.479000,-1.064221
71,7506.480000,-1.230736
72,7506.481000,-2.157396
73,7506.482000,0.6580308
74,7506.483000,-1.320305
75,7506.484000,-1.793733
76,7506.485000,-2.02026
77,7506.486000,-1.238915
78,7506.487000,0.1385991
79,7506.488000,-2.141754
80,7506.489000,-1.724278
81,7506.490000,0.01197326
82,7506.491000,-0.3365597
83,7506.492000,-1.009095
84,7506.493000,-0.3141405
85,7506.494000,0.3986436
86,7506.495000,0.4183053
87,7506.496000,0.9948169
88,7506.497000,1.550271
89,7506.498000,1.407884
90,7506.499000,0.4866009
91,7506.500000,0.7442811
92,7506.501000,2.119642
93,7506.502000,2.385564
94,7506.503000,1.823765
95,7506.504000,1.69082
96,7506.505000,1.648695
97,7506.506000,1.118484
98,7506.507000,0.3236181
99,7506.508000,-0.1405074
100,7506.509000,-0.2632461
101,7506.510000,-3.829871
102,7506.511000,-4.815288
103,7506.512000,-5.973617
104,7506.513000,-5.341213
105,7506.514000,-4.112245
106,7506.515000,-1.785724
107,7506.516000,-0.7410755
108,7506.517000,-1.182404
109,7506.518000,-0.3895189
110,7506.519000,0.05440664
111,7506.520000,-0.02369726
112,7506.521000,-0.7903162
113,7506.522000,-0.9783843
114,7506.523000,-0.6738458
115,7506.524000,0.05921847
