#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,0.2437063
2,7506.411000,0.4745056
3,7506.412000,0.5237072
4,7506.413000,0.5118101
5,7506.414000,0.5377732
6,7506.415000,0.738351
7,7506.416000,0.9873536
8,7506.417000,1.084594
9,7506.418000,1.269579
10,7506.419000,1.317412
11,7506.420000,1.622913
12,7506.421000,1.633808
13,7506.422000,1.774099
14,7506.423000,1.886545
15,7506.424000,1.867055
16,7506.425000,1.916634
17,7506.426000,1.953077
18,7506.427000,1.97348
19,7506.428000,1.985398
20,7506.429000,1.97412
21,7506.430000,1.80356
22,7506.431000,2.009226
23,7506.432000,1.978738
24,7506.433000,1.915601
25,7506.434000,1.718821
26,7506.435000,1.753269
27,7506.436000,1.841854
28,7506.437000,1.680564
29,7506.438000,1.643435
30,7506.439000,1.616194
31,7506.440000,1.283726
32,7506.441000,1.445063
33,7506.442000,1.543115
34,7506.443000,1.707392
35,7506.444000,1.844074
36,7506.445000,1.924393
37,7506.446000,1.905843
38,7506.447000,1.943807
39,7506.448000,2.079602
40,7506.449000,2.163197
41,7506.450000,2.164539
42,7506.451000,2.28711
43,7506.452000,2.295372
44,7506.453000,2.412956
45,7506.454000,2.467122
46,7506.455000,2.595266
47,7506.456000,2.646014
48,7506.457000,2.722444
49,7506.458000,2.788421
50,7506.459000,2.862835
51,7506.460000,2.940281
52,7506.461000,2.986446
53,7506.462000,3.018137
54,7506.463000,3.075556
55,7506.464000,2.943658
56,7506.465000,2.891702
57,7506.466000,2.986957
58,7506.467000,2.888371
59,7506.468000,3.103838
60,7506.469000,3.086754
61,7506.470000,3.144842
62,7506.471000,3.178978
63,7506.472000,3.179549
64,7506.473000,3.172737
65,7506.474000,3.154941
66,7506.475000,3.215991
67,7506.476000,3.185858
68,7506.477000,3.284379
69,7506.478000,3.333967
70,7506.479000,3.299277
71,7506.480000,3.328852
72,7506.481000,3.386915
73,7506.482000,3.288925
74,7506.483000,3.35241
75,7506.484000,3.347203
76,7506.485000,3.235001
77,7506.486000,3.389746
78,7506.487000,3.409805
79,7506.488000,3.308303
80,7506.489000,3.340577
81,7506.490000,3.277792
82,7506.491000,3.387358
83,7506.492000,3.429902
84,7506.493000,3.234559
85,7506.494000,3.314225
86,7506.495000,3.344521
87,7506.496000,3.413102
88,7506.497000,3.485523
89,7506.498000,3.381923
90,7506.499000,3.07383
91,7506.500000,3.074642
92,7506.501000,3.283786
93,7506.502000,3.301788
94,7506.503000,3.172989
95,7506.504000,3.125712
96,7506.505000,3.116765
97,7506.506000,2.943348
98,7506.507000,2.873977
99,7506.508000,2.779888
100,7506.509000,2.742052
101,7506.510000,2.342467
102,7506.511000,2.306253
103,7506.512000,2.372911
104,7506.513000,2.311096
105,7506.514000,2.335447
106,7506.515000,2.333737
107,7506.516000,2.24494
108,7506.517000,2.223835
109,7506.518000,2.250046
110,7506.519000,2.157398
111,7506.520000,2.079501
112,7506.521000,1.974492
113,7506.522000,1.880986
114,7506.523000,1.808947
115,7506.524000,1.678784
116,7506.525000,1.509437
117,7506.526000,1.519887
118,7506.527000,1.403469
119,7506.528000,1.239441
120,7506.529000,1.272158
121,7506.530000,1.133672
122,7506.531000,1.016533
123,7506.532000,1.052437
124,7506.533000,0.9724864
