#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,0.9643133
2,7506.411000,0.8908018
3,7506.412000,0.8559967
4,7506.413000,0.8422087
5,7506.414000,0.8431264
6,7506.415000,0.8635921
7,7506.416000,0.7162486
8,7506.417000,0.8091965
9,7506.418000,0.7777307
10,7506.419000,0.7745337
11,7506.420000,0.7504234
12,7506.421000,0.7038056
13,7506.422000,0.7879315
14,7506.423000,0.7197362
15,7506.424000,0.7313999
16,7506.425000,0.7283302
17,7506.426000,0.7298744
18,7506.427000,0.7362356
19,7506.428000,0.7424527
20,7506.429000,0.7492113
21,7506.430000,0.7754458
22,7506.431000,0.7918262
23,7506.432000,0.8160214
24,7506.433000,0.8384699
25,7506.434000,0.8869575
26,7506.435000,0.9181989
27,7506.436000,0.9342586
28,7506.437000,0.9999642
29,7506.438000,1.014534
30,7506.439000,1.003157
31,7506.440000,1.142725
32,7506.441000,1.111934
33,7506.442000,1.13171
34,7506.443000,1.139196
35,7506.444000,1.115493
36,7506.445000,1.076991
37,7506.446000,1.148862
38,7506.447000,1.319686
39,7506.448000,1.342248
40,7506.449000,1.210614
41,7506.450000,1.254491
42,7506.451000,1.347822
43,7506.452000,1.341137
44,7506.453000,1.37146
45,7506.454000,1.410483
46,7506.455000,1.417495
47,7506.456000,1.437697
48,7506.457000,1.450881
49,7506.458000,1.464385
50,7506.459000,1.478253
51,7506.460000,1.47858
52,7506.461000,1.465089
53,7506.462000,1.492619
54,7506.463000,1.562755
55,7506.464000,1.413782
56,7506.465000,1.550381
57,7506.466000,1.503729
58,7506.467000,1.510178
59,7506.468000,1.489134
60,7506.469000,1.471431
61,7506.470000,1.469892
62,7506.471000,1.445517
63,7506.472000,1.483071
64,7506.473000,1.507712
65,7506.474000,1.454879
66,7506.475000,1.505444
67,7506.476000,1.505064
68,7506.477000,1.519441
69,7506.478000,1.522399
70,7506.479000,1.513706
71,7506.480000,1.533951
72,7506.481000,1.582854
73,7506.482000,1.478582
74,7506.483000,1.569626
75,7506.484000,1.577549
76,7506.485000,1.600682
77,7506.486000,1.584257
78,7506.487000,1.516582
79,7506.488000,1.535847
80,7506.489000,1.550674
81,7506.490000,1.545276
82,7506.491000,1.504167
83,7506.492000,1.477906
84,7506.493000,1.45423
85,7506.494000,1.426224
86,7506.495000,1.399663
87,7506.496000,1.372678
88,7506.497000,1.345865
89,7506.498000,1.314384
90,7506.499000,1.27782
91,7506.500000,1.239928
92,7506.501000,1.199528
93,7506.502000,1.172633
94,7506.503000,1.161252
95,7506.504000,1.156882
96,7506.505000,1.164232
97,7506.506000,1.164508
98,7506.507000,1.156168
99,7506.508000,1.147735
100,7506.509000,1.134147
101,7506.510000,1.191098
102,7506.511000,1.275306
103,7506.512000,1.30825
104,7506.513000,1.278181
105,7506.514000,1.224361
106,7506.515000,1.127157
107,7506.516000,1.07672
108,7506.517000,1.081613
109,7506.518000,1.050232
110,7506.519000,1.002439
111,7506.520000,0.9941552
112,7506.521000,1.01714
113,7506.522000,1.025576
114,7506.523000,1.00484
115,7506.524000,0.990902
116,7506.525000,0.9658813
117,7506.526000,1.001438
118,7506.527000,0.9897438
119,7506.528000,1.011491
120,7506.529000,1.032782
121,7506.530000,1.008957
122,7506.531000,0.933781
