#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,9.790617
2,7506.411000,9.669731
3,7506.412000,9.687209
4,7506.413000,9.784266
5,7506.414000,9.804384
6,7506.415000,9.771116
7,7506.416000,9.775819
8,7506.417000,9.794682
9,7506.418000,9.799124
10,7506.419000,9.799355
11,7506.420000,9.825504
12,7506.421000,9.877378
13,7506.422000,9.805322
14,7506.423000,9.814233
15,7506.424000,9.901223
16,7506.425000,9.842504
17,7506.426000,9.849873
18,7506.427000,9.858891
19,7506.428000,9.856895
20,7506.429000,9.854997
21,7506.430000,9.853272
22,7506.431000,9.851547
23,7506.432000,9.840578
24,7506.433000,9.819847
25,7506.434000,9.84879
26,7506.435000,9.853423
27,7506.436000,9.827445
28,7506.437000,9.804438
29,7506.438000,9.794368
30,7506.439000,9.812242
31,7506.440000,9.822636
32,7506.441000,9.834804
33,7506.442000,9.802556
34,7506.443000,9.712171
35,7506.444000,9.668258
36,7506.445000,9.762681
37,7506.446000,9.752344
38,7506.447000,9.693354
39,7506.448000,9.669861
40,7506.449000,9.658507
41,7506.450000,9.635028
42,7506.451000,9.609806
43,7506.452000,9.584541
44,7506.453000,9.557446
45,7506.454000,9.533245
46,7506.455000,9.51236
47,7506.456000,9.490644
48,7506.457000,9.469156
49,7506.458000,9.456338
50,7506.459000,9.483043
51,7506.460000,9.387818
52,7506.461000,9.378715
53,7506.462000,9.437635
54,7506.463000,9.3815
55,7506.464000,9.356069
56,7506.465000,9.375657
57,7506.466000,9.334743
58,7506.467000,9.263126
59,7506.468000,9.315683
60,7506.469000,9.302508
61,7506.470000,9.173387
62,7506.471000,9.327409
63,7506.472000,9.316364
64,7506.473000,9.21269
65,7506.474000,9.205741
66,7506.475000,9.248851
67,7506.476000,9.21835
68,7506.477000,9.131388
69,7506.478000,9.282536
70,7506.479000,9.201246
71,7506.480000,9.177265
72,7506.481000,9.215253
73,7506.482000,9.203635
74,7506.483000,9.193281
75,7506.484000,9.202056
76,7506.485000,9.229701
77,7506.486000,9.219034
78,7506.487000,9.171377
79,7506.488000,9.277959
80,7506.489000,9.255764
81,7506.490000,9.209263
82,7506.491000,9.23654
83,7506.492000,9.288041
84,7506.493000,9.260658
85,7506.494000,9.282639
86,7506.495000,9.298979
87,7506.496000,9.30508
88,7506.497000,9.300356
89,7506.498000,9.351366
90,7506.499000,9.460808
91,7506.500000,9.289544
92,7506.501000,9.367044
93,7506.502000,9.489347
94,7506.503000,9.449239
95,7506.504000,9.414156
96,7506.505000,9.471668
97,7506.506000,9.473087
98,7506.507000,9.490524
99,7506.508000,9.488665
100,7506.509000,9.467286
101,7506.510000,9.532978
102,7506.511000,9.493904
103,7506.512000,9.509853
104,7506.513000,9.517779
105,7506.514000,9.505989
106,7506.515000,9.473355
107,7506.516000,9.521938
108,7506.517000,9.532704
109,7506.518000,9.433444
110,7506.519000,9.506464
111,7506.520000,9.491872
112,7506.521000,9.498176
113,7506.522000,9.504153
114,7506.523000,9.509529
115,7506.524000,9.515998
116,7506.525000,9.52261
117,7506.526000,9.537175
118,7506.527000,9.56042
119,7506.528000,9.526346
120,7506.529000,9.48521
121,7506.530000,9.592848
122,7506.531000,9.577218
123,7506.532000,9.496277
124,7506.533000,9.531839
125,7506.534000,9.578793
