Base,Target,Pearson,k,b,Length,Pearson(sub)
cegun,chilunxiang,-0.03211573601114998,0.22351741790771484,0.25984504822141014,11612,0.9530756119058085
cegun,dianjichui,0.004586501772879483,0.014901161193847656,-0.008616539681784337,22413,0.06955084381010138
cegun,dianjiheng,-0.013921584771668943,-0.16391277313232422,-0.15639085613263293,16066,-0.9010332281855922
cegun,fuchen,-0.4630417713881547,0.07450580596923828,-0.5359948253942777,13098,0.7073672670332254
cegun,hengjian,0.13089628267967682,-0.04470348358154297,-0.14427734337401332,8725,-0.5104606880246098
cegun,hengxiang ,0.20865021783870372,-0.22351741790771484,0.14060634266252142,10145,-0.9043961634038966
cegun,lingxing,0.7343690449337209,0.49173831939697266,0.07796720727669307,11465,0.9893091936178847
cegun,niuzhuan,0.560879169429068,0.3948807716369629,-0.5181721473668641,10297,0.9875461704309334
cegun,qianyin,0.7549302082227181,1.0579824447631836,-0.49749541684825743,11377,0.9985496953064993
cegun,zhidong,-0.7600159374402378,-1.0207295417785645,0.3568665875510262,12549,-0.9970160900559587
chilunxiang,cegun,-0.03211573601114941,-0.20116567611694336,-1.1005278094505826,9548,-0.9102590557030501
chilunxiang,dianjichui,0.06439052176145892,0.0521540641784668,-0.029890540686604405,24342,0.7564119772172438
chilunxiang,dianjiheng,-0.0020528361825821904,-0.1341104507446289,-0.005515920279918117,14982,-0.7867109729026931
chilunxiang,fuchen,0.1384057258495506,0.05587935447692871,-0.5587402265691782,13717,0.6814875012747332
chilunxiang,hengjian,0.14058309114082354,-0.007450580596923828,-0.11667216444812681,8543,-0.1706088710264626
chilunxiang,hengxiang ,-0.14214002461479208,0.07450580596923828,0.38639796370083435,10233,0.7752837149697028
chilunxiang,lingxing,-0.019214986890474756,-0.16391277313232422,-0.41296127882615036,11301,-0.9347603453304789
chilunxiang,niuzhuan,0.14865634806742023,-0.22351741790771484,-0.9613169390850878,9285,-0.9165887368775031
chilunxiang,qianyin,-0.15787267412159184,-0.059604644775390625,-0.14570503136150542,9462,-0.706936398687804
chilunxiang,zhidong,0.16611955164982578,-0.059604644775390625,1.5047105921486361,11449,-0.9044361097828172
dianjichui,cegun,0.004586501772886861,0.003725290298461914,-1.1082330579385942,9003,0.033879374465679166
dianjichui,chilunxiang,0.06439052176145883,-2.4884939193725586,0.024436943815317292,11527,-0.9079916261168377
dianjichui,dianjiheng,0.8022782037746238,-0.5736947059631348,0.008810973673489837,15026,-0.5700908901354199
dianjichui,fuchen,-0.004669046029191674,-0.011175870895385742,-0.5460267144051969,12578,-0.15558938476666312
dianjichui,hengjian,0.053943350769539336,0.003725290298461914,-0.11741358685548303,8561,-0.06910125741470842
dianjichui,hengxiang ,-0.3579573260501222,0.7897615432739258,0.39430029217709683,9692,0.7776634169776884
dianjichui,lingxing,-0.03394503700435401,-0.014901161193847656,-0.49286801132289454,10256,-0.2147043450825315
dianjichui,niuzhuan,0.05344249142445986,-0.38743019104003906,-0.9256510815201282,8743,-0.6851557413226491
dianjichui,qianyin,-0.011075273233436265,-0.014901161193847656,-0.14860001809937368,9060,-0.11212144947929327
dianjichui,zhidong,0.02402067395399817,-0.476837158203125,1.464275791052748,11407,-0.807246620739639
dianjiheng,cegun,-0.013921584771665961,0.003725290298461914,-1.102121503873727,9160,0.11933591125146237
dianjiheng,chilunxiang,-0.0020528361825813274,0.029802322387695312,-0.007048163885206259,11490,0.2668695620442792
