#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7506.410000,-11.80902
2,7506.411000,-12.24344
3,7506.412000,-12.25856
4,7506.413000,-12.01744
5,7506.414000,-11.76696
6,7506.415000,-12.00972
7,7506.416000,-12.17302
8,7506.417000,-11.82279
9,7506.418000,-12.15168
10,7506.419000,-11.82861
11,7506.420000,-12.16459
12,7506.421000,-11.95224
13,7506.422000,-11.81869
14,7506.423000,-11.91458
15,7506.424000,-11.79813
16,7506.425000,-11.75387
17,7506.426000,-11.665
18,7506.427000,-11.56468
19,7506.428000,-11.49668
20,7506.429000,-11.46471
21,7506.430000,-11.18414
22,7506.431000,-11.22693
23,7506.432000,-11.15516
24,7506.433000,-11.17021
25,7506.434000,-10.98941
26,7506.435000,-10.86221
27,7506.436000,-11.06338
28,7506.437000,-10.74238
29,7506.438000,-10.85663
30,7506.439000,-10.97795
31,7506.440000,-10.51269
32,7506.441000,-10.75289
33,7506.442000,-10.69011
34,7506.443000,-10.65333
35,7506.444000,-10.64909
36,7506.445000,-10.68911
37,7506.446000,-10.63178
38,7506.447000,-10.63047
39,7506.448000,-10.69382
40,7506.449000,-10.87096
41,7506.450000,-10.69498
42,7506.451000,-10.68371
43,7506.452000,-11.06127
44,7506.453000,-10.99176
45,7506.454000,-10.93502
46,7506.455000,-11.16186
47,7506.456000,-11.17302
48,7506.457000,-11.16223
49,7506.458000,-11.19206
50,7506.459000,-11.23143
51,7506.460000,-11.24364
52,7506.461000,-11.21918
53,7506.462000,-11.29036
54,7506.463000,-11.45362
55,7506.464000,-11.40436
56,7506.465000,-11.33735
57,7506.466000,-11.66418
58,7506.467000,-11.26394
59,7506.468000,-11.6358
60,7506.469000,-11.6679
61,7506.470000,-11.76764
62,7506.471000,-11.73725
63,7506.472000,-11.67029
64,7506.473000,-11.83365
65,7506.474000,-11.82215
66,7506.475000,-11.84007
67,7506.476000,-11.8208
68,7506.477000,-11.77708
69,7506.478000,-11.84767
70,7506.479000,-11.73014
71,7506.480000,-11.71835
72,7506.481000,-11.70959
73,7506.482000,-11.82652
74,7506.483000,-11.71002
75,7506.484000,-11.63481
76,7506.485000,-11.45406
77,7506.486000,-11.6806
78,7506.487000,-11.73346
79,7506.488000,-11.2946
80,7506.489000,-11.57489
81,7506.490000,-11.56013
82,7506.491000,-11.47627
83,7506.492000,-11.56985
84,7506.493000,-11.48321
85,7506.494000,-11.52152
86,7506.495000,-11.539
87,7506.496000,-11.52448
88,7506.497000,-11.55674
89,7506.498000,-11.51372
90,7506.499000,-11.41795
91,7506.500000,-11.40729
92,7506.501000,-11.47813
93,7506.502000,-11.51056
94,7506.503000,-11.42383
95,7506.504000,-11.42263
96,7506.505000,-11.44814
97,7506.506000,-11.34559
98,7506.507000,-11.28565
99,7506.508000,-11.35687
100,7506.509000,-11.61057
101,7506.510000,-10.96845
102,7506.511000,-11.27112
103,7506.512000,-11.3391
104,7506.513000,-11.18513
105,7506.514000,-11.19221
106,7506.515000,-11.16061
107,7506.516000,-11.1486
108,7506.517000,-11.11419
109,7506.518000,-11.09537
110,7506.519000,-11.07926
111,7506.520000,-11.06185
112,7506.521000,-11.04413
113,7506.522000,-11.05344
114,7506.523000,-11.04885
115,7506.524000,-11.0791
116,7506.525000,-11.13357
