#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7506.4200,2497.625
2,7506.4400,2498.282
3,7506.4600,2498.626
4,7506.4800,2498.72
5,7506.5000,2498.642
6,7506.5200,2499.408
7,7506.5400,2499.908
8,7506.5600,2500.018
9,7506.5800,2500.033
10,7506.6000,2500.628
11,7506.6200,2499.987
12,7506.6400,2500.847
13,7506.6600,2500.315
14,7506.6800,2500.127
15,7506.7000,2499.846
16,7506.7200,2499.924
17,7506.7400,2499.502
18,7506.7600,2499.924
19,7506.7800,2499.486
20,7506.8000,2499.189
21,7506.8200,2499.361
22,7506.8400,2498.845
23,7506.8600,2498.751
24,7506.8800,2498.016
25,7506.9000,2498.36
26,7506.9200,2497.625
27,7506.9400,2497.656
28,7506.9600,2497.703
29,7506.9800,2497.266
30,7507.0000,2497
31,7507.0200,2496.969
32,7507.0400,2497.172
33,7507.0600,2496.281
34,7507.0800,2496.327
35,7507.1000,2495.858
36,7507.1200,2495.577
37,7507.1400,2495.405
38,7507.1600,2495.655
39,7507.1800,2495.233
40,7507.2000,2495.42
41,7507.2200,2495.42
42,7507.2400,2495.029
43,7507.2600,2495.326
44,7507.2800,2495.624
45,7507.3000,2496.437
46,7507.3200,2496.171
47,7507.3400,2497.188
48,7507.3600,2496.969
49,7507.3800,2497.703
50,7507.4000,2497.75
51,7507.4200,2498.97
52,7507.4400,2498.407
53,7507.4600,2499.142
54,7507.4800,2499.205
55,7507.5000,2499.752
56,7507.5200,2499.955
57,7507.5400,2500.596
58,7507.5600,2500.659
59,7507.5800,2500.815
60,7507.6000,2500.956
61,7507.6200,2501.472
62,7507.6400,2501.832
63,7507.6600,2501.973
64,7507.6800,2501.926
65,7507.7000,2502.833
66,7507.7200,2503.224
67,7507.7400,2502.973
68,7507.7600,2502.77
69,7507.7800,2502.661
70,7507.8000,2502.176
71,7507.8200,2501.988
72,7507.8400,2500.659
73,7507.8600,2500.206
74,7507.8800,2499.408
75,7507.9000,2498.219
76,7507.9200,2497.5
77,7507.9400,2496.406
78,7507.9600,2496.108
79,7507.9800,2495.201
80,7508.0000,2494.357
81,7508.0200,2493.481
82,7508.0400,2493.106
83,7508.0600,2493.294
84,7508.0800,2493.153
85,7508.1000,2492.715
86,7508.1200,2493.012
87,7508.1400,2493.512
88,7508.1600,2494.013
89,7508.1800,2495.029
90,7508.2000,2495.186
91,7508.2200,2496.062
92,7508.2400,2497.047
93,7508.2600,2497.531
94,7508.2800,2497.907
95,7508.3000,2498.61
96,7508.3200,2499.299
97,7508.3400,2500.19
98,7508.3600,2499.846
99,7508.3800,2500.331
100,7508.4000,2501.363
101,7508.4200,2501.238
102,7508.4400,2501.597
103,7508.4600,2502.035
104,7508.4800,2502.16
105,7508.5000,2502.739
106,7508.5200,2503.146
107,7508.5400,2502.817
108,7508.5600,2502.989
109,7508.5800,2503.083
110,7508.6000,2502.442
111,7508.6200,2502.645
112,7508.6400,2502.739
113,7508.6600,2502.051
114,7508.6800,2501.988
115,7508.7000,2501.66
116,7508.7200,2501.331
117,7508.7400,2500.377
118,7508.7600,2499.549
119,7508.7800,2499.08
120,7508.8000,2497.703
121,7508.8200,2496.937
122,7508.8400,2496.327
123,7508.8600,2495.53
124,7508.8800,2494.357
125,7508.9000,2494.435
126,7508.9200,2493.622
127,7508.9400,2493.2
128,7508.9600,2492.918
129,7508.9800,2493.231
130,7509.0000,2492.856
131,7509.0200,2492.871
132,7509.0400,2492.746
133,7509.0600,2493.778
134,7509.0800,2493.638
135,7509.1000,2494.216
136,7509.1200,2495.248
137,7509.1400,2494.748
138,7509.1600,2495.702
139,7509.1800,2496.859
140,7509.2000,2496.984
141,7509.2200,2497.907
142,7509.2400,2498.126
143,7509.2600,2498.782
144,7509.2800,2499.58
145,7509.3000,2499.533
146,7509.3200,2500.315
147,7509.3400,2500.847
148,7509.3600,2500.925
149,7509.3800,2501.55
150,7509.4000,2501.801
151,7509.4200,2503.083
152,7509.4400,2502.833
153,7509.4600,2503.161
154,7509.4800,2503.755
155,7509.5000,2503.74
156,7509.5200,2503.411
157,7509.5400,2503.958
158,7509.5600,2504.131
159,7509.5800,2502.504
160,7509.6000,2502.692
161,7509.6200,2502.004
162,7509.6400,2501.988
163,7509.6600,2501.097
164,7509.6800,2500.862
165,7509.7000,2500.424
166,7509.7200,2500.268
167,7509.7400,2499.455
168,7509.7600,2498.829
169,7509.7800,2499.173
170,7509.8000,2498.72
171,7509.8200,2497.688
172,7509.8400,2497.5
173,7509.8600,2497.281
174,7509.8800,2496.218
175,7509.9000,2496.374
176,7509.9200,2496.625
177,7509.9400,2496.171
178,7509.9600,2496.124
179,7509.9800,2496.296
180,7510.0000,2495.499
181,7510.0200,2495.686
182,7510.0400,2495.608
183,7510.0600,2495.389
184,7510.0800,2495.514
185,7510.1000,2495.28
186,7510.1200,2495.28
187,7510.1400,2495.17
188,7510.1600,2495.374
189,7510.1800,2495.326
190,7510.2000,2496.155
191,7510.2200,2495.811
192,7510.2400,2496.562
193,7510.2600,2496.515
194,7510.2800,2496.343
195,7510.3000,2496.922
196,7510.3200,2496.796
197,7510.3400,2496.796
198,7510.3600,2496.687
199,7510.3800,2497
200,7510.4000,2497.344
201,7510.4200,2497.563
202,7510.4400,2497.422
203,7510.4600,2497.735
204,7510.4800,2497.281
205,7510.5000,2497.469
206,7510.5200,2497.766
207,7510.5400,2497.391
208,7510.5600,2497.531
209,7510.5800,2497.954
210,7510.6000,2497.922
211,7510.6200,2497.844
212,7510.6400,2498.235
213,7510.6600,2498.736
214,7510.6800,2498.313
215,7510.7000,2498.782
216,7510.7200,2498.923
217,7510.7400,2499.064
218,7510.7600,2499.22
219,7510.7800,2499.893
220,7510.8000,2500.065
221,7510.8200,2499.564
222,7510.8400,2500.127
223,7510.8600,2499.783
224,7510.8800,2500.268
225,7510.9000,2500.174
226,7510.9200,2499.94
227,7510.9400,2500.346
228,7510.9600,2500.033
229,7510.9800,2500.237
230,7511.0000,2500.503
231,7511.0200,2500.284
232,7511.0400,2500.049
233,7511.0600,2499.658
234,7511.0800,2499.705
235,7511.1000,2500.096
236,7511.1200,2499.658
237,7511.1400,2499.596
238,7511.1600,2499.736
239,7511.1800,2499.564
240,7511.2000,2499.814
241,7511.2200,2499.345
242,7511.2400,2499.502
243,7511.2600,2499.126
244,7511.2800,2499.377
245,7511.3000,2499.439
246,7511.3200,2499.345
247,7511.3400,2499.017
248,7511.3600,2499.22
249,7511.3800,2498.845
250,7511.4000,2498.36
251,7511.4200,2498.61
252,7511.4400,2498.188
253,7511.4600,2497.844
254,7511.4800,2497.563
255,7511.5000,2497.172
256,7511.5200,2497.422
257,7511.5400,2497.422
258,7511.5600,2497.109
259,7511.5800,2496.812
260,7511.6000,2497.453
261,7511.6200,2496.593
262,7511.6400,2497.422
263,7511.6600,2496.625
264,7511.6800,2496.984
265,7511.7000,2497.344
266,7511.7200,2496.984
267,7511.7400,2497.61
268,7511.7600,2497.719
269,7511.7800,2498.219
270,7511.8000,2498.032
271,7511.8200,2498.438
272,7511.8400,2498.454
273,7511.8600,2498.97
274,7511.8800,2498.563
275,7511.9000,2499.111
276,7511.9200,2498.579
277,7511.9400,2499.33
278,7511.9600,2499.299
279,7511.9800,2499.814
280,7512.0000,2499.283
281,7512.0200,2499.627
