#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7506.4200,74.6141
2,7506.4400,74.4687
3,7506.4600,74.37958
4,7506.4800,74.24356
5,7506.5000,74.19196
6,7506.5200,74.26701
7,7506.5400,74.34206
8,7506.5600,74.34206
9,7506.5800,74.33736
10,7506.6000,74.29046
11,7506.6200,74.19666
12,7506.6400,74.11692
13,7506.6600,73.99028
14,7506.6800,73.77452
15,7506.7000,73.60098
16,7506.7200,73.55408
17,7506.7400,73.50717
18,7506.7600,73.31956
19,7506.7800,73.12726
20,7506.8000,73.17416
21,7506.8200,73.27266
22,7506.8400,73.41337
23,7506.8600,73.61974
24,7506.8800,73.73231
25,7506.9000,73.65726
26,7506.9200,73.35708
27,7506.9400,73.21637
28,7506.9600,73.04283
29,7506.9800,72.87867
30,7507.0000,72.77079
31,7507.0200,72.80831
32,7507.0400,72.75671
33,7507.0600,72.98654
34,7507.0800,73.09911
35,7507.1000,72.96309
36,7507.1200,72.99593
37,7507.1400,72.87398
38,7507.1600,72.86929
39,7507.1800,72.99593
40,7507.2000,73.22575
41,7507.2200,73.33832
42,7507.2400,73.38522
43,7507.2600,73.42744
44,7507.2800,73.54939
45,7507.3000,73.37585
46,7507.3200,73.17885
47,7507.3400,73.08973
48,7507.3600,73.09442
49,7507.3800,72.99123
50,7507.4000,72.66291
51,7507.4200,72.43308
52,7507.4400,72.55503
53,7507.4600,72.58318
54,7507.4800,72.55503
55,7507.5000,72.42839
56,7507.5200,72.50344
57,7507.5400,72.51751
58,7507.5600,72.43308
59,7507.5800,72.29237
60,7507.6000,72.06255
61,7507.6200,71.96873
62,7507.6400,71.92184
63,7507.6600,71.99688
64,7507.6800,72.00157
65,7507.7000,71.84679
66,7507.7200,71.63103
67,7507.7400,71.39651
68,7507.7600,71.19014
69,7507.7800,70.93217
70,7507.8000,70.66951
71,7507.8200,70.60384
72,7507.8400,70.61323
73,7507.8600,70.47252
74,7507.8800,70.32712
75,7507.9000,70.25207
76,7507.9200,70.35057
77,7507.9400,70.58039
78,7507.9600,70.85712
79,7507.9800,70.92748
80,7508.0000,70.89934
81,7508.0200,70.88996
82,7508.0400,70.97907
83,7508.0600,71.08226
84,7508.0800,71.2605
85,7508.1000,71.4997
86,7508.1200,71.62634
87,7508.1400,71.71546
88,7508.1600,71.59351
89,7508.1800,71.41058
90,7508.2000,71.26987
91,7508.2200,71.36837
92,7508.2400,71.49033
93,7508.2600,71.41528
94,7508.2800,71.28864
95,7508.3000,71.15262
96,7508.3200,71.21828
97,7508.3400,71.39182
98,7508.3600,71.56068
99,7508.3800,71.50439
100,7508.4000,71.41997
101,7508.4200,71.52785
102,7508.4400,71.69201
103,7508.4600,71.70139
104,7508.4800,71.79989
105,7508.5000,71.93121
106,7508.5200,71.83741
107,7508.5400,71.67325
108,7508.5600,71.4059
109,7508.5800,70.95562
110,7508.6000,70.58039
111,7508.6200,70.44907
112,7508.6400,70.42092
113,7508.6600,70.43499
114,7508.6800,70.44907
115,7508.7000,70.53818
116,7508.7200,70.83836
117,7508.7400,70.96031
118,7508.7600,71.03535
119,7508.7800,71.04474
120,7508.8000,71.05412
121,7508.8200,71.12447
122,7508.8400,71.04005
123,7508.8600,70.81022
124,7508.8800,70.61792
125,7508.9000,70.40216
126,7508.9200,70.13012
127,7508.9400,69.8018
128,7508.9600,69.53914
129,7508.9800,69.33276
130,7509.0000,69.17329
131,7509.0200,69.13577
132,7509.0400,69.27179
133,7509.0600,69.33276
134,7509.0800,69.24364
135,7509.1000,69.07948
136,7509.1200,68.82151
137,7509.1400,68.66673
138,7509.1600,68.55416
139,7509.1800,68.57761
140,7509.2000,68.75585
141,7509.2200,69.01851
142,7509.2400,69.2671
143,7509.2600,69.53445
144,7509.2800,69.82994
145,7509.3000,70.19579
146,7509.3200,70.2849
147,7509.3400,70.40685
148,7509.3600,70.6742
149,7509.3800,70.86651
150,7509.4000,70.97438
151,7509.4200,70.86182
152,7509.4400,70.50535
153,7509.4600,70.14888
154,7509.4800,69.82994
155,7509.5000,69.61418
156,7509.5200,69.51099
157,7509.5400,69.38435
158,7509.5600,69.22019
159,7509.5800,69.28586
160,7509.6000,69.51569
161,7509.6200,69.62825
162,7509.6400,69.76427
163,7509.6600,69.98941
164,7509.6800,70.09729
165,7509.7000,70.0926
166,7509.7200,70.16764
167,7509.7400,70.10667
168,7509.7600,70.00817
169,7509.7800,69.78304
170,7509.8000,69.53445
171,7509.8200,69.22488
172,7509.8400,68.99975
173,7509.8600,68.99975
174,7509.8800,69.03258
175,7509.9000,69.06541
176,7509.9200,68.81683
177,7509.9400,68.48381
178,7509.9600,68.21646
179,7509.9800,68.18362
180,7510.0000,68.41345
181,7510.0200,68.65266
182,7510.0400,68.64797
183,7510.0600,68.61045
184,7510.0800,68.67142
185,7510.1000,68.86372
186,7510.1200,69.00444
187,7510.1400,69.01851
188,7510.1600,68.95753
189,7510.1800,69.00444
190,7510.2000,69.1217
191,7510.2200,69.14046
192,7510.2400,69.12639
193,7510.2600,69.0701
194,7510.2800,68.96691
195,7510.3000,68.76054
196,7510.3200,68.78399
197,7510.3400,68.87311
198,7510.3600,68.9247
199,7510.3800,68.86372
200,7510.4000,68.67142
201,7510.4200,68.39938
202,7510.4400,68.08982
203,7510.4600,68.04292
204,7510.4800,68.11796
