#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,-3.500601
2,7587.905000,-3.493052
3,7587.906000,-3.510331
4,7587.907000,-3.495386
5,7587.908000,-3.503164
6,7587.909000,-3.499676
7,7587.910000,-3.500324
8,7587.911000,-3.500111
9,7587.912000,-3.500041
10,7587.913000,-3.50013
11,7587.914000,-3.499356
12,7587.915000,-3.499563
13,7587.916000,-3.499089
14,7587.917000,-3.498527
15,7587.918000,-3.499219
16,7587.919000,-3.501261
17,7587.920000,-3.497837
18,7587.921000,-3.488705
19,7587.922000,-3.508362
20,7587.923000,-3.491792
21,7587.924000,-3.498787
22,7587.925000,-3.495679
23,7587.926000,-3.495966
24,7587.927000,-3.495632
25,7587.928000,-3.494842
26,7587.929000,-3.493563
27,7587.930000,-3.494128
28,7587.931000,-3.49662
29,7587.932000,-3.489238
30,7587.933000,-3.493691
31,7587.934000,-3.491451
32,7587.935000,-3.491418
33,7587.936000,-3.490664
34,7587.937000,-3.48976
35,7587.938000,-3.490627
36,7587.939000,-3.483549
37,7587.940000,-3.492893
38,7587.941000,-3.485556
39,7587.942000,-3.486469
40,7587.943000,-3.485713
41,7587.944000,-3.48412
42,7587.945000,-3.481591
43,7587.946000,-3.481679
44,7587.947000,-3.494633
45,7587.948000,-3.466823
46,7587.949000,-3.483845
47,7587.950000,-3.479094
48,7587.951000,-3.479948
49,7587.952000,-3.476142
50,7587.953000,-3.467474
51,7587.954000,-3.483065
52,7587.955000,-3.47004
53,7587.956000,-3.471643
54,7587.957000,-3.470339
55,7587.958000,-3.469019
56,7587.959000,-3.467689
57,7587.960000,-3.466395
58,7587.961000,-3.465149
59,7587.962000,-3.463384
60,7587.963000,-3.461061
61,7587.964000,-3.460839
62,7587.965000,-3.462811
63,7587.966000,-3.453215
64,7587.967000,-3.456222
65,7587.968000,-3.45571
66,7587.969000,-3.459947
67,7587.970000,-3.450224
68,7587.971000,-3.425917
69,7587.972000,-3.474854
70,7587.973000,-3.437887
71,7587.974000,-3.444232
72,7587.975000,-3.44105
73,7587.976000,-3.44134
74,7587.977000,-3.445262
75,7587.978000,-3.430212
76,7587.979000,-3.445677
77,7587.980000,-3.427913
78,7587.981000,-3.43755
79,7587.982000,-3.431097
80,7587.983000,-3.43185
81,7587.984000,-3.429537
82,7587.985000,-3.426966
83,7587.986000,-3.428041
84,7587.987000,-3.424934
85,7587.988000,-3.424011
86,7587.989000,-3.422689
87,7587.990000,-3.421463
88,7587.991000,-3.420338
89,7587.992000,-3.418056
90,7587.993000,-3.41451
91,7587.994000,-3.415908
92,7587.995000,-3.422475
93,7587.996000,-3.403069
94,7587.997000,-3.41414
95,7587.998000,-3.409603
96,7587.999000,-3.40818
97,7588.000000,-3.406544
98,7588.001000,-3.404687
99,7588.002000,-3.404481
100,7588.003000,-3.40604
101,7588.004000,-3.401225
102,7588.005000,-3.389789
103,7588.006000,-3.413451
104,7588.007000,-3.379783
105,7588.008000,-3.409361
106,7588.009000,-3.389337
107,7588.010000,-3.392038
108,7588.011000,-3.390146
109,7588.012000,-3.387805
110,7588.013000,-3.394774
111,7588.014000,-3.377897
112,7588.015000,-3.385914
113,7588.016000,-3.383093
114,7588.017000,-3.384697
115,7588.018000,-3.378838
116,7588.019000,-3.365211
