#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,-0.1583433
2,7587.905000,-0.1391611
3,7587.906000,-0.1436024
4,7587.907000,-0.1433964
5,7587.908000,-0.1431828
6,7587.909000,-0.1429577
7,7587.910000,-0.1427479
8,7587.911000,-0.1425571
9,7587.912000,-0.1423702
10,7587.913000,-0.1421976
11,7587.914000,-0.1420012
12,7587.915000,-0.141778
13,7587.916000,-0.1417503
14,7587.917000,-0.1419277
15,7587.918000,-0.1413097
16,7587.919000,-0.1398554
17,7587.920000,-0.1425323
18,7587.921000,-0.1403475
19,7587.922000,-0.1406622
20,7587.923000,-0.140502
21,7587.924000,-0.1403379
22,7587.925000,-0.1401806
23,7587.926000,-0.140008
24,7587.927000,-0.1398211
25,7587.928000,-0.1396275
26,7587.929000,-0.1394262
27,7587.930000,-0.1390629
28,7587.931000,-0.1385269
29,7587.932000,-0.1392555
30,7587.933000,-0.1413469
31,7587.934000,-0.1379433
32,7587.935000,-0.1287994
33,7587.936000,-0.1485338
34,7587.937000,-0.1343279
35,7587.938000,-0.1375933
36,7587.939000,-0.1375074
37,7587.940000,-0.1369314
38,7587.941000,-0.135828
39,7587.942000,-0.1368217
40,7587.943000,-0.1400137
41,7587.944000,-0.1320505
42,7587.945000,-0.1371641
43,7587.946000,-0.1351748
44,7587.947000,-0.1340809
45,7587.948000,-0.1360283
46,7587.949000,-0.1412392
47,7587.950000,-0.1332645
48,7587.951000,-0.1115026
49,7587.952000,-0.1589603
50,7587.953000,-0.1250248
51,7587.954000,-0.1328382
52,7587.955000,-0.1324501
53,7587.956000,-0.1320524
54,7587.957000,-0.1316414
55,7587.958000,-0.1312351
56,7587.959000,-0.1308393
57,7587.960000,-0.1304493
58,7587.961000,-0.1300421
59,7587.962000,-0.1296434
60,7587.963000,-0.1292343
61,7587.964000,-0.1281719
62,7587.965000,-0.1263924
63,7587.966000,-0.1299
64,7587.967000,-0.1390924
65,7587.968000,-0.1253891
66,7587.969000,-0.08775902
67,7587.970000,-0.1708651
68,7587.971000,-0.1133776
69,7587.972000,-0.1237879
70,7587.973000,-0.1150799
71,7587.974000,-0.1251459
72,7587.975000,-0.154768
73,7587.976000,-0.0839119
74,7587.977000,-0.1509047
75,7587.978000,-0.1050787
76,7587.979000,-0.1267519
77,7587.980000,-0.1220427
78,7587.981000,-0.1247234
79,7587.982000,-0.1198587
80,7587.983000,-0.1071129
81,7587.984000,-0.1339388
82,7587.985000,-0.114233
83,7587.986000,-0.1184015
84,7587.987000,-0.1178904
85,7587.988000,-0.1173763
86,7587.989000,-0.1168575
87,7587.990000,-0.1163321
88,7587.991000,-0.1157932
89,7587.992000,-0.1152487
90,7587.993000,-0.1146946
91,7587.994000,-0.1141357
92,7587.995000,-0.1135731
93,7587.996000,-0.1130009
94,7587.997000,-0.1124229
95,7587.998000,-0.1118412
96,7587.999000,-0.1112595
97,7588.000000,-0.110672
98,7588.001000,-0.1100864
99,7588.002000,-0.1094904
100,7588.003000,-0.1088877
101,7588.004000,-0.1088667
102,7588.005000,-0.1094847
103,7588.006000,-0.1053534
104,7588.007000,-0.09611797
105,7588.008000,-0.1073475
106,7588.009000,-0.1399641
107,7588.010000,-0.06511021
108,7588.011000,-0.1165972
109,7588.012000,-0.1027994
