#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,0.005607605
2,7587.905000,0.005699158
3,7587.906000,0.005775452
4,7587.907000,0.005821228
5,7587.908000,0.005844116
6,7587.909000,0.005950928
7,7587.910000,0.006278992
8,7587.911000,0.00617218
9,7587.912000,0.006240845
10,7587.913000,0.006332397
11,7587.914000,0.006469727
12,7587.915000,0.006607056
13,7587.916000,0.006690979
14,7587.917000,0.006858826
15,7587.918000,0.006973267
16,7587.919000,0.007102966
17,7587.920000,0.007225037
18,7587.921000,0.007339478
19,7587.922000,0.007461548
20,7587.923000,0.007614136
21,7587.924000,0.007759094
22,7587.925000,0.007904053
23,7587.926000,0.008049011
24,7587.927000,0.00818634
25,7587.928000,0.008323669
26,7587.929000,0.008453369
27,7587.930000,0.008590698
28,7587.931000,0.008728027
29,7587.932000,0.008857727
30,7587.933000,0.008987427
31,7587.934000,0.009124756
32,7587.935000,0.009277344
33,7587.936000,0.009422302
34,7587.937000,0.009590149
35,7587.938000,0.009742737
36,7587.939000,0.009902954
37,7587.940000,0.01005554
38,7587.941000,0.01022339
39,7587.942000,0.01036835
40,7587.943000,0.01051331
41,7587.944000,0.01063538
42,7587.945000,0.01076508
43,7587.946000,0.01088715
44,7587.947000,0.01100922
45,7587.948000,0.01112366
46,7587.949000,0.01123047
47,7587.950000,0.01135254
48,7587.951000,0.01145935
49,7587.952000,0.0115509
50,7587.953000,0.01161957
51,7587.954000,0.01165009
52,7587.955000,0.01170349
53,7587.956000,0.01178741
54,7587.957000,0.01194763
55,7587.958000,0.0121994
56,7587.959000,0.01241302
57,7587.960000,0.01238251
58,7587.961000,0.01223755
59,7587.962000,0.01203156
60,7587.963000,0.01267242
61,7587.964000,0.01284027
62,7587.965000,0.01274872
63,7587.966000,0.01254272
64,7587.967000,0.01296234
65,7587.968000,0.01334381
66,7587.969000,0.01311493
67,7587.970000,0.01280975
68,7587.971000,0.01345062
69,7587.972000,0.01335144
70,7587.973000,0.01344299
71,7587.974000,0.01352692
72,7587.975000,0.01361847
73,7587.976000,0.01371765
74,7587.977000,0.01381683
75,7587.978000,0.01390839
76,7587.979000,0.01402283
77,7587.980000,0.01412201
78,7587.981000,0.01422882
79,7587.982000,0.01433563
80,7587.983000,0.01445007
81,7587.984000,0.01455688
82,7587.985000,0.01467133
83,7587.986000,0.0147934
84,7587.987000,0.01491547
85,7587.988000,0.01504517
86,7587.989000,0.01516724
87,7587.990000,0.01528931
88,7587.991000,0.01541138
89,7587.992000,0.01552582
90,7587.993000,0.01564026
91,7587.994000,0.01576233
92,7587.995000,0.01586914
93,7587.996000,0.01599121
94,7587.997000,0.01610565
95,7587.998000,0.01622772
96,7587.999000,0.01634979
97,7588.000000,0.01647186
98,7588.001000,0.01660156
99,7588.002000,0.01672363
100,7588.003000,0.01685333
101,7588.004000,0.0169754
102,7588.005000,0.01711273
103,7588.006000,0.0172348
104,7588.007000,0.0173645
105,7588.008000,0.01748657
106,7588.009000,0.01761627
107,7588.010000,0.01774597
108,7588.011000,0.01786804
109,7588.012000,0.01799774
110,7588.013000,0.01811981
111,7588.014000,0.01824951
112,7588.015000,0.01837158
113,7588.016000,0.01849365
114,7588.017000,0.01862335
115,7588.018000,0.01875305
116,7588.019000,0.01887512
