#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,0.01964474
2,7587.905000,0.01970577
3,7587.906000,0.01974964
4,7587.907000,0.01982021
5,7587.908000,0.01984692
6,7587.909000,0.01994324
7,7587.910000,0.02017784
8,7587.911000,0.02013493
9,7587.912000,0.02018547
10,7587.913000,0.02019978
11,7587.914000,0.02030277
12,7587.915000,0.02040291
13,7587.916000,0.02042961
14,7587.917000,0.02053642
15,7587.918000,0.02060032
16,7587.919000,0.02066994
17,7587.920000,0.02072239
18,7587.921000,0.02081013
19,7587.922000,0.02087402
20,7587.923000,0.02094746
21,7587.924000,0.02102089
22,7587.925000,0.02109528
23,7587.926000,0.02116871
24,7587.927000,0.02124214
25,7587.928000,0.02131557
26,7587.929000,0.02138805
27,7587.930000,0.02146149
28,7587.931000,0.02153969
29,7587.932000,0.02162266
30,7587.933000,0.02169704
31,7587.934000,0.02174473
32,7587.935000,0.02185726
33,7587.936000,0.02192783
34,7587.937000,0.0220108
35,7587.938000,0.02209091
36,7587.939000,0.02217388
37,7587.940000,0.02225304
38,7587.941000,0.02233887
39,7587.942000,0.02241898
40,7587.943000,0.02249813
41,7587.944000,0.02257442
42,7587.945000,0.02265072
43,7587.946000,0.02272606
44,7587.947000,0.02279854
45,7587.948000,0.02286816
46,7587.949000,0.02294731
47,7587.950000,0.02302265
48,7587.951000,0.02309513
49,7587.952000,0.02315712
50,7587.953000,0.02321148
51,7587.954000,0.02324295
52,7587.955000,0.02328014
53,7587.956000,0.02335072
54,7587.957000,0.02346802
55,7587.958000,0.0236454
56,7587.959000,0.02377605
57,7587.960000,0.02374172
58,7587.961000,0.02365971
59,7587.962000,0.023633
60,7587.963000,0.0239296
61,7587.964000,0.02402878
62,7587.965000,0.02400303
63,7587.966000,0.02398872
64,7587.967000,0.02414703
65,7587.968000,0.02430725
66,7587.969000,0.0242691
67,7587.970000,0.02421856
68,7587.971000,0.02444458
69,7587.972000,0.02445698
70,7587.973000,0.02451897
71,7587.974000,0.02457237
72,7587.975000,0.02464104
73,7587.976000,0.02474403
74,7587.977000,0.02478981
75,7587.978000,0.02488327
76,7587.979000,0.02496147
77,7587.980000,0.02503777
78,7587.981000,0.02511692
79,7587.982000,0.0252037
80,7587.983000,0.02529335
81,7587.984000,0.02537823
82,7587.985000,0.02546501
83,7587.986000,0.02555466
84,7587.987000,0.02564907
85,7587.988000,0.02574444
86,7587.989000,0.02584267
87,7587.990000,0.02594185
88,7587.991000,0.02603626
89,7587.992000,0.02613163
90,7587.993000,0.02622414
91,7587.994000,0.02632141
92,7587.995000,0.02641678
93,7587.996000,0.02651405
94,7587.997000,0.02660942
95,7587.998000,0.0267067
96,7587.999000,0.02681065
97,7588.000000,0.02772427
98,7588.001000,0.02953625
99,7588.002000,0.02396393
100,7588.003000,0.01042938
101,7588.004000,0.03183651
102,7588.005000,0.08994961
103,7588.006000,-0.02920532
104,7588.007000,-0.002855301
105,7588.008000,0.08232021
106,7588.009000,0.01030922
107,7588.010000,0.0279932
108,7588.011000,0.02810287
109,7588.012000,0.02820969
110,7588.013000,0.0283165
111,7588.014000,0.02842426
112,7588.015000,0.02853489
113,7588.016000,0.02864456
114,7588.017000,0.0287571
115,7588.018000,0.02886677
116,7588.019000,0.02897453
