#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,7.409235
2,7587.905000,7.401725
3,7587.906000,7.419324
4,7587.907000,7.40499
5,7587.908000,7.411939
6,7587.909000,7.409333
7,7587.910000,7.410029
8,7587.911000,7.410079
9,7587.912000,7.410299
10,7587.913000,7.410713
11,7587.914000,7.410286
12,7587.915000,7.410858
13,7587.916000,7.410786
14,7587.917000,7.410658
15,7587.918000,7.411852
16,7587.919000,7.41447
17,7587.920000,7.411151
18,7587.921000,7.401607
19,7587.922000,7.423007
20,7587.923000,7.410435
21,7587.924000,7.410301
22,7587.925000,7.413194
23,7587.926000,7.412764
24,7587.927000,7.413031
25,7587.928000,7.41285
26,7587.929000,7.41218
27,7587.930000,7.413442
28,7587.931000,7.416722
29,7587.932000,7.409842
30,7587.933000,7.414497
31,7587.934000,7.414199
32,7587.935000,7.414474
33,7587.936000,7.413777
34,7587.937000,7.411469
35,7587.938000,7.416186
36,7587.939000,7.418447
37,7587.940000,7.409649
38,7587.941000,7.416529
39,7587.942000,7.415062
40,7587.943000,7.415173
41,7587.944000,7.414449
42,7587.945000,7.412787
43,7587.946000,7.413757
44,7587.947000,7.427609
45,7587.948000,7.400697
46,7587.949000,7.418622
47,7587.950000,7.414792
48,7587.951000,7.416584
49,7587.952000,7.413729
50,7587.953000,7.406028
51,7587.954000,7.422589
52,7587.955000,7.410536
53,7587.956000,7.413124
54,7587.957000,7.412809
55,7587.958000,7.412512
56,7587.959000,7.412235
57,7587.960000,7.411893
58,7587.961000,7.411492
59,7587.962000,7.411571
60,7587.963000,7.412163
61,7587.964000,7.410642
62,7587.965000,7.406909
63,7587.966000,7.414338
64,7587.967000,7.408723
65,7587.968000,7.409229
66,7587.969000,7.407774
67,7587.970000,7.408785
68,7587.971000,7.412373
69,7587.972000,7.403113
70,7587.973000,7.409197
71,7587.974000,7.406462
72,7587.975000,7.404174
73,7587.976000,7.407023
74,7587.977000,7.415292
75,7587.978000,7.397507
76,7587.979000,7.402839
77,7587.980000,7.41221
78,7587.981000,7.405205
79,7587.982000,7.404602
80,7587.983000,7.40682
81,7587.984000,7.405991
82,7587.985000,7.404922
83,7587.986000,7.407517
84,7587.987000,7.405951
85,7587.988000,7.406588
86,7587.989000,7.406844
87,7587.990000,7.407209
88,7587.991000,7.407686
89,7587.992000,7.407023
90,7587.993000,7.405109
91,7587.994000,7.408157
92,7587.995000,7.416391
93,7587.996000,7.398666
94,7587.997000,7.411435
95,7587.998000,7.408615
96,7587.999000,7.408928
97,7588.000000,7.409426
98,7588.001000,7.410141
99,7588.002000,7.409853
100,7588.003000,7.40849
101,7588.004000,7.410723
102,7588.005000,7.416649
103,7588.006000,7.402291
104,7588.007000,7.427646
105,7588.008000,7.398928
106,7588.009000,7.418216
107,7588.010000,7.412941
108,7588.011000,7.410283
109,7588.012000,7.415994
110,7588.013000,7.420691
111,7588.014000,7.406865
112,7588.015000,7.416913
113,7588.016000,7.41614
114,7588.017000,7.419809
115,7588.018000,7.416037
116,7588.019000,7.404513
117,7588.020000,7.432812
118,7588.021000,7.405714
119,7588.022000,7.425446
120,7588.023000,7.416342
121,7588.024000,7.418358
122,7588.025000,7.41677
123,7588.026000,7.419927
124,7588.027000,7.430212
125,7588.028000,7.410092
