#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,-0.03854076
2,7587.905000,-0.0364628
3,7587.906000,-0.03492371
4,7587.907000,-0.02687607
5,7587.908000,-0.04265533
6,7587.909000,-0.02966894
7,7587.910000,-0.03426833
8,7587.911000,-0.03939994
9,7587.912000,-0.03807687
10,7587.913000,-0.03045699
11,7587.914000,-0.03490754
12,7587.915000,-0.05064731
13,7587.916000,-0.02069301
14,7587.917000,-0.04116743
15,7587.918000,-0.03675405
16,7587.919000,-0.03847799
17,7587.920000,-0.03531531
18,7587.921000,-0.03782646
19,7587.922000,-0.03743213
20,7587.923000,-0.03760594
21,7587.924000,-0.03778106
22,7587.925000,-0.03795667
23,7587.926000,-0.03813341
24,7587.927000,-0.0383107
25,7587.928000,-0.03848666
26,7587.929000,-0.03866313
27,7587.930000,-0.0388414
28,7587.931000,-0.03901934
29,7587.932000,-0.03914683
30,7587.933000,-0.03921159
31,7587.934000,-0.03971808
32,7587.935000,-0.04071828
33,7587.936000,-0.03975248
34,7587.937000,-0.03673865
35,7587.938000,-0.04409263
36,7587.939000,-0.03968521
37,7587.940000,-0.04069252
38,7587.941000,-0.03975082
39,7587.942000,-0.04250613
40,7587.943000,-0.04055123
41,7587.944000,-0.04084169
42,7587.945000,-0.04053878
43,7587.946000,-0.04094026
44,7587.947000,-0.04213042
45,7587.948000,-0.04366889
46,7587.949000,-0.04579047
47,7587.950000,-0.04419815
48,7587.951000,-0.03846437
49,7587.952000,-0.03884513
50,7587.953000,-0.0449565
51,7587.954000,-0.04537074
52,7587.955000,-0.0415516
53,7587.956000,-0.0461488
54,7587.957000,-0.04629731
55,7587.958000,-0.04499257
56,7587.959000,-0.03880928
57,7587.960000,-0.04745035
58,7587.961000,-0.04138296
59,7587.962000,-0.03901628
60,7587.963000,-0.05201469
61,7587.964000,-0.0509836
62,7587.965000,-0.04333638
63,7587.966000,-0.04249135
64,7587.967000,-0.04637877
65,7587.968000,-0.0468962
66,7587.969000,-0.04609766
67,7587.970000,-0.04675448
68,7587.971000,-0.04800755
69,7587.972000,-0.04659371
70,7587.973000,-0.04254509
71,7587.974000,-0.05201161
72,7587.975000,-0.04707965
73,7587.976000,-0.04819527
74,7587.977000,-0.04606601
75,7587.978000,-0.05158019
76,7587.979000,-0.05038519
77,7587.980000,-0.04197197
78,7587.981000,-0.05105555
79,7587.982000,-0.04996581
80,7587.983000,-0.04914089
81,7587.984000,-0.04945255
82,7587.985000,-0.05031177
83,7587.986000,-0.05008484
84,7587.987000,-0.04899291
85,7587.988000,-0.05071183
86,7587.989000,-0.04881556
87,7587.990000,-0.04994972
88,7587.991000,-0.05217577
89,7587.992000,-0.05233365
90,7587.993000,-0.05056095
91,7587.994000,-0.05055764
92,7587.995000,-0.05181458
93,7587.996000,-0.0516155
94,7587.997000,-0.05043693
95,7587.998000,-0.05230227
96,7587.999000,-0.05711106
97,7588.000000,-0.04736562
98,7588.001000,-0.05253738
99,7588.002000,-0.05456872
100,7588.003000,-0.05213571
101,7588.004000,-0.05330557
102,7588.005000,-0.05444601
103,7588.006000,-0.05329499
104,7588.007000,-0.04975259
105,7588.008000,-0.05823699
106,7588.009000,-0.05258482
107,7588.010000,-0.05418738
108,7588.011000,-0.05436751
