#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,1.131718
2,7587.905000,0.9688129
3,7587.906000,0.1607851
4,7587.907000,-1.232027
5,7587.908000,-0.7247317
6,7587.909000,-1.375821
7,7587.910000,0.4702743
8,7587.911000,1.859111
9,7587.912000,0.9515843
10,7587.913000,-0.467
11,7587.914000,-2.471258
12,7587.915000,-1.299218
13,7587.916000,-1.358323
14,7587.917000,-0.8954856
15,7587.918000,1.107382
16,7587.919000,1.873787
17,7587.920000,2.623629
18,7587.921000,2.169276
19,7587.922000,2.045198
20,7587.923000,2.914329
21,7587.924000,4.194846
22,7587.925000,2.464844
23,7587.926000,4.326885
24,7587.927000,3.077613
25,7587.928000,1.889031
26,7587.929000,1.817309
27,7587.930000,1.157458
28,7587.931000,0.9184887
29,7587.932000,0.6763057
30,7587.933000,0.5326605
31,7587.934000,0.3731055
32,7587.935000,0.1712481
33,7587.936000,0.1959475
34,7587.937000,0.4323769
35,7587.938000,1.206304
36,7587.939000,0.6907869
37,7587.940000,0.8247311
38,7587.941000,0.8565173
39,7587.942000,0.8524208
40,7587.943000,1.012584
41,7587.944000,1.101253
42,7587.945000,1.192341
43,7587.946000,1.24878
44,7587.947000,1.251933
45,7587.948000,1.260409
46,7587.949000,1.262604
47,7587.950000,1.162984
48,7587.951000,0.764648
49,7587.952000,1.467892
50,7587.953000,1.380268
51,7587.954000,0.6051607
52,7587.955000,0.9377705
53,7587.956000,0.7123481
54,7587.957000,0.7232695
55,7587.958000,0.4401344
56,7587.959000,-0.1236485
57,7587.960000,-0.5649301
58,7587.961000,-0.9469274
59,7587.962000,-0.5206252
60,7587.963000,0.8688135
61,7587.964000,1.112795
62,7587.965000,0.6255305
63,7587.966000,0.5578022
64,7587.967000,0.6794659
65,7587.968000,1.869308
66,7587.969000,1.445097
67,7587.970000,0.8424628
68,7587.971000,0.8093707
69,7587.972000,1.783402
70,7587.973000,0.8037759
71,7587.974000,1.128053
72,7587.975000,1.560158
73,7587.976000,0.9272975
74,7587.977000,0.1445426
75,7587.978000,2.547466
76,7587.979000,1.770648
77,7587.980000,0.4073616
78,7587.981000,0.9917173
79,7587.982000,1.616215
80,7587.983000,1.170494
81,7587.984000,1.563195
82,7587.985000,1.852531
83,7587.986000,1.497479
84,7587.987000,0.3899654
85,7587.988000,0.34955
86,7587.989000,1.306678
87,7587.990000,1.387211
88,7587.991000,0.864418
89,7587.992000,0.7154366
90,7587.993000,0.6673625
91,7587.994000,0.7564109
92,7587.995000,1.11755
93,7587.996000,1.098506
94,7587.997000,0.7067304
95,7587.998000,0.680734
96,7587.999000,0.9238746
97,7588.000000,1.040391
98,7588.001000,1.142098
99,7588.002000,0.9360703
100,7588.003000,0.3403762
101,7588.004000,0.6824504
102,7588.005000,1.975108
103,7588.006000,0.719245
104,7588.007000,-0.08493523
105,7588.008000,1.27407
106,7588.009000,0.5044857
107,7588.010000,0.593874
108,7588.011000,1.48407
109,7588.012000,1.207363
110,7588.013000,0.9857278
111,7588.014000,1.043642
112,7588.015000,1.293776
113,7588.016000,-0.08734493
114,7588.017000,0.06133253
115,7588.018000,1.46822
116,7588.019000,1.456311
117,7588.020000,1.347442
118,7588.021000,0.7577972
119,7588.022000,0.7667102
120,7588.023000,1.514319
